Year,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Peak_Dur_5,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,2.0,5.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,1.0,nan,5.0,nan,3.0,3.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,2.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,1.0,nan,4.0,nan,7.0,nan,nan,nan,2.0,nan,nan,nan,nan,3.0,nan,2.0,nan,4.0,8.0,1.0,nan,4.0,nan,nan,nan,nan,nan,1.0,2.0,nan,4.0,1.0,4.0,3.0,nan,1.0,1.0,nan,2.0,1.0,nan,2.0,nan,2.0,1.0,1.0,2.0,nan,1.0,nan,nan,1.0
Peak_Fre_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,4.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,3.0,nan,3.0,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,2.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,2.6,472.0,9.3,356.0,9.5,1010.0,412.0,8.6,5.9,178.0,664.0,107.0,1.7,3.3,85.0,8.5,283.0,173.0,1660.0,470.0,40.0,292.0,1170.0,8.5,2.6,3.1,7.1,928.0,64.0,435.0,29.0,2690.0,609.0,1950.0,38.0,215.0,212.0,945.0,4.95,91.3,1260.0,85.1,654.0,181.0,546.0,1860.0,148.0,1290.0,59.8,1060.0,nan,310.0,10.8
SP_Tim,220.0,196.0,164.0,207.0,188.0,151.0,156.0,218.0,199.0,176.0,187.0,193.0,196.0,171.0,nan,209.0,161.0,176.0,196.0,214.0,172.0,182.0,170.0,190.0,224.0,nan,159.0,179.0,178.0,180.0,223.0,177.0,168.0,121.0,244.0,197.0,164.0,159.0,216.0,219.0,152.0,194.0,190.0,153.0,151.0,158.0,198.0,179.0,200.0,88.0,nan,135.0,223.0
SP_Dur,11.0,33.0,43.0,30.0,30.0,29.0,29.0,38.0,42.0,30.0,61.0,51.0,46.0,42.0,nan,25.0,18.0,43.0,35.0,27.0,70.0,43.0,15.0,61.0,20.0,nan,92.0,27.0,28.0,35.0,26.0,28.0,26.0,40.0,20.0,45.0,88.0,73.0,8.0,18.0,38.0,20.0,41.0,19.0,26.0,27.0,31.0,35.0,42.0,115.0,nan,21.0,17.0
SP_ROC,0.08012820512820511,0.09807692307692309,0.05882352941176463,0.09307359307359307,0.03785714285714281,0.10638297872340426,0.08333333333333333,0.0563492063492064,0.11864406779661009,0.06666666666666667,0.0625,0.06872933396315536,0.10800385728061716,0.16166883963494133,nan,0.09999999999999996,0.057692307692307696,0.07477025898078532,0.07692307692307693,0.060240963855421686,0.06385869565217389,0.10147058823529413,0.07609953703703703,0.11596638655462181,0.20909090909090916,nan,0.12878787878787884,0.09401080019636714,0.10526315789473684,0.08022988505747126,0.16666666666666669,0.07954545454545454,0.08957219251336898,0.06744979158772263,0.08,0.0638297872340425,0.10620300751879698,0.07692307692307698,0.0695976174374447,0.08755760368663593,0.07947019867549664,0.07396449704142002,0.06770833333333337,0.10389610389610388,0.07451923076923073,0.092741935483871,0.09281069807385603,0.04978520788272045,0.1107207232580409,0.047964113181504474,nan,0.09559748427672952,0.06217222852494818
DS_Mag_50,0.0,0.0,0.0,0.19,0.0,0.26,0.02,0.0,0.0,0.39,0.6299999999999999,0.05,0.0,0.0,0.04,0.0,0.79,0.0,2.6,3.8,0.5,0.49,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605,1.45,0.87,1.9,0.255,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
DS_Mag_90,1.0300000000000011,3.5500000000000056,1.2,6.3,1.7400000000000033,15.0,8.6,0.29200000000000015,10.200000000000017,6.9700000000000015,4.1,3.4,0.0,0.0,27.0,0.09800000000000011,15.0,3.0800000000000014,15.0,16.0,2.6000000000000005,5.2200000000000015,23.900000000000034,0.0,0.0,1.05,0.0,3.8,1.5,10.0,1.5,24.400000000000034,20.0,15.0,9.95,2.5,1.9,0.0,1.5040000000000004,3.0820000000000003,1.5360000000000003,6.288000000000004,5.543000000000005,1.7770000000000001,4.858999999999999,5.8420000000000005,4.013999999999999,8.428000000000003,0.0,nan,nan,3.1660000000000013,1.3100000000000018
DS_Tim,231.0,229.0,207.0,237.0,218.0,180.0,185.0,256.0,241.0,206.0,248.0,244.0,242.0,213.0,179.0,234.0,179.0,219.0,231.0,241.0,242.0,225.0,185.0,251.0,244.0,197.0,251.0,206.0,206.0,215.0,249.0,205.0,194.0,161.0,264.0,242.0,252.0,232.0,224.0,237.0,190.0,214.0,231.0,172.0,177.0,185.0,229.0,214.0,242.0,203.0,nan,156.0,240.0
DS_Dur_WS,208.0,178.0,215.0,225.0,249.0,282.0,232.0,179.0,219.0,192.0,234.0,158.0,199.0,245.0,311.0,213.0,294.0,223.0,210.0,161.0,163.0,259.0,292.0,171.0,195.0,286.0,262.0,283.0,245.0,216.0,208.0,264.0,234.0,297.0,206.0,234.0,242.0,186.0,207.0,207.0,258.0,227.0,258.0,282.0,314.0,279.0,210.0,249.0,180.0,nan,nan,303.0,219.0
