Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
FA_Mag,nan,7.46178991586734,1.237627240002994,1.5504872655310011,1.02934617057678,1.2019405367298803,2.5335955273243527,1.0148154552361404,nan,nan,nan,1.242532352059788,1.4278572086220167,1.4005796212249644,1.350873498071461,nan,nan,nan,1.2236308541158483,nan,2.113064787691252,2.431320860556716,nan,1.1077285662728131,1.1381070260752477,1.2819101810393527
FA_Tim,nan,12.0,10.0,42.0,46.0,36.0,65.0,33.0,nan,nan,nan,13.0,6.0,27.0,27.0,nan,nan,nan,24.0,nan,27.0,25.0,nan,10.0,20.0,9.0
FA_Dur,nan,4.0,2.0,9.0,9.0,2.0,3.0,3.0,nan,nan,nan,3.0,3.0,3.0,8.0,nan,nan,nan,1.0,nan,5.0,5.0,nan,3.0,5.0,5.0
Wet_BFL_Mag_10,0.0,2.58,0.5,1.52,0.68,2.1,1.1,2.8,1.1,1.3,0.23600000000000002,1.75,3.44,3.5,nan,0.22000000000000003,2.18,2.4,1.39,0.5940000000000001,4.12,2.91,5.74,0.775,1.82,0.794
Wet_BFL_Mag_50,12.0,6.8,0.9,4.8,2.6,17.5,1.8,22.0,3.3,2.9,0.52,36.5,8.9,21.0,nan,0.31,11.0,4.4,8.850000000000001,1.7,17.0,43.0,9.7,2.0,14.0,1.2
Wet_Tim,124.0,167.0,101.0,73.0,73.0,102.0,96.0,100.0,95.0,50.0,72.0,90.0,74.0,116.0,nan,28.0,91.0,131.0,91.0,105.0,85.0,77.0,37.0,32.0,117.0,108.0
Wet_BFL_Dur,37.0,59.0,119.0,123.0,79.0,104.0,91.0,91.0,61.0,152.0,159.0,86.0,135.0,77.0,nan,198.0,110.0,80.0,70.0,75.0,112.0,138.0,135.0,216.0,53.0,69.0
Peak_2,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0
Peak_5,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0
Peak_10,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5
Peak_Dur_2,nan,nan,nan,4.0,nan,5.0,nan,3.0,nan,1.0,nan,9.0,3.0,1.0,nan,nan,4.0,nan,4.0,1.0,9.0,23.0,nan,nan,7.0,nan
Peak_Dur_5,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,3.0,5.0,nan,nan,4.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,1.0,nan
Peak_Fre_2,nan,nan,nan,2.0,nan,3.0,nan,3.0,nan,1.0,nan,4.0,2.0,1.0,nan,nan,2.0,nan,1.0,1.0,4.0,8.0,nan,nan,2.0,nan
Peak_Fre_5,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,2.0,4.0,nan,nan,2.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,1.0,nan
SP_Mag,40.0,6.8,0.7,52.0,4.7,76.0,3.5,19.0,41.0,4.7,0.35,59.0,19.0,24.0,0.78,0.5,25.0,3.6,71.0,40.0,112.0,112.0,11.0,2.0,185.0,12.0
SP_Tim,161.0,226.0,220.0,196.0,152.0,206.0,187.0,191.0,156.0,202.0,231.0,176.0,209.0,193.0,195.0,226.0,201.0,211.0,161.0,180.0,197.0,215.0,172.0,248.0,170.0,177.0
SP_Dur,33.0,20.0,11.0,29.0,50.0,31.0,119.0,79.0,36.0,44.0,28.0,35.0,25.0,45.0,71.0,67.0,27.0,82.0,102.0,41.0,33.0,26.0,82.0,36.0,147.0,176.0
SP_ROC,0.1180555555555556,0.09545454545454549,0.25000000000000006,0.07947368421052634,0.11233019853709506,0.07968253968253969,0.13043478260869565,0.058257918552036145,0.11428571428571425,0.06666666666666672,0.22222222222222213,0.07482517482517484,0.05357142857142862,0.06904761904761911,0.09433962264150951,0.20000000000000004,0.06666666666666668,0.11764705882352944,0.08333333333333323,0.10526315789473682,0.07059800664451825,0.08333333333333333,0.04761904761904766,0.058823529411764754,0.07317073170731701,0.10526315789473681
DS_Mag_50,0.3,0.2,0.1,0.3,0.2,0.6,0.27,0.3,0.335,0.495,0.08,0.52,0.495,nan,0.095,0.09,0.24,0.125,0.24,0.36,1.1,2.2,0.37,0.21,0.46,0.46
DS_Mag_90,1.2,0.5,0.4,0.9700000000000017,0.8,2.7,0.7519999999999999,0.69,0.8,0.65,2.7200000000000015,2.2,1.4,nan,0.24,0.37200000000000105,1.3,0.4570000000000002,0.5030000000000001,1.1,2.7,3.4900000000000007,0.8670000000000002,0.83,1.0,0.94
DS_Tim,194.0,246.0,231.0,225.0,202.0,237.0,306.0,270.0,192.0,246.0,259.0,211.0,234.0,238.0,266.0,293.0,228.0,293.0,263.0,221.0,230.0,241.0,254.0,284.0,317.0,353.0
DS_Dur_WS,339.0,221.0,208.0,214.0,266.0,225.0,160.0,191.0,224.0,192.0,197.0,229.0,248.0,nan,128.0,164.0,269.0,164.0,208.0,230.0,213.0,162.0,144.0,199.0,157.0,121.0
