Year,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
FA_Mag,1.4363731306179897,nan,3.264101310241395,3.1233415458437106,nan,nan,6.096594169838882,3.0803760306359367,nan,nan,nan,nan,5.590185584959914,4.560622704133662,10.987784589502137,nan,1.3998105064898758,19.99905888982178,1.4994594904688145,9.435711812765891
FA_Tim,37.0,nan,13.0,36.0,nan,nan,11.0,47.0,nan,nan,nan,nan,43.0,37.0,64.0,nan,39.0,0.0,38.0,55.0
FA_Dur,6.0,nan,5.0,4.0,nan,nan,4.0,2.0,nan,nan,nan,nan,10.0,2.0,5.0,nan,4.0,5.0,6.0,4.0
Wet_BFL_Mag_10,0.9800000000000001,0.4,7.330000000000001,0.474,0.32,0.06,0.9940000000000004,1.705,nan,0.67,0.13,1.98,1.9,1.6,1.4,0.93,14.0,nan,0.565,0.53
Wet_BFL_Mag_50,2.2,0.7,17.5,0.87,0.65,0.1,13.0,4.5,nan,1.9,0.31,26.0,6.9,28.0,2.8,1.6,34.5,nan,0.94,4.7
Wet_Tim,58.0,27.0,100.0,78.0,49.0,66.0,96.0,85.0,55.0,119.0,75.0,91.0,92.0,127.0,107.0,144.0,104.0,nan,55.0,118.0
Wet_BFL_Dur,149.0,228.0,90.0,163.0,194.0,25.0,79.0,96.0,nan,38.0,165.0,109.0,90.0,34.0,69.0,52.0,110.0,nan,106.0,52.0
Peak_2,380.5,380.5,380.5,380.5,380.5,380.5,380.5,380.5,380.5,380.5,380.5,380.5,380.5,380.5,380.5,380.5,380.5,380.5,380.5,380.5
Peak_5,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002,705.0000000000002
Peak_10,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001,895.5000000000001
Peak_Dur_2,1.0,nan,2.0,nan,nan,nan,3.0,1.0,1.0,1.0,nan,3.0,nan,2.0,nan,nan,4.0,nan,nan,1.0
Peak_Dur_5,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Dur_10,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,1.0,nan,2.0,nan,nan,nan,3.0,1.0,1.0,1.0,nan,2.0,nan,2.0,nan,nan,3.0,nan,nan,1.0
Peak_Fre_5,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_10,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,17.0,0.4,72.0,0.49,2.3,93.0,40.0,9.2,15.0,17.0,0.31,167.0,48.0,202.0,21.0,20.0,59.0,5.2,3.7,157.0
SP_Tim,207.0,255.0,190.0,241.0,243.0,91.0,175.0,181.0,nan,157.0,240.0,200.0,182.0,161.0,176.0,196.0,214.0,169.0,161.0,170.0
SP_Dur,60.0,37.0,71.0,37.0,57.0,153.0,45.0,96.0,nan,110.0,30.0,39.0,71.0,35.0,51.0,30.0,34.0,116.0,146.0,25.0
SP_ROC,0.07692307692307698,0.5,0.03529900332225901,0.06896551724137918,0.12499999999999993,0.16666666666666663,0.03977871443624866,0.04761904761904766,nan,0.09090909090909093,0.07692307692307698,0.054093567251461985,0.047619047619047596,0.062499999999999965,0.05409356725146198,0.08333333333333323,0.06066176470588235,0.027027027027027053,0.050000000000000044,0.09090909090909086
DS_Mag_50,0.6,0.07,0.77,0.05,0.0,0.0,0.47,0.24,0.98,0.25,0.03,1.5,0.77,1.3,0.61,0.28,nan,0.3,0.15,0.5
DS_Mag_90,1.2,0.25,1.4,0.11000000000000001,0.04,0.3,2.1,0.48,4.980000000000007,0.5,0.13400000000000006,3.3,2.0,4.24,1.3000000000000003,0.7570000000000002,nan,0.44,0.58,2.0
DS_Tim,267.0,292.0,261.0,278.0,300.0,244.0,220.0,277.0,183.0,267.0,270.0,239.0,253.0,196.0,227.0,226.0,248.0,285.0,307.0,195.0
DS_Dur_WS,126.0,174.0,183.0,137.0,132.0,218.0,231.0,144.0,302.0,174.0,187.0,219.0,240.0,277.0,283.0,244.0,nan,136.0,177.0,289.0
