Year,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,nan,nan,nan,nan,nan,nan,29.046465821693864,5.708845575969249,nan,nan,nan,nan,nan,nan,nan,nan,4.084320816372697,3.5975578605936973,nan,3.4878630440597376,nan,3.0259521583945106,nan,nan,nan,nan,1.88664695160388,nan,nan,1.8571327614234212,nan,17.000290897757843,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.5098177200792815,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,45.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,49.0,41.0,nan,63.0,nan,65.0,nan,nan,nan,nan,67.0,nan,nan,73.0,nan,65.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,73.0,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,2.0,20.0,nan,nan,nan,nan,nan,nan,nan,nan,5.0,1.0,nan,6.0,nan,10.0,nan,nan,nan,nan,22.0,nan,nan,5.0,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,0.3,nan,5.5,nan,0.15,nan,0.0,0.964,0.0,nan,nan,2.0700000000000003,0.57,0.745,0.584,1.4,16.0,2.1,0.02,0.8370000000000001,0.604,0.05,nan,nan,nan,0.0,1.8000000000000003,0.27,3.94,0.386,nan,2.7,0.69,0.4800000000000001,0.64,nan,0.01,nan,4.48,0.518,nan,0.0,nan,2.184,1.02,0.19,nan,nan,nan
Wet_BFL_Mag_50,5.0,nan,16.0,nan,0.92,nan,9.9,1.9,4.45,nan,nan,10.0,1.7,5.3,1.2,3.7,38.0,3.2,0.34,11.0,0.75,0.33,nan,nan,nan,1.3,16.0,0.67,9.9,1.8,nan,14.0,1.7,1.3,6.4,nan,0.06,nan,7.96,2.915,nan,1.36,nan,4.11,6.16,0.35,nan,nan,nan
Wet_Tim,54.0,34.0,100.0,92.0,50.0,nan,94.0,89.0,114.0,nan,nan,92.0,16.0,90.0,107.0,162.0,106.0,49.0,69.0,119.0,115.0,78.0,nan,nan,nan,83.0,85.0,39.0,92.0,107.0,65.0,96.0,34.0,94.0,128.0,nan,67.0,nan,79.0,80.0,nan,90.0,nan,100.0,75.0,45.0,nan,nan,nan
Wet_BFL_Dur,190.0,nan,131.0,nan,193.0,nan,80.0,145.0,80.0,nan,nan,118.0,166.0,140.0,135.0,63.0,109.0,41.0,185.0,72.0,45.0,146.0,nan,nan,nan,102.0,95.0,197.0,85.0,167.0,nan,157.0,216.0,139.0,31.0,nan,152.0,nan,141.0,158.0,nan,61.0,nan,107.0,176.0,176.0,nan,nan,nan
Peak_2,52.0,52.0,52.0,52.0,52.0,nan,52.0,52.0,52.0,nan,nan,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,nan,nan,nan,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,nan,52.0,52.0,52.0,52.0,nan,52.0,52.0,52.0,nan,nan,nan
Peak_5,182.8,182.8,182.8,182.8,182.8,nan,182.8,182.8,182.8,nan,nan,182.8,182.8,182.8,182.8,182.8,182.8,182.8,182.8,182.8,182.8,182.8,nan,nan,nan,182.8,182.8,182.8,182.8,182.8,182.8,182.8,182.8,182.8,182.8,182.8,182.8,nan,182.8,182.8,182.8,182.8,nan,182.8,182.8,182.8,nan,nan,nan
Peak_10,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,nan,396.4000000000003,396.4000000000003,396.4000000000003,nan,nan,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,nan,nan,nan,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,nan,396.4000000000003,396.4000000000003,396.4000000000003,396.4000000000003,nan,396.4000000000003,396.4000000000003,396.4000000000003,nan,nan,nan
