Year,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,92.32438356164384,41.31408219178083,32.518465753424664,9.19912568306011,90.03224657534246,69.24430136986301,70.0687397260274,2.862349726775956,2.1187671232876713,68.4852602739726,29.14945205479452,82.71704918032786,26.32953424657534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101.14425824175825,73.72677595628416,92.75369863013701,131.87890410958903,42.70986301369862,44.7070218579235,24.187589041095894,20.222356164383562,36.18876712328767,26.936857923497268,69.19482191780821,72.60575342465754,11.407287671232876,28.774808743169405,34.980520547945204,42.5407397260274,70.93882191780821,10.254644808743171,17.06895890410959,2.7138904109589044,14.93991780821918
Std,267.8163876782068,144.167148569372,83.03913920788085,31.87159433516118,207.00339042129673,164.91954884121944,179.2614355261746,3.1793373967012,3.540095248778763,202.89511240830527,93.41367392338307,320.6741428607698,113.46852683201148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,342.287347100195,234.2598778620537,285.3706437153957,318.87679214496313,101.64955975611193,145.33667902150347,75.96461945164903,46.515372046671516,107.96686223153775,103.32193958804996,175.20964421064366,174.20646977210617,44.57136866529978,107.69989089725375,158.28355248194416,129.5564998861133,234.48159628921448,40.945639489203856,91.87832838819648,13.211333104533741,67.33385210405926
CV,2.9008196680716436,3.4895401500182213,2.553599540566751,3.4646329915735015,2.299213873865386,2.381705722761424,2.558365345617698,1.110743864371279,1.670827912076354,2.9626099338256338,3.204645965481136,3.876759942943346,4.309553134110993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.384150055083194,3.1774056958757653,3.0766497501445693,2.4179514858569204,2.380002008517545,3.250869169576439,3.14064453975059,2.300195470228948,2.9834357678922,3.8357086740217494,2.532120747687785,2.3993480069438156,3.9072713821095912,3.742853405509417,4.524905576090459,3.0454689015867693,3.3054058405550024,3.992887150444583,5.382772839535954,4.86804222130169,4.506976073657889
SP_Tim,192.0,156.0,203.0,132.0,176.0,210.0,193.0,197.0,229.0,202.0,183.0,161.0,175.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,177.0,168.0,121.0,228.0,196.0,164.0,207.0,178.0,219.0,152.0,195.0,202.0,153.0,151.0,177.0,198.0,178.0,199.0,88.0,212.0,135.0
SP_Mag,127.0,504.0,41.0,160.0,342.0,96.0,201.0,5.8,3.1,133.0,250.0,450.0,410.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2090.0,399.0,2240.0,79.0,329.0,520.0,59.0,252.0,228.0,1380.0,163.0,335.0,614.0,644.0,61.7,493.0,1800.0,662.0,945.0,9.04,490.0
SP_Dur,48.0,108.0,58.0,148.0,33.0,38.0,50.0,63.0,48.0,31.0,32.0,92.0,38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.0,110.0,38.0,27.0,77.0,29.0,31.0,43.0,29.0,36.0,19.0,29.0,19.0,28.0,10.0,34.0,36.0,35.0,23.0,32.0,20.0
SP_ROC,0.060024009603841535,0.06666666666666667,0.054093567251461985,0.05555555555555558,0.053418803418803416,0.061224489795918366,0.058823529411764705,0.050000000000000044,0.04880952380952379,0.06896551724137931,0.07692307692307693,0.07185886402753872,0.09090909090909091,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04391025641025641,0.05952380952380952,0.05555555555555555,0.05263157894736842,0.0625,0.06666666666666667,0.052469135802469105,0.06415094339622639,0.06362221069019203,0.07499999999999996,0.0702576112412178,0.05319148936170213,0.08227848101265826,0.060975609756097456,0.054945054945054944,0.08292682926829265,0.05309734513274328,0.06130790190735697,0.09055319148936171,0.06237842617152968,0.09460834181078329
DS_Tim,240.0,264.0,261.0,280.0,209.0,248.0,243.0,260.0,277.0,233.0,215.0,253.0,213.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,220.0,278.0,159.0,255.0,273.0,193.0,238.0,221.0,248.0,188.0,214.0,231.0,172.0,179.0,187.0,232.0,214.0,234.0,111.0,244.0,155.0
DS_Mag_90,8.9,2.4,2.1,33.000000000000085,13.200000000000017,11.0,7.4,1.45,1.1900000000000004,8.640000000000004,7.0299999999999985,4.2200000000000015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,3.4,21.0,18.700000000000017,4.630000000000001,14.0,3.068000000000001,6.191,7.206000000000003,8.881000000000007,15.040000000000003,14.8,7.16,7.846000000000002,9.355000000000002,12.160000000000002,16.1,2.78,6.7,0.46,3.8710000000000004
DS_Mag_50,2.5,1.1,0.98,0.45,2.8,3.9,3.3,0.58,0.26,2.0,2.1,1.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.7,1.8,3.55,6.3,3.3,3.3,0.8,0.57,1.25,2.145,2.28,3.52,1.4249999999999998,1.82,2.125,2.0,3.39,0.34,0.88,0.17,0.345
DS_Dur_WS,220.0,152.0,161.0,179.0,189.0,232.0,244.0,186.0,162.0,229.0,230.0,219.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,249.0,131.0,298.0,214.0,198.0,285.0,179.0,210.0,197.0,258.0,227.0,256.0,282.0,313.0,278.0,208.0,300.0,181.0,381.0,181.0,270.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,34.0,nan,nan,nan,41.0,7.0,28.0,30.0,3.0,nan,47.0,21.0,64.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,72.0,nan,57.0,61.0,39.0,nan,nan,39.0,40.0,21.0,nan,44.0,42.0,nan,13.0,51.0,nan,nan,nan,nan
FA_Mag,7.045530297030497,nan,nan,nan,175.99672967143331,7.8947580165947135,15.991825095399898,8.071698494043117,3.143418841493307,nan,4.996857401203788,3.529157487297393,38.98807590876551,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.515540817195097,119.99694510648158,nan,89.99918831872856,66.99720217477253,6.895768936416826,nan,nan,146.99170577884064,12.703230025258543,2.895790500582822,nan,11.624675334486142,6.303920732485492,nan,92.84174919896991,22.59242571888955,nan,nan,nan,nan
