Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
Avg,0.8761095890410958,0.740792349726776,6.6060273972602745,1.687013698630137,2.8103287671232877,0.6094808743169399,0.44315068493150683,11.212602739726027,2.58813698630137,3.571092896174864,1.7425753424657533
Std,3.9881989877728565,7.003794106471371,29.529447208466422,9.979373088846197,13.428156184750355,4.670162059814921,3.0111265250561603,46.965502928006,10.358022571788165,22.18952108090919,8.930563310275788
CV,4.552169086675504,9.454463331127215,4.47007640639111,5.915407264890318,4.7781442306110335,7.662524381997854,6.794814105999991,4.188635236456578,4.002115276977865,6.213649917838107,5.124922344900734
SP_Tim,243.0,nan,175.0,181.0,190.0,198.0,224.0,200.0,182.0,160.0,176.0
SP_Mag,5.2,nan,23.0,16.0,11.0,5.1,13.0,32.0,97.0,26.0,12.0
SP_Dur,13.0,nan,14.0,15.0,38.0,16.0,9.0,20.0,75.0,22.0,52.0
SP_ROC,0.2916666666666667,nan,0.19999999999999996,0.16393442622950816,0.13333333333333328,0.25000000000000006,0.4285714285714286,0.06350806451612905,0.13858577040593623,0.22222222222222224,0.15853658536585366
DS_Tim,256.0,nan,189.0,196.0,228.0,214.0,233.0,220.0,257.0,182.0,228.0
DS_Mag_90,nan,nan,0.9,0.13800000000000012,0.21200000000000016,nan,0.0,1.2,0.61,0.77,0.06599999999999995
DS_Mag_50,nan,nan,0.03,0.0,0.0,nan,0.0,0.39,0.0,0.0,0.0
DS_Dur_WS,nan,nan,258.0,222.0,249.0,nan,216.0,231.0,233.0,291.0,245.0
DS_No_Flow,nan,nan,78.0,155.0,194.0,nan,206.0,11.0,145.0,162.0,200.0
FA_Tim,nan,nan,nan,48.0,nan,nan,0.0,nan,41.0,19.0,63.0
FA_Mag,nan,nan,nan,9.99669460490418,nan,nan,9.599259162109268,nan,1.889438746630805,1.6726287501728085,6.705318775366106
Wet_Tim,47.0,nan,36.0,81.0,52.0,111.0,nan,83.0,85.0,124.0,107.0
FA_Dur,nan,nan,nan,4.0,nan,nan,6.0,nan,2.0,1.0,21.0
Wet_BFL_Mag_10,0.11,nan,0.0,0.25,0.06,0.0,nan,0.7280000000000002,0.61,0.48,0.26200000000000007
Wet_BFL_Mag_50,0.4,nan,0.31,0.855,1.2,0.27,nan,9.0,1.5,7.35,1.4
Wet_BFL_Dur,196.0,nan,139.0,100.0,138.0,87.0,nan,117.0,97.0,36.0,69.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_2,592.4000000000002,nan,592.4000000000002,592.4000000000002,592.4000000000002,592.4000000000002,592.4000000000002,592.4000000000002,592.4000000000002,592.4000000000002,592.4000000000002
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_5,507.5,nan,507.5,507.5,507.5,507.5,507.5,507.5,507.5,507.5,507.5
Peak_Dur_10,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_10,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_10,366.0,nan,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0
Peak_Dur_20,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,1.0,nan
Peak_Fre_20,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,1.0,nan
Peak_20,339.0,nan,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0
Peak_Dur_50,nan,nan,4.0,1.0,2.0,nan,nan,9.0,nan,3.0,nan
Peak_Fre_50,nan,nan,3.0,1.0,2.0,nan,nan,6.0,nan,1.0,nan
Peak_50,120.0,nan,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
Dur_2,2.0,nan,16.0,4.0,8.0,2.0,1.0,28.0,7.0,6.0,4.0
Fre_2,2.0,nan,10.0,2.0,4.0,1.0,1.0,10.0,4.0,1.0,2.0
High_2,29.5,nan,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5
Dur_5,3.0,nan,43.0,15.0,18.0,5.0,5.0,56.0,20.0,20.0,12.0
Fre_5,3.0,nan,8.0,7.0,6.0,3.0,4.0,11.0,10.0,7.0,7.0
High_5,9.149999999999999,nan,9.149999999999999,9.149999999999999,9.149999999999999,9.149999999999999,9.149999999999999,9.149999999999999,9.149999999999999,9.149999999999999,9.149999999999999
Dur_10,14.0,nan,64.0,28.0,38.0,13.0,10.0,107.0,47.0,43.0,31.0
Fre_10,10.0,nan,5.0,7.0,7.0,6.0,6.0,6.0,14.0,6.0,8.0
High_10,2.7,nan,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Dur_20,81.0,nan,104.0,61.0,85.0,19.0,19.0,154.0,105.0,88.0,81.0
Fre_20,10.0,nan,4.0,8.0,6.0,5.0,7.0,6.0,13.0,11.0,9.0
High_20,0.85,nan,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
