Year,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Avg,4.387158469945355,37.54630136986301,7.516712328767125,58.86128767123287,3.9096721311475413,76.00049315068493,26.02293150684931,16.309150684931506,2.1814754098360654,59.7534794520548,42.18178082191781,39.10038356164383,0.654344262295082,0.24424657534246574,60.440794520547946,13.427972602739725,63.08956284153006,8.034383561643835,84.84846575342465,173.87797260273973,35.336612021857924,10.05868493150685,93.79334246575343,4.175808219178083,2.0745628415300543,2.7464657534246575,1.126219178082192,13.68717808219178,16.10513661202186,72.97441095890412,4.729232876712329,90.43460273972602,70.33275956284152,79.82553424657533,117.75942465753425,19.018684931506847,30.585956284153006,12.456438356164385,9.275424657534247,25.408575342465753,15.527732240437157,40.1028493150685,40.40572602739726,3.0633972602739736,32.2424043715847,16.040191780821917,25.63145205479452,39.554054794520546,2.1442896174863386,10.776356164383563,0.37602739726027395,9.418328767123288,26.77598360655738
Std,17.427864571151755,123.05324972198846,26.71924595230395,189.31620539869553,15.159257118844387,248.2290783497915,97.12523641357363,48.55978209754298,6.479784411528452,158.19420218564804,98.99318122279684,109.5113958684591,0.9017063251325338,0.567189943803031,217.66999846424295,59.40885624444576,293.5666825922591,30.688752872008045,277.3897738006088,436.7235311887509,102.8713315887305,27.266382420948133,441.5999501635438,15.298877072819677,5.522109975306927,6.359293994763953,4.057760358873249,74.32047476132745,87.60781328754332,219.24355726244585,14.071366066347847,355.9170094172424,202.12160971816547,270.66023615029553,374.3030575956098,55.86980012441272,140.12085595979346,61.35487029980973,29.966438133497064,111.82044665700944,81.35684470178244,101.44771495008516,116.86448911092631,12.913139722767601,138.25392662221003,108.48227519493712,94.31210567905673,154.8932597382009,7.5712580191553664,70.98591339814568,1.6845245170565073,43.445728742583015,105.63142942304631
CV,3.972472088834491,3.277373409162444,3.5546452735788527,3.2163109726058465,3.8773729894314544,3.2661508900689866,3.7322942032111173,2.977456216797896,2.9703678447676833,2.647447540064683,2.3468231851263996,2.8007754884503515,1.378030460555795,2.3222022376680465,3.6013755310619233,4.4242610557847355,4.653173510326062,3.819677345069287,3.2692373555312377,2.5116668008692296,2.911182643234108,2.7107303396631464,4.70822276458251,3.6636924566020728,2.6618186081238204,2.315446310165835,3.6029934828343975,5.429934082469849,5.439743567412368,3.0043895439719805,2.9754013881697423,3.9356286049222127,2.873790406838397,3.390647349934991,3.1785401354002105,2.9376268824905636,4.581215465621781,4.925554845253717,3.230734897852457,4.400893995426897,5.2394543802032985,2.5296884556271806,2.892275442141193,4.215300408544702,4.287953374347402,6.763153251362083,3.6795459530516563,3.9159894110188262,3.5308933818514854,6.587190727117757,4.479791976142988,4.612891503027556,3.945006501915299
SP_Tim,220.0,196.0,164.0,207.0,188.0,151.0,156.0,218.0,199.0,176.0,187.0,193.0,196.0,171.0,nan,209.0,161.0,176.0,196.0,214.0,172.0,182.0,170.0,190.0,224.0,nan,159.0,179.0,178.0,180.0,223.0,177.0,168.0,121.0,244.0,197.0,164.0,159.0,216.0,219.0,152.0,194.0,190.0,153.0,151.0,158.0,198.0,179.0,200.0,88.0,nan,135.0,223.0
SP_Mag,2.6,472.0,9.3,356.0,9.5,1010.0,412.0,8.6,5.9,178.0,664.0,107.0,1.7,3.3,85.0,8.5,283.0,173.0,1660.0,470.0,40.0,292.0,1170.0,8.5,2.6,3.1,7.1,928.0,64.0,435.0,29.0,2690.0,609.0,1950.0,38.0,215.0,212.0,945.0,4.95,91.3,1260.0,85.1,654.0,181.0,546.0,1860.0,148.0,1290.0,59.8,1060.0,nan,310.0,10.8
SP_Dur,11.0,33.0,43.0,30.0,30.0,29.0,29.0,38.0,42.0,30.0,61.0,51.0,46.0,42.0,nan,25.0,18.0,43.0,35.0,27.0,70.0,43.0,15.0,61.0,20.0,nan,92.0,27.0,28.0,35.0,26.0,28.0,26.0,40.0,20.0,45.0,88.0,73.0,8.0,18.0,38.0,20.0,41.0,19.0,26.0,27.0,31.0,35.0,42.0,115.0,nan,21.0,17.0
SP_ROC,0.08012820512820511,0.09807692307692309,0.05882352941176463,0.09307359307359307,0.03785714285714281,0.10638297872340426,0.08333333333333333,0.0563492063492064,0.11864406779661009,0.06666666666666667,0.0625,0.06872933396315536,0.10800385728061716,0.16166883963494133,nan,0.09999999999999996,0.057692307692307696,0.07477025898078532,0.07692307692307693,0.060240963855421686,0.06385869565217389,0.10147058823529413,0.07609953703703703,0.11596638655462181,0.20909090909090916,nan,0.12878787878787884,0.09401080019636714,0.10526315789473684,0.08022988505747126,0.16666666666666669,0.07954545454545454,0.08957219251336898,0.06744979158772263,0.08,0.0638297872340425,0.10620300751879698,0.07692307692307698,0.0695976174374447,0.08755760368663593,0.07947019867549664,0.07396449704142002,0.06770833333333337,0.10389610389610388,0.07451923076923073,0.092741935483871,0.09281069807385603,0.04978520788272045,0.1107207232580409,0.047964113181504474,nan,0.09559748427672952,0.06217222852494818
DS_Tim,231.0,229.0,207.0,237.0,218.0,180.0,185.0,256.0,241.0,206.0,248.0,244.0,242.0,213.0,179.0,234.0,179.0,219.0,231.0,241.0,242.0,225.0,185.0,251.0,244.0,197.0,251.0,206.0,206.0,215.0,249.0,205.0,194.0,161.0,264.0,242.0,252.0,232.0,224.0,237.0,190.0,214.0,231.0,172.0,177.0,185.0,229.0,214.0,242.0,203.0,nan,156.0,240.0
DS_Mag_90,1.0300000000000011,3.5500000000000056,1.2,6.3,1.7400000000000033,15.0,8.6,0.29200000000000015,10.200000000000017,6.9700000000000015,4.1,3.4,0.0,0.0,27.0,0.09800000000000011,15.0,3.0800000000000014,15.0,16.0,2.6000000000000005,5.2200000000000015,23.900000000000034,0.0,0.0,1.05,0.0,3.8,1.5,10.0,1.5,24.400000000000034,20.0,15.0,9.95,2.5,1.9,0.0,1.5040000000000004,3.0820000000000003,1.5360000000000003,6.288000000000004,5.543000000000005,1.7770000000000001,4.858999999999999,5.8420000000000005,4.013999999999999,8.428000000000003,0.0,nan,nan,3.1660000000000013,1.3100000000000018
DS_Mag_50,0.0,0.0,0.0,0.19,0.0,0.26,0.02,0.0,0.0,0.39,0.6299999999999999,0.05,0.0,0.0,0.04,0.0,0.79,0.0,2.6,3.8,0.5,0.49,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605,1.45,0.87,1.9,0.255,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
