Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970
FA_Mag,nan,11799.755782107797,nan,nan,nan,nan,nan,nan,nan,nan,nan,600.0008075649828,67199.45191543867,nan,nan,nan,nan,759.9993992297062,654.9900753188374,nan
FA_Tim,nan,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,66.0,12.0,nan,nan,nan,nan,4.0,40.0,nan
FA_Dur,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0,5.0,nan,nan,nan,nan,3.0,4.0,nan
Wet_BFL_Mag_10,690.0,2030.0,1444.0000000000002,674.0,712.6,580.0,644.0,2284.0000000000005,527.0,448.0,650.0,680.0,nan,760.0,622.0,845.0,833.0,597.5,1257.0,700.0
Wet_BFL_Mag_50,730.0,5945.0,3530.0,3040.0,1200.0,650.0,2965.0,7210.0,2050.0,1420.0,2010.0,3600.0,nan,1480.0,1200.0,1330.0,3565.0,1765.0,4240.0,1320.0
Wet_Tim,16.0,64.0,72.0,94.0,75.0,57.0,123.0,101.0,83.0,99.0,103.0,108.0,nan,24.0,58.0,66.0,39.0,93.0,67.0,88.0
Wet_BFL_Dur,56.0,180.0,193.0,119.0,164.0,33.0,120.0,133.0,128.0,71.0,132.0,116.0,nan,211.0,33.0,130.0,226.0,56.0,168.0,31.0
Peak_2,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0,29050.0
Peak_5,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001,67600.00000000001
Peak_10,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003,101210.00000000003
Peak_Dur_2,7.0,nan,1.0,nan,nan,5.0,nan,1.0,nan,1.0,nan,1.0,5.0,nan,8.0,nan,nan,nan,2.0,5.0
Peak_Dur_5,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,1.0,nan,3.0,nan,nan,nan,nan,1.0
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan
Peak_Fre_2,3.0,nan,1.0,nan,nan,3.0,nan,1.0,nan,1.0,nan,1.0,2.0,nan,2.0,nan,nan,nan,2.0,2.0
Peak_Fre_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,1.0
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
SP_Mag,37500.0,16300.0,9350.0,9800.0,4850.0,26700.0,7330.0,14200.0,2750.0,4800.0,3120.0,6640.0,11600.0,3600.0,44300.0,6260.0,11700.0,13700.0,11700.0,55900.0
SP_Tim,72.0,244.0,265.0,213.0,239.0,90.0,243.0,234.0,211.0,170.0,235.0,224.0,235.0,235.0,91.0,196.0,265.0,149.0,235.0,119.0
SP_Dur,207.0,73.0,38.0,63.0,36.0,197.0,41.0,66.0,61.0,108.0,59.0,63.0,49.0,55.0,190.0,76.0,91.0,202.0,45.0,155.0
SP_ROC,0.064343163538874,0.05673758865248227,0.056795131845841784,0.04946316390633923,0.05609679446888749,0.08386303278331664,0.05263157894736842,0.06086956521739131,0.04587775012690513,0.06430868167202572,0.048302872062663184,0.0782608695652174,0.04819277108433735,0.038527274035693726,0.05917159763313609,0.04495780183853579,0.02928631056525667,0.045871559633027525,0.0912280701754386,0.08577878103837472
DS_Mag_50,650.0,665.0,635.0,580.0,386.5,615.0,590.0,610.0,400.0,500.0,425.0,nan,635.0,515.0,700.0,350.0,460.0,582.5,380.0,695.0
DS_Mag_90,715.0,715.0,698.0,715.0,700.0,707.9,1152.0000000000005,690.0,450.0,615.0,610.0,nan,720.0,605.0,754.0,500.0,584.0,639.5,500.0,2300.0
DS_Tim,279.0,317.0,303.0,276.0,275.0,287.0,284.0,300.0,272.0,278.0,294.0,287.0,284.0,290.0,281.0,272.0,356.0,351.0,280.0,274.0
DS_Dur_WS,151.0,121.0,157.0,165.0,148.0,202.0,183.0,149.0,193.0,191.0,180.0,nan,106.0,134.0,151.0,133.0,103.0,82.0,174.0,180.0
