Year,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
FA_Mag,nan,2477.661751179772,nan,2898.247210934756,8366.262978062467,4658.071994626744,2881.758606969712,1857.120032632458,nan,3669.7308900457983,14615.639232787733,4689.678264804332,9631.619294221582,4174.398202079908,nan,24032.856427092687,7223.67815399955,8923.584566718133,4465.337276913271,1922.4800897820726,3162.4914702561027,11531.892780732664,16508.410413496575,4170.942412357497,12677.413906389796,3799.3996272260483,nan
FA_Tim,nan,33.0,nan,30.0,25.0,20.0,10.0,3.0,nan,29.0,8.0,24.0,27.0,9.0,nan,38.0,39.0,19.0,34.0,5.0,9.0,3.0,13.0,4.0,4.0,22.0,nan
FA_Dur,nan,2.0,nan,4.0,2.0,3.0,2.0,6.0,nan,2.0,3.0,2.0,2.0,2.0,nan,2.0,3.0,4.0,3.0,2.0,6.0,6.0,2.0,3.0,2.0,2.0,nan
Wet_BFL_Mag_10,0.0,2040.472,1154.408,916.066,1709.884,3919.992,1155.912,3160.8120000000013,2072.8599999999997,1046.491,2012.086,2144.01,1188.725,2148.111,799.7750000000001,1619.596,1233.3770000000002,2835.125,2693.174,1444.2340000000002,1457.38,3296.9500000000003,4029.0,5520.38,807.2339999999999,1034.5400000000002,nan
Wet_BFL_Mag_50,4531.97,13003.56,3155.91,5464.3,7830.18,12165.87,2573.1949999999997,18057.78,11396.52,6854.035,9672.06,8285.83,9524.845000000001,5788.515,6256.4349999999995,9635.26,4705.465,10606.14,16319.3,3129.79,5218.955,9381.145,10381.82,9290.015,2716.73,3398.45,nan
Wet_Tim,75.0,130.0,1.0,129.0,96.0,85.0,45.0,79.0,48.0,33.0,31.0,30.0,87.0,117.0,20.0,40.0,50.0,50.0,48.0,54.0,54.0,118.0,86.0,48.0,93.0,30.0,nan
Wet_BFL_Dur,133.0,49.0,245.0,63.0,75.0,133.0,120.0,137.0,186.0,64.0,150.0,181.0,66.0,62.0,162.0,179.0,102.0,184.0,149.0,94.0,186.0,102.0,156.0,132.0,90.0,39.0,nan
Peak_2,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,47457.75,nan
Peak_5,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,72939.13,nan
Peak_10,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,108809.33800000005,nan
Peak_Dur_2,nan,4.0,nan,1.0,nan,nan,nan,12.0,2.0,7.0,3.0,nan,1.0,nan,nan,4.0,1.0,nan,8.0,nan,nan,1.0,nan,nan,3.0,5.0,nan
