Year,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
FA_Mag,nan,1842.5390518844015,1445.9963255474122,833.0025309193421,1103.963004800771,563.9975260721754,15505.860402253442,2072.5887775441033,564.9724119307574,3535.941987325715,1012.9652522084823,437.9969518408723,1175.9130877254452
FA_Tim,nan,56.0,7.0,1.0,9.0,0.0,31.0,27.0,16.0,62.0,1.0,14.0,32.0
FA_Dur,nan,2.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,1.0,2.0,3.0
Wet_BFL_Mag_10,nan,845.0000000000001,835.8000000000001,361.20000000000005,454.9,nan,1020.0,453.6,1046.3,1494.8,396.6000000000001,487.7000000000001,510.80000000000007
Wet_BFL_Mag_50,nan,3339.5,2486.0,2251.0,1072.5,nan,2080.0,1068.0,2648.5,3742.0,1291.5,1067.5,1875.0
Wet_Tim,nan,83.0,93.0,76.0,123.0,63.0,152.0,54.0,78.0,65.0,114.0,102.0,97.0
Wet_BFL_Dur,nan,180.0,147.0,162.0,102.0,nan,91.0,167.0,164.0,200.0,112.0,132.0,135.0
Peak_2,nan,13850.0,13850.0,13850.0,13850.0,13850.0,13850.0,13850.0,13850.0,13850.0,13850.0,13850.0,13850.0
Peak_5,nan,22822.00000000002,22822.00000000002,22822.00000000002,22822.00000000002,22822.00000000002,22822.00000000002,22822.00000000002,22822.00000000002,22822.00000000002,22822.00000000002,22822.00000000002,22822.00000000002
Peak_10,nan,29302.4,29302.4,29302.4,29302.4,29302.4,29302.4,29302.4,29302.4,29302.4,29302.4,29302.4,29302.4
Peak_Dur_2,nan,nan,nan,nan,1.0,1.0,2.0,nan,1.0,3.0,nan,1.0,nan
Peak_Dur_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,1.0,1.0,1.0,nan,1.0,3.0,nan,1.0,nan
Peak_Fre_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan
SP_Mag,nan,7311.0,7122.0,4700.0,3501.0,27512.0,6624.0,3257.0,9581.0,30981.0,1926.0,3711.0,4759.0
SP_Tim,nan,263.0,240.0,238.0,225.0,nan,243.0,221.0,242.0,265.0,226.0,234.0,232.0
SP_Dur,nan,59.0,56.0,124.0,44.0,nan,40.0,67.0,61.0,58.0,61.0,118.0,51.0
SP_ROC,nan,0.09326836476217282,0.10080050717051292,0.1827956989247312,0.09686495176848875,nan,0.09590675258501413,0.12025316455696203,0.08016085790884718,0.09936984973339796,0.10919780695426345,0.0892460865867595,0.05920450846644191
DS_Mag_50,nan,779.0,504.5,411.0,287.5,422.0,379.0,325.0,555.5,516.0,286.0,350.0,377.5
DS_Mag_90,nan,1371.4,1210.0,784.8000000000002,565.6999999999999,1079.2,750.8000000000001,587.0,858.8,792.6,438.0,496.0,526.1
DS_Tim,nan,322.0,296.0,362.0,269.0,298.0,283.0,288.0,303.0,323.0,287.0,352.0,283.0
DS_Dur_WS,nan,137.0,146.0,127.0,160.0,220.0,137.0,156.0,128.0,157.0,181.0,111.0,180.0
