Year,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,283.9973290391393,nan,270.57743247209874,nan,nan,282.6080875889073,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,75.0,nan,24.0,nan,nan,22.0,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,3.0,nan,nan,6.0,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,140.8,152.0,174.0,161.6,153.0,148.0,166.8,149.0,126.0,134.6,122.0,115.0,124.0,127.0,168.8,177.0,nan,151.0,nan,131.0
Wet_BFL_Mag_50,170.0,183.0,235.0,177.0,171.0,173.0,209.5,156.0,129.0,194.0,144.0,127.0,144.5,156.0,284.0,188.0,nan,199.0,nan,135.0
Wet_Tim,171.0,62.0,201.0,138.0,188.0,18.0,211.0,12.0,23.0,200.0,193.0,84.0,186.0,23.0,215.0,6.0,nan,120.0,nan,24.0
Wet_BFL_Dur,80.0,212.0,71.0,109.0,52.0,267.0,50.0,219.0,230.0,57.0,57.0,182.0,54.0,252.0,49.0,260.0,nan,128.0,nan,224.0
Peak_2,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5,304.5
Peak_5,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002,420.8000000000002
Peak_10,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003,722.1000000000003
Peak_Dur_2,12.0,5.0,2.0,nan,1.0,19.0,5.0,nan,nan,nan,nan,1.0,nan,8.0,36.0,nan,nan,5.0,nan,nan
Peak_Dur_5,nan,3.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,2.0,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Fre_2,2.0,2.0,1.0,nan,1.0,7.0,2.0,nan,nan,nan,nan,1.0,nan,4.0,2.0,nan,nan,2.0,nan,nan
Peak_Fre_5,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,2.0,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
SP_Mag,326.0,244.0,356.0,232.0,316.0,348.0,315.0,178.0,142.0,250.0,192.0,188.0,185.0,264.0,373.0,234.0,192.0,280.0,234.0,168.0
SP_Tim,251.0,274.0,272.0,247.0,240.0,285.0,261.0,231.0,253.0,257.0,250.0,266.0,240.0,275.0,264.0,266.0,253.0,248.0,231.0,248.0
SP_Dur,61.0,43.0,45.0,51.0,40.0,38.0,56.0,67.0,5.0,62.0,49.0,43.0,42.0,53.0,83.0,43.0,35.0,42.0,77.0,80.0
SP_ROC,0.01759545923632611,0.010840824960338447,0.0111731843575419,0.012619426751592357,0.024435531788472964,0.01,0.017110822229444263,0.012903225806451613,0.016950369891546364,0.014285714285714285,0.016139486647653616,0.018362533692722373,0.014814814814814815,0.01095964448714869,0.013452914798206279,0.014502376292982946,0.012540294048274236,0.011566877277437902,0.010526315789473684,0.013699272812573306
DS_Mag_50,148.5,159.5,163.0,148.0,145.0,172.0,154.0,129.0,123.0,124.0,112.0,123.0,111.0,161.0,168.0,nan,151.0,nan,136.0,120.5
DS_Mag_90,155.0,175.0,170.0,157.0,152.7,179.70000000000002,158.0,135.0,130.0,131.0,121.0,127.80000000000001,115.0,174.0,171.0,nan,157.0,nan,144.0,135.0
DS_Tim,312.0,317.0,317.0,298.0,280.0,323.0,317.0,298.0,258.0,319.0,299.0,309.0,282.0,328.0,347.0,309.0,288.0,290.0,308.0,328.0
DS_Dur_WS,116.0,250.0,187.0,256.0,104.0,254.0,61.0,91.0,308.0,240.0,151.0,243.0,107.0,253.0,25.0,nan,198.0,nan,82.0,62.0
