Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Avg,14.264383561643832,2.2622131147540983,26.78753424657534,29.091534246575343,15.604301369863013,0.6846174863387978,0.28893150684931507,34.891999999999996,12.489972602739726,27.960218579234976
Std,46.86787698534204,6.60311664850075,77.07827469226655,68.7048879787067,50.773027494431254,2.540064484599503,1.463325433413843,96.70779590113091,54.416536520147666,94.20019606824863
CV,3.2856573705271965,2.9188747096528553,2.877393416757671,2.361679772416769,3.2537840875395103,3.71019516048776,5.064610119439149,2.771632348421728,4.3568179251418995,3.3690793868903315
SP_Tim,180.0,199.0,175.0,184.0,179.0,195.0,216.0,191.0,181.0,145.0
SP_Mag,166.0,7.6,57.0,392.0,270.0,5.1,4.6,95.0,42.0,731.0
SP_Dur,31.0,24.0,32.0,44.0,39.0,138.0,14.0,35.0,61.0,83.0
SP_ROC,0.08758503401360546,0.09259259259259267,0.09000000000000004,0.07954545454545466,0.10989010989010989,0.28498985801217036,0.3666666666666667,0.1,0.1250000000000001,0.13232323232323234
DS_Tim,211.0,223.0,207.0,228.0,218.0,333.0,230.0,226.0,242.0,228.0
DS_Mag_90,0.88,0.2909999999999999,0.8549999999999996,2.8400000000000034,nan,0.07400000000000007,0.02,2.6,1.7099999999999993,1.5700000000000018
DS_Mag_50,0.02,0.01,0.1,0.15,nan,0.02,0.0,0.16,0.12,0.275
DS_Dur_WS,218.0,180.0,190.0,254.0,nan,104.0,181.0,230.0,200.0,214.0
DS_No_Flow,42.0,80.0,22.0,0.0,nan,29.0,149.0,0.0,5.0,0.0
FA_Tim,36.0,43.0,16.0,nan,26.0,9.0,0.0,nan,42.0,18.0
FA_Mag,17.987207336195617,3.56722314946832,13.995468466489623,nan,2.694334824460399,11.95052846807171,1.3752028203237998,nan,7.482792923543903,5.100753366463403
Wet_Tim,49.0,63.0,37.0,31.0,116.0,nan,71.0,45.0,90.0,76.0
FA_Dur,8.0,15.0,3.0,nan,5.0,3.0,9.0,nan,10.0,6.0
Wet_BFL_Mag_10,2.9,0.77,3.58,12.0,9.3,nan,0.07400000000000001,0.55,2.8,5.98
Wet_BFL_Mag_50,17.0,2.7,33.5,36.0,42.0,nan,0.17,31.5,11.0,20.0
Wet_BFL_Dur,131.0,136.0,138.0,153.0,63.0,nan,145.0,146.0,91.0,69.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_2,975.98,975.98,975.98,975.98,975.98,975.98,975.98,975.98,975.98,975.98
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_5,924.9499999999998,924.9499999999998,924.9499999999998,924.9499999999998,924.9499999999998,924.9499999999998,924.9499999999998,924.9499999999998,924.9499999999998,924.9499999999998
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_10,839.9,839.9,839.9,839.9,839.9,839.9,839.9,839.9,839.9,839.9
Peak_Dur_20,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan
Peak_Fre_20,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan
Peak_20,788.2,788.2,788.2,788.2,788.2,788.2,788.2,788.2,788.2,788.2
Peak_Dur_50,nan,nan,2.0,1.0,nan,nan,nan,3.0,1.0,2.0
Peak_Fre_50,nan,nan,2.0,1.0,nan,nan,nan,3.0,1.0,2.0
Peak_50,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0
Dur_2,4.0,nan,11.0,11.0,8.0,nan,nan,20.0,5.0,15.0
Fre_2,2.0,nan,6.0,5.0,4.0,nan,nan,10.0,4.0,4.0
High_2,176.1999999999971,176.1999999999971,176.1999999999971,176.1999999999971,176.1999999999971,176.1999999999971,176.1999999999971,176.1999999999971,176.1999999999971,176.1999999999971
Dur_5,14.0,nan,32.0,34.0,18.0,nan,nan,41.0,14.0,30.0
Fre_5,7.0,nan,11.0,11.0,7.0,nan,nan,10.0,7.0,7.0
High_5,76.04999999999973,76.04999999999973,76.04999999999973,76.04999999999973,76.04999999999973,76.04999999999973,76.04999999999973,76.04999999999973,76.04999999999973,76.04999999999973
Dur_10,31.0,3.0,67.0,84.0,41.0,nan,nan,65.0,30.0,46.0
Fre_10,6.0,2.0,6.0,14.0,7.0,nan,nan,10.0,4.0,6.0
High_10,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
Dur_20,88.0,18.0,115.0,169.0,78.0,6.0,2.0,141.0,52.0,85.0
Fre_20,5.0,4.0,6.0,4.0,6.0,4.0,2.0,2.0,7.0,8.0
High_20,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
