Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
Avg,2422.6301369863013,2396.125683060109,2332.158904109589,2247.468493150685,995.2958904109589,2949.4535519125684,1371.0767123287671,3375.145205479452,1340.13698630137,1572.622950819672,1794.1260273972603,1169.978082191781,2173.06301369863,1264.139344262295,2488.158904109589,1678.2493150684932,1981.545205479452,1303.6147540983607,2869.6575342465753,2610.6328767123287,2721.3753424657534,1598.707650273224,1945.7671232876712,3929.391780821918,2346.386301369863,1112.9890710382513,155.54794520547946,2389.753424657534,1068.3808219178081,2146.844262295082,1061.3424657534247
Std,5335.686407440361,5014.756562151985,5181.86873542623,5330.546258699066,1683.2234193867885,8059.686925388248,2998.501963813252,6015.574602715286,3618.933012795037,5497.991626846313,3592.0768336211354,2438.874306816798,4447.812538411572,3362.9646423209997,10944.029183248305,5952.879837273727,3854.9055566506677,2717.6550255550083,7032.343832702391,7741.658266098815,6669.186234801102,3801.7852434721317,4105.131834502413,9659.495358635155,6491.73801675395,2971.533962918266,238.74703992116903,4707.426828102623,2412.7605209980943,4554.365034687974,2313.2658158482354
CV,2.2024354134708477,2.09286040277637,2.2219192381338404,2.3718002165299636,1.691178910315588,2.7326034411228335,2.186968779245263,1.782315792798832,2.7004202180725514,3.496064726755187,2.0021318339783316,2.084547004716471,2.0467940921976475,2.6602800218068534,4.39844463517684,3.5470771737099005,1.945403791945256,2.084707170589414,2.4505864371543287,2.9654335296076506,2.450667546931751,2.378036561482892,2.109775514947629,2.4582673088949814,2.7666961799785295,2.6698680519353815,1.5348774913470136,1.969837883495125,2.2583337996156123,2.12142311143666,2.1795658710462478
SP_Tim,163.0,174.0,238.0,191.0,206.0,148.0,234.0,187.0,185.0,242.0,227.0,178.0,199.0,168.0,204.0,197.0,204.0,171.0,155.0,162.0,195.0,199.0,186.0,186.0,210.0,197.0,nan,206.0,223.0,193.0,180.0
SP_Mag,7580.0,7020.0,2520.0,12100.0,9700.0,36200.0,10400.0,30100.0,3580.0,9680.0,3530.0,2870.0,14200.0,2870.0,10900.0,2940.0,5420.0,6700.0,9280.0,4920.0,4590.0,4820.0,3040.0,41100.0,4680.0,4590.0,191.0,2930.0,5150.0,3400.0,8450.0
SP_Dur,106.0,32.0,44.0,32.0,52.0,30.0,37.0,33.0,39.0,25.0,36.0,23.0,51.0,64.0,18.0,43.0,40.0,47.0,69.0,44.0,36.0,38.0,26.0,29.0,41.0,32.0,nan,35.0,37.0,49.0,40.0
SP_ROC,0.04577822990844354,0.06369625520110957,0.04028436018957346,0.06796116504854369,0.04903677758318739,0.0967741935483871,0.056258901724956484,0.0664231121409751,0.04653075102873519,0.06977289113193944,0.05252269854039766,0.04956600968685561,0.05044955044955045,0.05017921146953405,0.0743801652892562,0.038461538461538464,0.05605381165919283,0.040540256076959914,0.05769404945204239,0.05196276383443289,0.049491811927346335,0.04716981132075472,0.0456311425061425,0.0814384151593454,0.038394415357766144,0.050970873786407765,nan,0.06389331210191082,0.05049088359046283,0.057088076358841985,0.05166846071044134
DS_Tim,269.0,206.0,282.0,223.0,258.0,178.0,271.0,220.0,224.0,267.0,263.0,201.0,250.0,232.0,222.0,240.0,244.0,218.0,224.0,206.0,231.0,237.0,212.0,215.0,251.0,229.0,206.0,241.0,260.0,242.0,220.0
DS_Mag_90,171.50000000000043,455.1000000000001,234.00000000000006,301.20000000000005,131.00000000000006,531.0,1523.0,325.80000000000024,230.79999999999995,222.8,182.0,415.4000000000001,304.0,215.0,520.4000000000002,152.99999999999997,299.3000000000001,286.6,298.8000000000002,265.0,287.40000000000003,831.0,292.0,460.7999999999999,257.69999999999993,209.0,186.80000000000004,237.20000000000005,182.0,218.4000000000001,268.79999999999995
DS_Mag_50,66.0,94.5,108.0,99.5,63.0,142.0,174.0,84.0,60.0,65.0,73.0,80.0,109.5,73.0,101.0,51.0,99.0,89.0,104.5,68.0,90.0,113.5,93.0,120.0,76.5,73.5,47.0,87.5,60.0,63.0,65.0
DS_Dur_WS,144.0,218.0,122.0,178.0,153.0,285.0,168.0,224.0,245.0,139.0,153.0,169.0,146.0,186.0,224.0,165.0,178.0,195.0,208.0,191.0,187.0,196.0,171.0,235.0,150.0,224.0,207.0,218.0,121.0,173.0,195.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,2.0,nan,18.0,nan,11.0,26.0,9.0,45.0,nan,nan,11.0,nan,10.0,42.0,44.0,nan,2.0,11.0,16.0,nan,0.0,12.0,nan,28.0,10.0,45.0,0.0,51.0,nan,0.0
FA_Mag,nan,199.88084661952703,nan,499.9989937869303,nan,99.17898225699511,550.049525316448,3340.005495581855,450.99665199690435,nan,nan,115.99912165451742,nan,746.9902647341769,3859.9884474279274,1139.9968986279773,nan,439.9041673215195,464.99472476828623,603.9995808066902,nan,184.99986666817816,479.9987870510427,nan,398.99789640161805,364.9993869868842,340.99900562041677,222.99975282899044,334.9946882714628,nan,123.00320957746915
Wet_Tim,20.0,47.0,58.0,38.0,35.0,45.0,97.0,73.0,78.0,103.0,40.0,50.0,4.0,30.0,52.0,80.0,39.0,56.0,47.0,66.0,31.0,52.0,67.0,17.0,84.0,35.0,87.0,47.0,93.0,15.0,49.0
FA_Dur,nan,5.0,nan,2.0,nan,3.0,7.0,2.0,2.0,nan,nan,6.0,nan,3.0,5.0,3.0,nan,6.0,3.0,3.0,nan,10.0,5.0,nan,6.0,4.0,6.0,5.0,3.0,nan,6.0
Wet_BFL_Mag_10,1062.0,1282.0,667.2,848.4000000000001,414.0,1060.0,720.0,1553.0,531.4,497.59999999999997,381.6,337.6,400.8,572.0,441.0,916.0,480.4,660.4,822.8000000000001,1025.0,622.5,623.6000000000001,1218.0,982.0,653.5,388.6,nan,965.2,302.1,749.0999999999999,348.0
Wet_BFL_Mag_50,3040.0,3920.0,1680.0,2290.0,904.0,4840.0,1310.0,6820.0,1790.0,1360.0,1480.0,1670.0,1220.0,1300.0,1435.0,2340.0,2650.0,1860.0,5600.0,3530.0,2500.0,2000.0,3200.0,4230.0,2560.0,915.5,nan,2900.0,1240.0,2425.0,1270.0
Wet_BFL_Dur,143.0,127.0,180.0,153.0,171.0,103.0,137.0,114.0,107.0,139.0,187.0,128.0,195.0,138.0,152.0,117.0,165.0,115.0,108.0,96.0,164.0,147.0,119.0,169.0,126.0,162.0,nan,159.0,130.0,178.0,131.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
