Year,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
Avg,322.0572602739726,877.1076712328767,850.2821917808219,819.2732240437158,435.9780821917808,617.0945205479452,358.4158904109589,328.62841530054646,549.1276712328768,nan
Std,528.9828919036423,1273.5126912346311,1255.6406260084402,1165.4665412108384,761.0121235415004,1405.326468606934,549.5030472894317,673.3588085002827,873.2271234476824,nan
CV,1.642511929256428,1.4519456766859207,1.476734004482253,1.4225614935374111,1.7455283983903154,2.2773277379923633,1.5331436523625463,2.048997521667333,1.5902078317910153,nan
SP_Tim,240.0,199.0,224.0,254.0,183.0,165.0,169.0,253.0,187.0,nan
SP_Mag,283.0,5350.0,641.0,638.0,1470.0,3360.0,2190.0,1000.0,2780.0,nan
SP_Dur,48.0,45.0,61.0,22.0,47.0,88.0,38.0,43.0,100.0,nan
SP_ROC,0.047058823529411764,0.05058721381894621,0.036036036036036036,0.04,0.05238095238095238,0.0736196319018405,0.07425742574257425,0.0649184794176493,0.06259796238244514,nan
DS_Tim,288.0,244.0,285.0,276.0,230.0,253.0,207.0,296.0,287.0,nan
DS_Mag_90,40.0,100.79999999999995,61.3,78.0,103.60000000000005,84.00000000000009,82.60000000000002,34.0,nan,nan
DS_Mag_50,17.0,19.0,32.0,22.0,20.0,36.0,16.0,7.6,nan,nan
DS_Dur_WS,101.0,165.0,108.0,118.0,179.0,159.0,208.0,107.0,nan,nan
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,13.0,6.0,6.0,nan,nan,22.0,0.0,nan,nan,nan
FA_Mag,109.99151349473924,110.99878344630976,64.99030851944035,nan,nan,555.9810724351374,81.00526898170521,nan,nan,nan
Wet_Tim,48.0,23.0,43.0,27.0,28.0,43.0,46.0,49.0,37.0,nan
FA_Dur,6.0,2.0,9.0,nan,nan,3.0,4.0,nan,nan,nan
Wet_BFL_Mag_10,123.0,430.0,406.0,242.20000000000002,182.4,166.5,214.8,90.5,268.0,nan
Wet_BFL_Mag_50,317.5,1330.0,1060.0,839.0,432.0,692.5,603.0,218.5,985.0,nan
Wet_BFL_Dur,192.0,176.0,181.0,227.0,155.0,122.0,123.0,204.0,150.0,nan
Peak_Dur_2,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_2,12650.0,12650.0,12650.0,12650.0,12650.0,12650.0,12650.0,12650.0,12650.0,nan
Peak_Dur_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_5,11974.999999999996,11974.999999999996,11974.999999999996,11974.999999999996,11974.999999999996,11974.999999999996,11974.999999999996,11974.999999999996,11974.999999999996,nan
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_10,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,nan
Peak_Dur_20,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan
Peak_Fre_20,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_20,8816.0,8816.0,8816.0,8816.0,8816.0,8816.0,8816.0,8816.0,8816.0,nan
Peak_Dur_50,nan,2.0,2.0,1.0,nan,6.0,nan,nan,1.0,nan
Peak_Fre_50,nan,1.0,2.0,1.0,nan,2.0,nan,nan,1.0,nan
Peak_50,6795.0,6795.0,6795.0,6795.0,6795.0,6795.0,6795.0,6795.0,6795.0,nan
Dur_2,nan,16.0,12.0,15.0,5.0,12.0,nan,3.0,3.0,nan
Fre_2,nan,7.0,8.0,6.0,3.0,3.0,nan,3.0,2.0,nan
High_2,3710.5999999999995,3710.5999999999995,3710.5999999999995,3710.5999999999995,3710.5999999999995,3710.5999999999995,3710.5999999999995,3710.5999999999995,3710.5999999999995,nan
Dur_5,5.0,36.0,43.0,31.0,9.0,21.0,2.0,8.0,10.0,nan
Fre_5,3.0,11.0,11.0,9.0,4.0,4.0,1.0,4.0,6.0,nan
High_5,2511.4999999999964,2511.4999999999964,2511.4999999999964,2511.4999999999964,2511.4999999999964,2511.4999999999964,2511.4999999999964,2511.4999999999964,2511.4999999999964,nan
Dur_10,14.0,72.0,65.0,56.0,22.0,33.0,20.0,17.0,33.0,nan
Fre_10,7.0,10.0,11.0,11.0,7.0,6.0,7.0,5.0,11.0,nan
High_10,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,nan
Dur_20,38.0,121.0,108.0,112.0,56.0,61.0,49.0,32.0,85.0,nan
Fre_20,7.0,5.0,10.0,8.0,6.0,8.0,7.0,6.0,6.0,nan
High_20,864.0,864.0,864.0,864.0,864.0,864.0,864.0,864.0,864.0,nan
