Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970
Peak_20,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003,6832.000000000003
Peak_Dur_50,2.0,1.0,nan,2.0,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,1.0,4.0,2.0,nan,nan,1.0,2.0
Peak_Fre_50,2.0,1.0,nan,1.0,nan,2.0,nan,nan,nan,1.0,nan,nan,nan,1.0,1.0,1.0,nan,nan,1.0,2.0
Peak_50,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0
Dur_2,10.0,9.0,13.0,9.0,nan,15.0,6.0,18.0,3.0,6.0,3.0,2.0,6.0,3.0,12.0,4.0,4.0,1.0,8.0,15.0
Fre_2,5.0,5.0,5.0,5.0,nan,5.0,4.0,8.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0
High_2,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978,1492.3999999999978
Dur_5,23.0,25.0,29.0,19.0,2.0,28.0,14.0,46.0,14.0,11.0,16.0,9.0,22.0,10.0,19.0,7.0,17.0,11.0,23.0,21.0
Fre_5,8.0,8.0,7.0,6.0,1.0,8.0,6.0,10.0,3.0,3.0,7.0,3.0,8.0,4.0,6.0,3.0,5.0,5.0,7.0,4.0
High_5,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985,828.0999999999985
Dur_10,48.0,49.0,41.0,43.0,13.0,57.0,28.0,79.0,23.0,25.0,40.0,24.0,41.0,20.0,44.0,15.0,36.0,28.0,51.0,32.0
Fre_10,9.0,10.0,6.0,10.0,7.0,6.0,6.0,8.0,4.0,8.0,8.0,5.0,7.0,5.0,5.0,3.0,7.0,9.0,7.0,5.0
High_10,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0
Dur_20,90.0,107.0,70.0,90.0,43.0,88.0,60.0,109.0,54.0,56.0,78.0,52.0,81.0,45.0,74.0,64.0,94.0,59.0,82.0,68.0
Fre_20,8.0,7.0,9.0,10.0,6.0,4.0,6.0,6.0,7.0,6.0,7.0,7.0,5.0,6.0,8.0,9.0,6.0,7.0,3.0,5.0
High_20,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073,189.20000000000073
