Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968
Avg,2098.5150684931505,2398.251366120219,2123.9342465753425,1971.0164383561644,870.9506849315069,2868.1666666666665,1128.7342465753425,3332.301369863014,1296.0465753424658,1154.25956284153,1336.482191780822,1038.627397260274,2028.1561643835616,1187.9617486338798,2494.413698630137,1559.8164383561643,1838.3945205479451,nan
Std,3092.1185613941366,3310.977140564348,3304.357030869592,3236.6745719428277,882.1286196908096,5558.1040504974935,1885.7289795115407,4813.089503293124,2322.1974797198104,2331.425757137128,1872.7607129686992,1499.958163184622,2852.8224352114107,1749.809400599832,5621.521006707477,2663.313265953987,3006.143901981745,nan
CV,1.4734793225070564,1.3805796954139529,1.5557718117675148,1.6421347427433062,1.0128341764381088,1.9378595097324054,1.6706580714042942,1.444374013353715,1.7917546513374303,2.0198453035967727,1.4012612547222214,1.444173499698989,1.406608862428746,1.4729509621097314,2.253644216993621,1.7074530056631274,1.6352006429423782,nan
SP_Tim,221.0,193.0,240.0,191.0,221.0,207.0,235.0,198.0,186.0,243.0,227.0,185.0,199.0,187.0,205.0,186.0,225.0,nan
SP_Mag,1820.0,7020.0,3090.0,8330.0,2530.0,3390.0,3730.0,6930.0,3110.0,4050.0,1840.0,3460.0,14600.0,1750.0,8200.0,4920.0,3310.0,nan
SP_Dur,56.0,73.0,58.0,51.0,96.0,60.0,45.0,73.0,80.0,37.0,64.0,90.0,91.0,86.0,40.0,77.0,59.0,nan
SP_ROC,0.03053055173144128,0.03991596638655462,0.0357707732316022,0.03752464094621233,0.031578947368421054,0.03788200903534414,0.046511627906976744,0.04186046511627907,0.02822085889570552,0.046413502109704644,0.030303030303030304,0.02933522877864251,0.03773584905660377,0.032112535661499325,0.044444444444444446,0.03617312834224599,0.03852337373237695,nan
DS_Tim,277.0,266.0,298.0,242.0,317.0,267.0,280.0,271.0,266.0,280.0,291.0,275.0,290.0,273.0,245.0,263.0,284.0,nan
DS_Mag_90,243.20000000000027,451.90000000000026,1356.0000000000007,575.2,842.0,593.6999999999999,1606.0000000000005,331.4000000000001,269.40000000000003,201.00000000000006,170.8,806.5999999999997,281.0,236.60000000000014,904.8000000000002,242.2,nan,nan
DS_Mag_50,122.0,156.0,240.0,164.0,89.0,164.5,236.0,160.0,116.0,101.0,111.5,130.0,159.0,92.0,169.0,104.0,nan,nan
DS_Dur_WS,140.0,158.0,163.0,159.0,111.0,230.0,159.0,177.0,209.0,125.0,124.0,143.0,107.0,144.0,202.0,143.0,nan,nan
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,nan,2.0,nan,18.0,nan,50.0,29.0,9.0,44.0,73.0,nan,27.0,12.0,nan,42.0,44.0,nan,nan
FA_Mag,nan,235.92942880397317,nan,389.99725604890534,nan,4249.968066622919,2229.9373766048566,1630.0057951449319,404.9977604852784,207.99847149387836,nan,265.9999447780902,9540.001640605224,nan,1449.9857141349967,1159.993103878319,nan,nan
Wet_Tim,55.0,51.0,58.0,95.0,35.0,62.0,131.0,73.0,82.0,109.0,39.0,49.0,52.0,31.0,51.0,81.0,40.0,nan
FA_Dur,nan,5.0,nan,2.0,nan,8.0,5.0,2.0,2.0,5.0,nan,8.0,7.0,nan,5.0,3.0,nan,nan
Wet_BFL_Mag_10,1170.0,1587.0,1285.0,1295.0,586.0,2272.0,1196.0,2736.0,609.6,770.0,463.2,427.5,592.4,895.0,1180.0,1438.0,668.6,nan
Wet_BFL_Mag_50,2165.0,3865.0,2470.0,4175.0,1190.0,3670.0,2205.0,6100.0,2685.0,1800.0,1625.0,1470.0,1730.0,1560.0,2760.0,2830.0,2120.0,nan
Wet_BFL_Dur,166.0,142.0,182.0,96.0,186.0,145.0,104.0,125.0,104.0,134.0,188.0,136.0,147.0,156.0,154.0,105.0,185.0,nan
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_2,66800.0,66800.0,66800.0,66800.0,66800.0,66800.0,66800.0,66800.0,66800.0,66800.0,66800.0,66800.0,66800.0,66800.0,66800.0,66800.0,66800.0,nan
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_5,61999.99999999999,61999.99999999999,61999.99999999999,61999.99999999999,61999.99999999999,61999.99999999999,61999.99999999999,61999.99999999999,61999.99999999999,61999.99999999999,61999.99999999999,61999.99999999999,61999.99999999999,61999.99999999999,61999.99999999999,61999.99999999999,61999.99999999999,nan
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_10,42720.000000000015,42720.000000000015,42720.000000000015,42720.000000000015,42720.000000000015,42720.000000000015,42720.000000000015,42720.000000000015,42720.000000000015,42720.000000000015,42720.000000000015,42720.000000000015,42720.000000000015,42720.000000000015,42720.000000000015,42720.000000000015,42720.000000000015,nan
Peak_Dur_20,nan,1.0,nan,nan,nan,3.0,nan,1.0,nan,nan,nan,nan,nan,nan,3.0,nan,1.0,nan
Peak_Fre_20,nan,1.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan
Peak_20,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,nan
Peak_Dur_50,nan,1.0,1.0,1.0,nan,4.0,nan,3.0,nan,1.0,nan,nan,nan,nan,3.0,1.0,1.0,nan
Peak_Fre_50,nan,1.0,1.0,1.0,nan,2.0,nan,2.0,nan,1.0,nan,nan,nan,nan,1.0,1.0,1.0,nan
Peak_50,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,nan
Dur_2,12.0,9.0,11.0,12.0,nan,17.0,3.0,25.0,5.0,4.0,1.0,nan,6.0,2.0,9.0,4.0,7.0,nan
Fre_2,5.0,3.0,3.0,5.0,nan,4.0,1.0,4.0,3.0,1.0,1.0,nan,4.0,1.0,3.0,1.0,3.0,nan
High_2,11100.0,11100.0,11100.0,11100.0,11100.0,11100.0,11100.0,11100.0,11100.0,11100.0,11100.0,11100.0,11100.0,11100.0,11100.0,11100.0,11100.0,nan
Dur_5,29.0,24.0,20.0,22.0,1.0,37.0,7.0,48.0,12.0,9.0,8.0,7.0,25.0,3.0,40.0,8.0,12.0,nan
