Year,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
Avg,348.2739726027397,161.45628415300547,437.72328767123287,301.35616438356163,444.06849315068496,206.04098360655738,485.9945205479452,433.972602739726,334.44931506849315,123.46803278688526,351.91506849315067,711.8739726027397,340.3315068493151,85.28825136612022,20.306849315068494,487.3917808219178,176.6054794520548,315.948087431694,165.89287671232876,550.7945205479452,671.3342465753425
Std,878.5937871093969,460.8221294319215,1461.1405331715573,1081.1759372986005,974.0616886988628,436.2542510330274,1303.6248493777575,1374.1810928555665,850.3888801195825,187.31607296548802,907.9415109505607,1741.3461083450934,889.1181422764506,163.90809532914662,24.340811485482867,1105.9618524662267,442.09775522553275,827.8813898534868,541.0283687431512,1333.2100571209069,1378.8979789035998
CV,2.522708718493784,2.8541603806217872,3.3380461454200656,3.5877014147369355,2.193494255329518,2.1173178432601083,2.6823858999643804,3.166515775835112,2.542653974176709,1.5171220334319984,2.58000180224801,2.4461438054525546,2.6125061135468597,1.9218132943719517,1.198650322747065,2.2691434201068743,2.5033071261277278,2.620308280968688,3.261311633538894,2.420521641708769,2.0539663899729996
SP_Tim,199.0,116.0,201.0,197.0,209.0,171.0,190.0,144.0,181.0,198.0,175.0,186.0,209.0,197.0,242.0,192.0,223.0,147.0,180.0,199.0,212.0
SP_Mag,5020.0,3540.0,1990.0,360.0,960.0,1400.0,420.0,1200.0,1710.0,551.0,500.0,7900.0,442.0,697.0,19.0,1030.0,370.0,3080.0,487.0,1800.0,2570.0
SP_Dur,59.0,145.0,21.0,58.0,26.0,44.0,71.0,37.0,39.0,51.0,37.0,32.0,50.0,141.0,48.0,41.0,42.0,104.0,39.0,31.0,32.0
SP_ROC,0.04081632653061224,0.03333333333333333,0.08226495726495726,0.04009964641594342,0.07111111111111111,0.04430379746835443,0.034500991407799074,0.06666666666666667,0.07797537619699042,0.038098693759071114,0.040863177226813596,0.07453416149068323,0.0425531914893617,0.04519918283963228,0.05444444444444446,0.08247422680412371,0.0375,0.04774305555555555,0.03669724770642202,0.04865433505742088,0.04545108488770461
DS_Tim,258.0,261.0,222.0,255.0,235.0,215.0,261.0,181.0,220.0,249.0,212.0,218.0,259.0,338.0,290.0,233.0,265.0,251.0,219.0,230.0,244.0
DS_Mag_90,59.0,191.60000000000036,81.10000000000005,29.0,88.0,60.0,31.900000000000006,70.0,64.40000000000003,85.50000000000006,52.0,73.40000000000003,36.0,15.900000000000006,69.40000000000003,51.400000000000006,33.10000000000001,34.0,47.0,67.1,70.5
DS_Mag_50,28.0,15.0,23.0,16.0,23.0,21.5,17.0,16.5,15.0,16.0,19.0,24.0,16.0,12.0,11.0,19.0,15.5,15.0,13.5,24.5,31.5
