Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
Avg,909.1115068493151,970.4098360655738,535.341095890411,1218.9849315068493,933.6019178082192,599.0928961748634,130.3419178082192,859.3205479452055,410.8191780821918,810.733606557377,365.49041095890414,nan
Std,1592.0573125324793,2412.5950149893247,780.6976950289123,1728.3891457172526,2000.3740768718683,949.1720073659053,196.03216152582308,1323.0473992025704,787.7453348061882,1335.4299447623102,589.0210814573626,nan
CV,1.7512233653823526,2.4861609243069314,1.45831825918466,1.4178921338926667,2.142641353573982,1.584348626776006,1.5039840200468613,1.5396436200277321,1.917498930998264,1.6471871080230094,1.6115910672239013,nan
SP_Tim,204.0,199.0,186.0,186.0,211.0,181.0,242.0,206.0,223.0,195.0,234.0,nan
SP_Mag,1390.0,1460.0,1850.0,11700.0,1290.0,1470.0,297.0,1040.0,2650.0,1330.0,360.0,nan
SP_Dur,45.0,39.0,44.0,54.0,43.0,52.0,54.0,44.0,34.0,66.0,59.0,nan
SP_ROC,0.05699481865284974,0.07251616960114984,0.050724637681159424,0.05649717514124294,0.05566146391834466,0.052083333333333336,0.03773584905660377,0.06116872132895741,0.050359712230215826,0.05263157894736842,0.05128205128205128,nan
DS_Tim,249.0,238.0,230.0,240.0,254.0,233.0,296.0,250.0,257.0,261.0,293.0,nan
DS_Mag_90,133.60000000000002,183.2000000000001,113.70000000000002,97.39999999999998,95.0,111.0,88.2,113.40000000000003,85.80000000000001,73.80000000000001,nan,nan
DS_Mag_50,53.0,34.0,38.5,23.5,29.0,29.0,22.0,33.0,21.0,19.0,nan,nan
DS_Dur_WS,153.0,189.0,152.0,190.0,131.0,261.0,99.0,209.0,124.0,137.0,nan,nan
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,nan,0.0,11.0,nan,28.0,nan,45.0,24.0,50.0,nan,13.0,nan
FA_Mag,nan,149.99682588331117,55.998581382647885,nan,72.0024871333254,nan,270.999438087698,726.9711202043588,108.99888462866059,nan,82.99912208681688,nan
Wet_Tim,31.0,36.0,61.0,16.0,64.0,19.0,128.0,29.0,93.0,15.0,32.0,nan
FA_Dur,nan,4.0,5.0,nan,5.0,nan,7.0,3.0,9.0,nan,5.0,nan
Wet_BFL_Mag_10,386.0,441.79999999999995,358.20000000000005,627.9000000000001,459.0,262.6,55.10000000000001,514.6,253.0,475.00000000000006,112.00000000000003,nan
Wet_BFL_Mag_50,1120.0,1110.0,1100.0,1920.0,1290.0,738.0,249.0,1190.0,588.0,1065.0,382.0,nan
Wet_BFL_Dur,173.0,163.0,125.0,170.0,147.0,162.0,114.0,177.0,130.0,180.0,202.0,nan
Peak_Dur_2,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,26103.999999999996,26103.999999999996,26103.999999999996,26103.999999999996,26103.999999999996,26103.999999999996,26103.999999999996,26103.999999999996,26103.999999999996,26103.999999999996,26103.999999999996,nan
Peak_Dur_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,25510.0,25510.0,25510.0,25510.0,25510.0,25510.0,25510.0,25510.0,25510.0,25510.0,25510.0,nan
Peak_Dur_10,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
Peak_10,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,nan
Peak_Dur_20,nan,4.0,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_20,nan,2.0,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan
Peak_20,12120.0,12120.0,12120.0,12120.0,12120.0,12120.0,12120.0,12120.0,12120.0,12120.0,12120.0,nan
Peak_Dur_50,3.0,5.0,nan,3.0,3.0,nan,nan,1.0,nan,4.0,nan,nan
Peak_Fre_50,2.0,2.0,nan,3.0,2.0,nan,nan,1.0,nan,3.0,nan,nan
Peak_50,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,nan
Dur_2,14.0,11.0,1.0,17.0,18.0,5.0,nan,7.0,2.0,7.0,nan,nan
Fre_2,5.0,3.0,1.0,9.0,5.0,2.0,nan,3.0,2.0,3.0,nan,nan
High_2,4928.200000000002,4928.200000000002,4928.200000000002,4928.200000000002,4928.200000000002,4928.200000000002,4928.200000000002,4928.200000000002,4928.200000000002,4928.200000000002,4928.200000000002,nan
Dur_5,26.0,23.0,11.0,53.0,29.0,11.0,nan,24.0,6.0,16.0,4.0,nan
Fre_5,7.0,7.0,4.0,13.0,5.0,5.0,nan,7.0,4.0,5.0,3.0,nan
High_5,2953.499999999999,2953.499999999999,2953.499999999999,2953.499999999999,2953.499999999999,2953.499999999999,2953.499999999999,2953.499999999999,2953.499999999999,2953.499999999999,2953.499999999999,nan
Dur_10,49.0,46.0,25.0,94.0,47.0,27.0,nan,49.0,22.0,37.0,11.0,nan
Fre_10,11.0,7.0,8.0,10.0,8.0,8.0,nan,11.0,4.0,9.0,6.0,nan
High_10,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,nan
Dur_20,93.0,91.0,77.0,129.0,93.0,59.0,2.0,99.0,42.0,96.0,36.0,nan
Fre_20,11.0,8.0,9.0,6.0,7.0,10.0,1.0,7.0,5.0,14.0,9.0,nan
High_20,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,nan
