Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,153.49289617486338,165.34931506849315,176.69671232876712,206.8068493150685,85.19153005464482,221.5005479452055,173.13561643835615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,185.6469589041096,179.64953424657534,319.00013698630136,87.03575342465753,134.7846174863388,77.8963287671233,189.26920547945207,216.03520547945206,93.66245901639344,122.57397260273974,55.22383561643836,99.0164383561644
Std,570.3178529488258,501.8489379007727,588.93106505469,557.9807873966378,260.13846283526163,666.4225310287111,607.5409948555731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,635.6760566556462,357.22222782096316,807.2049715635848,329.0385620891458,485.77203727082986,243.8607596536409,477.99784524037057,433.25950048032945,314.30415324310593,523.8610624916719,211.29167244207764,474.7121846581686
CV,3.715597706222859,3.035083258088431,3.3330052228640645,2.698076921749138,3.053571906366745,3.0086721554908737,3.5090468810147115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.4241124142732966,1.988439487578426,2.5304220217254896,3.780498808159085,3.6040614005531135,3.130580908153968,2.5254918993796074,2.005504146968946,3.3557110985960157,4.273836046658103,3.826095563329232,4.7942765114477055
SP_Tim,213.0,171.0,159.0,199.0,116.0,201.0,197.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,151.0,234.0,197.0,152.0,151.0,220.0,197.0,178.0,199.0,87.0,186.0,134.0
SP_Mag,134.0,1850.0,2320.0,1900.0,2070.0,911.0,161.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2770.0,1180.0,5350.0,734.0,781.0,850.0,1440.0,2880.0,393.0,4920.0,482.0,1270.0
SP_Dur,31.0,27.0,40.0,47.0,124.0,23.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,46.0,29.0,103.0,28.0,18.0,33.0,39.0,37.0,158.0,45.0,33.0
SP_ROC,0.03901515151515152,0.0707070707070707,0.07036775106082037,0.06545541098064106,0.0625,0.078125,0.05172413793103448,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07100591715976332,0.044417767106842775,0.06425320207473272,0.047619047619047596,0.052969502407704615,0.06593406593406594,0.08904109589041095,0.07142857142857142,0.05542283803153375,0.048756293798207534,0.05905511811023623,0.04464559907398655
DS_Tim,244.0,198.0,199.0,246.0,240.0,224.0,258.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,188.0,280.0,226.0,255.0,179.0,238.0,230.0,217.0,236.0,245.0,231.0,167.0
DS_Mag_90,13.800000000000011,42.0,33.900000000000006,27.200000000000017,97.5,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.29,29.380000000000017,36.08,6.77,24.900000000000006,21.55,53.57000000000004,54.3,14.120000000000005,3.101,7.596,19.7
DS_Mag_50,2.1,2.55,1.9,7.2,1.75,1.85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.23,7.15,4.99,3.28,3.7,6.535,8.600000000000001,12.6,2.39,1.3050000000000002,1.77,1.86
DS_Dur_WS,173.0,218.0,172.0,149.0,196.0,178.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,232.0,158.0,205.0,171.0,263.0,216.0,154.0,252.0,173.0,240.0,187.0,251.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.0,0.0,0.0,30.0,64.0,0.0,0.0,0.0,0.0,23.0,0.0,57.0
FA_Tim,62.0,6.0,10.0,nan,10.0,28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,18.0,27.0,32.0,9.0,3.0,12.0,nan,4.0,nan,50.0,nan
FA_Mag,7.194258544302648,12.993405050468086,3.8264295687169074,nan,54.99255724705153,257.9787018840701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,54.30604513729058,74.18961441114938,42.09631666982989,13.185769040324784,10.689171370442237,19.994162263025636,323.9796808832738,nan,79.39761930480509,nan,16.263893528717198,nan
Wet_Tim,96.0,51.0,50.0,5.0,29.0,70.0,36.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,54.0,72.0,65.0,60.0,76.0,88.0,18.0,103.0,43.0,119.0,52.0
FA_Dur,17.0,5.0,2.0,nan,1.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,4.0,5.0,5.0,5.0,4.0,7.0,nan,2.0,nan,4.0,nan
Wet_BFL_Mag_10,39.60000000000001,33.400000000000006,30.8,17.0,36.0,51.0,41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69.83,76.8,84.48,24.68,16.2,12.25,71.72,46.94,26.85,15.93,4.648000000000001,22.59
Wet_BFL_Mag_50,140.0,137.0,120.0,82.0,71.0,147.0,146.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,243.0,178.0,460.0,80.5,156.0,44.25,281.0,172.5,92.25,236.5,81.2,85.2
Wet_BFL_Dur,117.0,120.0,109.0,194.0,87.0,131.0,161.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,94.0,180.0,125.0,87.0,91.0,144.0,109.0,160.0,96.0,44.0,67.0,82.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
