Year,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966
Avg,35.72185792349727,23.095616438356164,17.194520547945206,5.783013698630137,48.30928961748634,7.8863013698630136,45.28958904109588,7.753972602739728,9.607923497267759,6.138904109589042,16.916986301369864,28.166849315068493,5.417486338797815,23.983013698630135,13.198356164383561
Std,70.92641505696078,57.07680317113462,46.39488661719286,10.95904138955112,150.94327987306895,25.48685997775353,113.46099300071292,36.40509398120092,44.040017415295175,13.075731736421476,60.66916922974311,91.74168842016573,20.46410879742297,77.04628665164877,49.28502673542445
CV,1.9855186482421596,2.4713262503071376,2.6982367137150085,1.8950398461181346,3.124518722345951,3.231788741316671,2.5052334411283383,4.69502484034285,4.5837185764248645,2.129978169230079,3.586287069631923,3.2570802433017043,3.7774177021670394,3.2125356562694836,3.7341791751629354
SP_Tim,171.0,213.0,191.0,207.0,148.0,233.0,188.0,143.0,163.0,207.0,161.0,200.0,116.0,203.0,152.0
SP_Mag,177.0,45.0,91.0,34.0,942.0,47.0,585.0,421.0,67.0,13.0,184.0,105.0,222.0,70.0,39.0
SP_Dur,53.0,47.0,52.0,58.0,37.0,35.0,31.0,48.0,92.0,54.0,38.0,30.0,31.0,30.0,65.0
SP_ROC,0.08,0.06153846153846159,0.09090909090909091,0.10526315789473682,0.07246376811594203,0.08254076086956516,0.0971675845790716,0.0857843137254902,0.08510638297872347,0.09838709677419358,0.07368421052631571,0.08166666666666667,0.062499999999999965,0.07692307692307693,0.04446640316205526
DS_Tim,224.0,260.0,243.0,265.0,185.0,268.0,219.0,191.0,255.0,261.0,199.0,230.0,147.0,233.0,217.0
DS_Mag_90,2.960000000000002,2.3,1.180000000000001,0.4700000000000017,7.2,14.0,7.2,2.1,0.3,2.9,3.7,7.02,4.3,4.4,3.430000000000001
DS_Mag_50,0.2,0.4,0.1,0.1,0.7,1.4,0.2,0.1,0.0,0.0,0.0,1.0,0.4,0.2,0.1
DS_Dur_WS,198.0,197.0,153.0,164.0,315.0,209.0,229.0,280.0,160.0,210.0,171.0,165.0,291.0,212.0,228.0
DS_No_Flow,84.0,43.0,70.0,80.0,74.0,59.0,53.0,105.0,129.0,147.0,91.0,2.0,121.0,12.0,73.0
FA_Tim,23.0,nan,44.0,nan,nan,29.0,9.0,nan,nan,nan,61.0,nan,11.0,40.0,44.0
FA_Mag,2.7747080388103242,nan,23.00521914043346,nan,nan,6.582584785462262,10.991119506368468,nan,nan,nan,131.92147701039758,nan,1.7571982974753824,62.98658424838167,17.9834770913864
Wet_Tim,46.0,56.0,91.0,30.0,63.0,134.0,111.0,82.0,105.0,49.0,105.0,4.0,29.0,72.0,79.0
FA_Dur,14.0,nan,2.0,nan,nan,10.0,2.0,nan,nan,nan,4.0,nan,4.0,3.0,6.0
Wet_BFL_Mag_10,13.0,6.740000000000001,2.28,2.2,3.7600000000000002,3.3,21.200000000000003,0.8,3.4000000000000004,1.0,3.5,3.2,2.5,5.6,11.0
Wet_BFL_Mag_50,60.0,16.0,30.5,6.1,81.0,9.1,124.0,6.2,20.5,6.949999999999999,43.5,11.0,3.5,19.0,27.0
Wet_BFL_Dur,125.0,157.0,100.0,177.0,85.0,99.0,77.0,61.0,58.0,158.0,56.0,196.0,87.0,131.0,73.0
Peak_Dur_2,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0
Peak_Dur_5,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0
Peak_Dur_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_10,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0
Peak_Dur_20,nan,nan,nan,nan,4.0,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_20,nan,nan,nan,nan,3.0,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_20,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002
Peak_Dur_50,nan,nan,1.0,nan,5.0,nan,2.0,nan,1.0,nan,1.0,2.0,nan,2.0,1.0
Peak_Fre_50,nan,nan,1.0,nan,4.0,nan,2.0,nan,1.0,nan,1.0,1.0,nan,2.0,1.0
Peak_50,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0
Dur_2,16.0,8.0,5.0,nan,25.0,1.0,25.0,3.0,2.0,nan,6.0,7.0,2.0,8.0,3.0
Fre_2,6.0,4.0,3.0,nan,5.0,1.0,9.0,1.0,1.0,nan,3.0,3.0,1.0,2.0,1.0
High_2,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0
Dur_5,45.0,27.0,17.0,nan,45.0,3.0,56.0,6.0,5.0,1.0,16.0,24.0,3.0,23.0,6.0
Fre_5,7.0,6.0,5.0,nan,6.0,1.0,6.0,2.0,2.0,1.0,5.0,8.0,1.0,5.0,3.0
High_5,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0
Dur_10,93.0,46.0,44.0,6.0,70.0,17.0,73.0,12.0,20.0,10.0,33.0,60.0,7.0,44.0,23.0
Fre_10,5.0,6.0,7.0,4.0,2.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,2.0,5.0,4.0
High_10,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Dur_20,134.0,93.0,100.0,37.0,108.0,46.0,120.0,32.0,54.0,53.0,65.0,110.0,21.0,88.0,81.0
Fre_20,5.0,6.0,3.0,6.0,4.0,6.0,7.0,4.0,6.0,5.0,3.0,6.0,5.0,3.0,5.0
High_20,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
