Year,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965
Avg,10.96958904109589,2.278356164383562,1.5652054794520547,33.052185792349725,2.2038356164383566,53.525479452054796,2.4723287671232876,3.936612021857924,0.9506849315068493,9.18082191780822,32.17068493150685,4.991530054644809,22.42109589041096
Std,41.94242343251945,10.058875861604731,7.584047444650495,171.92391373136155,3.3344094916355957,171.33843616352377,8.074707767823416,30.072996319743183,2.1250446111463126,46.77401766035899,198.6758487251386,29.723003719643632,81.17873376221989
CV,3.823518207964634,4.414970766577353,4.845400520387591,5.201589837703113,1.5130028150758232,3.2010630809388525,3.266033172933895,7.6393091706177145,2.2352774728196083,5.0947527442647065,6.1756797888553,5.9546879201869665,3.620640764349898
SP_Tim,212.0,213.0,153.0,149.0,236.0,187.0,144.0,134.0,249.0,160.0,200.0,116.0,194.0
SP_Mag,17.0,5.5,64.0,192.0,29.0,2100.0,35.0,543.0,0.7,190.0,130.0,410.0,196.0
SP_Dur,62.0,124.0,38.0,36.0,72.0,33.0,161.0,161.0,31.0,19.0,36.0,15.0,27.0
SP_ROC,0.07549857549857555,0.33333333333333326,0.11111111111111108,0.07491987179487176,0.09999999999999998,0.1111111111111111,0.1250000000000001,0.1724137931034483,0.29166666666666663,0.1234567901234568,0.09999999999999998,0.0645604395604395,0.0690737833594977
DS_Tim,274.0,337.0,191.0,185.0,308.0,220.0,305.0,295.0,280.0,179.0,236.0,131.0,221.0
DS_Mag_90,1.3,0.9700000000000003,0.8,7.390000000000003,6.0,10.0,1.0,0.1,0.7,nan,6.690000000000003,3.6600000000000024,4.060000000000002
DS_Mag_50,0.7,0.0,0.0,1.3,0.5,1.6,0.3,0.0,0.0,nan,2.1,1.1,1.8
DS_Dur_WS,181.0,114.0,246.0,268.0,170.0,233.0,172.0,103.0,208.0,nan,228.0,308.0,218.0
DS_No_Flow,0.0,74.0,125.0,0.0,21.0,0.0,34.0,81.0,137.0,nan,8.0,0.0,0.0
FA_Tim,nan,44.0,46.0,nan,nan,15.0,nan,nan,nan,62.0,12.0,36.0,29.0
FA_Mag,nan,2.5815912115716215,1.8898267292105426,nan,nan,3.08235950698385,nan,nan,nan,18.993828896653,2029.6536594309723,12.986534224349725,3.7951831854952784
Wet_Tim,53.0,89.0,85.0,71.0,87.0,112.0,87.0,111.0,32.0,122.0,nan,98.0,73.0
FA_Dur,nan,5.0,1.0,nan,nan,10.0,nan,nan,nan,5.0,4.0,3.0,3.0
Wet_BFL_Mag_10,3.8,1.1,0.8,10.370000000000003,1.08,16.0,1.5,1.1800000000000002,0.4,0.6699999999999999,nan,2.04,5.3
Wet_BFL_Mag_50,8.5,2.0,2.5,37.5,2.7,70.0,4.0,7.9,0.8,20.0,nan,2.3,14.0
Wet_BFL_Dur,159.0,124.0,68.0,78.0,149.0,75.0,57.0,23.0,217.0,38.0,nan,18.0,121.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_2,2882.8,2882.8,2882.8,2882.8,2882.8,2882.8,2882.8,2882.8,2882.8,2882.8,2882.8,2882.8,2882.8
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_5,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0
Peak_Dur_10,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_10,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_10,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005
Peak_Dur_20,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,2.0,nan,nan
Peak_Fre_20,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,2.0,nan,nan
Peak_20,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017
Peak_Dur_50,1.0,nan,nan,6.0,nan,9.0,nan,1.0,nan,1.0,3.0,nan,4.0
Peak_Fre_50,1.0,nan,nan,4.0,nan,6.0,nan,1.0,nan,1.0,2.0,nan,2.0
Peak_50,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0
Dur_2,4.0,nan,nan,15.0,nan,37.0,nan,1.0,nan,8.0,13.0,3.0,16.0
Fre_2,4.0,nan,nan,7.0,nan,11.0,nan,1.0,nan,4.0,6.0,1.0,5.0
High_2,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0
Dur_5,21.0,3.0,3.0,46.0,nan,71.0,3.0,6.0,nan,16.0,38.0,4.0,30.0
Fre_5,9.0,2.0,2.0,8.0,nan,8.0,3.0,1.0,nan,4.0,10.0,1.0,5.0
High_5,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
Dur_10,44.0,7.0,6.0,86.0,6.0,122.0,15.0,11.0,3.0,24.0,86.0,9.0,70.0
Fre_10,8.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,7.0,3.0,9.0
High_10,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Dur_20,128.0,20.0,15.0,152.0,28.0,174.0,26.0,21.0,9.0,48.0,153.0,37.0,148.0
Fre_20,7.0,8.0,5.0,3.0,7.0,4.0,3.0,4.0,5.0,4.0,5.0,9.0,6.0
High_20,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
