Year,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
Avg,1.2032602739726028,30.279369863013702,12.30041095890411,28.77625683060109,7.178109589041095,38.51331506849315,49.54219178082192,16.31530054644809,8.690794520547945,27.83123287671233,4.657479452054795,4.204125683060109
Std,2.248030017516385,66.67487165352391,27.117222523063816,81.39333551032836,20.935320236687275,89.09431935043429,89.97717412593734,42.90003166330942,20.19364107625671,88.08757074864663,16.341036090044998,8.723002076073147
CV,1.868282420805302,2.201990066344391,2.204578579826555,2.82848933374036,2.916550656826064,2.3133381063662393,1.8161726579236253,2.629435574366354,2.3235667381747653,3.1650617541400234,3.5085578494255367,2.0748671028606895
SP_Tim,170.0,200.0,182.0,160.0,175.0,196.0,213.0,172.0,181.0,169.0,167.0,223.0
SP_Mag,17.0,89.0,144.0,122.0,242.0,549.0,209.0,30.0,116.0,405.0,48.0,5.1
SP_Dur,43.0,49.0,70.0,90.0,50.0,47.0,44.0,96.0,56.0,38.0,62.0,90.0
SP_ROC,0.09090909090909098,0.0625,0.07417582417582418,0.07142857142857138,0.058823529411764705,0.058823529411764705,0.06904761904761905,0.05873563218390803,0.08333333333333333,0.07019704433497537,0.06060606060606053,0.06250000000000006
DS_Tim,213.0,249.0,252.0,250.0,225.0,243.0,257.0,268.0,237.0,207.0,229.0,313.0
DS_Mag_90,0.9060000000000004,5.5,3.2,3.6,6.800000000000001,9.600000000000001,6.9,2.2,8.25,5.4300000000000015,2.190000000000001,1.2
DS_Mag_50,0.59,1.9,1.6,1.7,1.1,3.0,2.5,1.4,1.9,1.9,0.97,0.8
DS_Dur_WS,223.0,211.0,191.0,219.0,214.0,196.0,145.0,125.0,246.0,268.0,172.0,88.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,0.0,35.0,50.0,18.0,63.0,27.0,24.0,nan,10.0,20.0,65.0,22.0
FA_Mag,1.40921563314934,2.5926528456292988,12.984243503331635,9.398730327433361,47.964313946072004,16.97883602987357,15.984375317616978,nan,4.082332931364131,9.187611531255055,5.971082858762655,2.0054908883558342
Wet_Tim,34.0,70.0,94.0,77.0,103.0,73.0,73.0,36.0,27.0,117.0,109.0,35.0
FA_Dur,8.0,2.0,4.0,6.0,6.0,6.0,7.0,nan,2.0,4.0,5.0,2.0
Wet_BFL_Mag_10,0.71,13.8,5.17,8.56,1.92,22.200000000000003,9.98,7.9,3.8,8.66,2.3200000000000003,1.5
Wet_BFL_Mag_50,1.1,43.0,18.0,50.0,9.7,47.0,73.5,20.0,8.0,59.5,5.699999999999999,3.5
Wet_BFL_Dur,136.0,130.0,88.0,83.0,72.0,123.0,140.0,136.0,154.0,52.0,58.0,188.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_2,934.84,934.84,934.84,934.84,934.84,934.84,934.84,934.84,934.84,934.84,934.84,934.84
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_5,925.5999999999999,925.5999999999999,925.5999999999999,925.5999999999999,925.5999999999999,925.5999999999999,925.5999999999999,925.5999999999999,925.5999999999999,925.5999999999999,925.5999999999999,925.5999999999999
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan
Peak_10,905.6999999999999,905.6999999999999,905.6999999999999,905.6999999999999,905.6999999999999,905.6999999999999,905.6999999999999,905.6999999999999,905.6999999999999,905.6999999999999,905.6999999999999,905.6999999999999
Peak_Dur_20,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,1.0,nan,nan
Peak_Fre_20,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,1.0,nan,nan
Peak_20,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0,820.0
Peak_Dur_50,nan,2.0,nan,4.0,nan,4.0,2.0,1.0,nan,4.0,nan,nan
Peak_Fre_50,nan,2.0,nan,3.0,nan,3.0,1.0,1.0,nan,1.0,nan,nan
Peak_50,464.5,464.5,464.5,464.5,464.5,464.5,464.5,464.5,464.5,464.5,464.5,464.5
Dur_2,nan,13.0,2.0,12.0,2.0,15.0,25.0,3.0,1.0,14.0,1.0,nan
Fre_2,nan,6.0,1.0,3.0,2.0,6.0,10.0,3.0,1.0,4.0,1.0,nan
High_2,181.1800000000003,181.1800000000003,181.1800000000003,181.1800000000003,181.1800000000003,181.1800000000003,181.1800000000003,181.1800000000003,181.1800000000003,181.1800000000003,181.1800000000003,181.1800000000003
Dur_5,nan,31.0,10.0,24.0,4.0,37.0,67.0,15.0,4.0,25.0,2.0,1.0
Fre_5,nan,11.0,4.0,5.0,2.0,9.0,8.0,7.0,3.0,4.0,1.0,1.0
High_5,81.89999999999964,81.89999999999964,81.89999999999964,81.89999999999964,81.89999999999964,81.89999999999964,81.89999999999964,81.89999999999964,81.89999999999964,81.89999999999964,81.89999999999964,81.89999999999964
Dur_10,nan,71.0,27.0,53.0,11.0,87.0,105.0,28.0,11.0,45.0,4.0,2.0
Fre_10,nan,12.0,5.0,6.0,5.0,12.0,7.0,7.0,5.0,7.0,3.0,2.0
High_10,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
Dur_20,3.0,137.0,63.0,106.0,35.0,158.0,151.0,83.0,39.0,81.0,12.0,14.0
Fre_20,2.0,7.0,7.0,6.0,6.0,6.0,5.0,6.0,13.0,9.0,5.0,5.0
High_20,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
