Year,1962,1963,1964,1965,1966,1967,1968,1969,1970
Avg,67.75945205479452,122.533698630137,47.825956284153,123.06164383561644,66.90164383561644,90.23753424657534,54.67106557377049,119.41849315068494,nan
Std,180.24432352804712,345.5980854981965,162.47410927343103,537.1514196431906,177.40500972844552,175.03794308804993,132.14575258163723,250.3356287158876,nan
CV,2.660061704487963,2.820432985879014,3.3971952031258468,4.3648971596763975,2.6517287103489733,1.939746520663522,2.417105852881652,2.096288624241879,nan
SP_Tim,185.0,192.0,115.0,101.0,196.0,232.0,171.0,225.0,nan
SP_Mag,181.0,1630.0,2440.0,940.0,180.0,180.0,330.0,124.0,nan
SP_Dur,48.0,18.0,148.0,131.0,54.0,41.0,38.0,24.0,nan
SP_ROC,0.09600614439324116,0.12026647966339411,0.06666666666666667,0.06521739130434782,0.06666666666666667,0.07142857142857142,0.0784313725490196,0.10838709677419354,nan
DS_Tim,233.0,210.0,263.0,232.0,250.0,273.0,209.0,249.0,nan
DS_Mag_90,12.0,71.0,5.5,33.0,5.7,4.320000000000002,23.0,nan,nan
DS_Mag_50,1.3,3.1,0.3,0.9,0.6,1.2,3.5,nan,nan
DS_Dur_WS,137.0,186.0,153.0,215.0,155.0,149.0,221.0,nan,nan
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,nan,nan,nan,40.0,43.0,nan,2.0,11.0,nan
FA_Mag,nan,nan,nan,152.9865431534523,88.9938264099452,nan,5.799106728986128,14.002453157106887,nan
Wet_Tim,49.0,4.0,30.0,50.0,81.0,39.0,56.0,64.0,nan
FA_Dur,nan,nan,nan,4.0,3.0,nan,-1.0,2.0,nan
Wet_BFL_Mag_10,11.5,8.9,17.4,32.0,58.0,16.0,18.0,85.0,nan
Wet_BFL_Mag_50,63.5,32.5,33.0,226.0,118.0,110.0,72.0,136.0,nan
Wet_BFL_Dur,136.0,188.0,85.0,51.0,115.0,193.0,115.0,161.0,nan
Peak_Dur_2,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_2,7232.799999999999,7232.799999999999,7232.799999999999,7232.799999999999,7232.799999999999,7232.799999999999,7232.799999999999,7232.799999999999,nan
Peak_Dur_5,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_5,6171.999999999998,6171.999999999998,6171.999999999998,6171.999999999998,6171.999999999998,6171.999999999998,6171.999999999998,6171.999999999998,nan
Peak_Dur_10,nan,nan,nan,2.0,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_10,4404.000000000001,4404.000000000001,4404.000000000001,4404.000000000001,4404.000000000001,4404.000000000001,4404.000000000001,4404.000000000001,nan
Peak_Dur_20,nan,1.0,nan,2.0,nan,nan,nan,nan,nan
Peak_Fre_20,nan,1.0,nan,1.0,nan,nan,nan,nan,nan
Peak_20,2902.0000000000005,2902.0000000000005,2902.0000000000005,2902.0000000000005,2902.0000000000005,2902.0000000000005,2902.0000000000005,2902.0000000000005,nan
Peak_Dur_50,nan,1.0,1.0,3.0,1.0,nan,nan,1.0,nan
Peak_Fre_50,nan,1.0,1.0,1.0,1.0,nan,nan,1.0,nan
Peak_50,2220.0,2220.0,2220.0,2220.0,2220.0,2220.0,2220.0,2220.0,nan
Dur_2,6.0,18.0,2.0,10.0,3.0,8.0,2.0,10.0,nan
Fre_2,3.0,7.0,2.0,3.0,1.0,4.0,1.0,5.0,nan
High_2,742.3200000000015,742.3200000000015,742.3200000000015,742.3200000000015,742.3200000000015,742.3200000000015,742.3200000000015,742.3200000000015,nan
Dur_5,17.0,29.0,7.0,24.0,8.0,21.0,13.0,29.0,nan
Fre_5,6.0,8.0,4.0,8.0,2.0,6.0,6.0,7.0,nan
High_5,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,nan
Dur_10,29.0,41.0,19.0,50.0,24.0,44.0,27.0,60.0,nan
Fre_10,7.0,7.0,5.0,5.0,6.0,8.0,8.0,8.0,nan
High_10,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,nan
Dur_20,61.0,65.0,33.0,72.0,74.0,109.0,51.0,124.0,nan
Fre_20,7.0,10.0,6.0,6.0,8.0,9.0,9.0,9.0,nan
High_20,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,nan
