Year,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975
Avg,27.619999999999997,5.860109289617487,26.45068493150685,9.152054794520547,33.21123287671233,13.87346994535519,39.37438356164383,21.265616438356165,12.583698630136986,3.772732240437158,31.781315068493146,40.45780821917808,nan
Std,73.07591069078559,14.562585640417838,70.25288435220892,15.856682698117485,82.06288841275574,36.14291158210155,88.43773581524378,49.3882809511015,24.10032805476997,7.71878438781474,63.330605442138754,81.34031217199251,nan
CV,2.645760705676524,2.485036527598344,2.655994902745482,1.7325817047785907,2.470937731140301,2.6051818128025084,2.246072898558202,2.3224476513185537,1.915202259934257,2.0459401558061114,1.9926993362500107,2.0104972501559053,nan
SP_Tim,204.0,116.0,201.0,146.0,208.0,188.0,192.0,159.0,181.0,199.0,176.0,186.0,nan
SP_Mag,95.0,242.0,447.0,24.0,94.0,39.0,67.0,139.0,64.0,12.0,85.0,805.0,nan
SP_Dur,49.0,185.0,31.0,74.0,99.0,58.0,67.0,48.0,48.0,57.0,43.0,42.0,nan
SP_ROC,0.06316489361702127,0.07752403846153849,0.07407407407407407,0.03851851851851855,0.054093567251461985,0.05771365149833517,0.05131578947368421,0.058823529411764705,0.06153846153846159,0.12578947368421048,0.058823529411764705,0.0822072072072072,nan
DS_Tim,253.0,301.0,232.0,220.0,307.0,246.0,259.0,207.0,229.0,256.0,219.0,228.0,nan
DS_Mag_90,7.9,3.900000000000003,9.120000000000001,2.7,4.05,3.5599999999999996,5.6800000000000015,5.339999999999997,3.9,4.4,5.820000000000002,nan,nan
DS_Mag_50,3.4,0.7,2.2,0.8,2.3,2.1,2.2,1.6,1.3,0.37,2.2,nan,nan
DS_Dur_WS,143.0,137.0,167.0,188.0,146.0,195.0,173.0,210.0,191.0,141.0,179.0,nan,nan
DS_No_Flow,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,nan,10.0,28.0,nan,nan,2.0,33.0,15.0,nan,43.0,10.0,7.0,nan
FA_Mag,nan,15.995093352012232,7.317341728906359,nan,nan,4.13231934258935,8.377406200959806,13.970908491961731,nan,6.493405251418145,58.981133336904776,5.239244164062473,nan
Wet_Tim,4.0,30.0,72.0,33.0,42.0,87.0,75.0,66.0,51.0,54.0,31.0,32.0,nan
FA_Dur,nan,3.0,8.0,nan,nan,3.0,2.0,2.0,nan,3.0,4.0,2.0,nan
Wet_BFL_Mag_10,1.3800000000000003,5.9,9.16,3.92,4.6,4.9,9.72,4.6400000000000015,6.279999999999999,2.44,10.0,18.0,nan
Wet_BFL_Mag_50,17.0,7.9,20.0,13.0,24.0,21.0,55.0,40.0,16.0,4.7,48.0,40.0,nan
Wet_BFL_Dur,200.0,86.0,129.0,113.0,166.0,101.0,117.0,93.0,130.0,145.0,145.0,154.0,nan
Peak_Dur_2,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,1002.56,1002.56,1002.56,1002.56,1002.56,1002.56,1002.56,1002.56,1002.56,1002.56,1002.56,1002.56,nan
Peak_Dur_5,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,946.3999999999997,946.3999999999997,946.3999999999997,946.3999999999997,946.3999999999997,946.3999999999997,946.3999999999997,946.3999999999997,946.3999999999997,946.3999999999997,946.3999999999997,946.3999999999997,nan
Peak_Dur_10,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,868.2,nan
Peak_Dur_20,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_20,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_20,763.0000000000001,763.0000000000001,763.0000000000001,763.0000000000001,763.0000000000001,763.0000000000001,763.0000000000001,763.0000000000001,763.0000000000001,763.0000000000001,763.0000000000001,763.0000000000001,nan
Peak_Dur_50,3.0,nan,2.0,nan,2.0,nan,5.0,1.0,nan,nan,2.0,2.0,nan
Peak_Fre_50,2.0,nan,2.0,nan,2.0,nan,3.0,1.0,nan,nan,2.0,1.0,nan
Peak_50,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,nan
Dur_2,7.0,1.0,12.0,nan,11.0,3.0,20.0,5.0,1.0,nan,12.0,16.0,nan
Fre_2,4.0,1.0,4.0,nan,6.0,2.0,7.0,4.0,1.0,nan,6.0,5.0,nan
High_2,186.07999999999993,186.07999999999993,186.07999999999993,186.07999999999993,186.07999999999993,186.07999999999993,186.07999999999993,186.07999999999993,186.07999999999993,186.07999999999993,186.07999999999993,186.07999999999993,nan
Dur_5,21.0,1.0,22.0,2.0,30.0,5.0,45.0,18.0,5.0,nan,34.0,37.0,nan
Fre_5,8.0,1.0,4.0,2.0,9.0,3.0,4.0,5.0,3.0,nan,6.0,10.0,nan
High_5,93.09999999999945,93.09999999999945,93.09999999999945,93.09999999999945,93.09999999999945,93.09999999999945,93.09999999999945,93.09999999999945,93.09999999999945,93.09999999999945,93.09999999999945,93.09999999999945,nan
Dur_10,46.0,5.0,38.0,10.0,60.0,23.0,64.0,36.0,24.0,2.0,70.0,72.0,nan
Fre_10,8.0,2.0,5.0,4.0,4.0,7.0,4.0,7.0,6.0,2.0,11.0,8.0,nan
High_10,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,nan
Dur_20,101.0,11.0,72.0,41.0,102.0,52.0,110.0,84.0,56.0,11.0,105.0,144.0,nan
Fre_20,7.0,4.0,5.0,8.0,6.0,7.0,5.0,2.0,5.0,3.0,4.0,10.0,nan
High_20,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,nan
