Year,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Avg,1.6889344262295085,14.972328767123287,13.018904109589041,6.8484931506849325,1.5557103825136611,0.961150684931507,11.613726027397261,4.682465753424657,13.386693989071038,2.778109589041096,26.848876712328767,31.57342465753425,9.53032786885246,3.8050136986301366
Std,1.8974485920926836,41.34918178516803,23.98479767158709,14.757234740338719,1.039553242236354,0.7625747961739916,31.096477954668966,8.572986625061578,45.24114632158492,8.109429991220763,108.19906496746687,54.52260740654933,20.059438545380328,9.34558853148438
CV,1.123459006237842,2.7617067744307,1.8423054252255493,2.1548148498714372,0.6682177183626435,0.7933977555541499,2.677562556694646,1.830870117692046,3.379560805567081,2.9190461107835013,4.029928928750409,1.726851236377958,2.1048004666177,2.45612480576586
SP_Tim,211.0,154.0,186.0,193.0,194.0,232.0,211.0,183.0,161.0,175.0,196.0,213.0,90.0,182.0
SP_Mag,2.1,77.0,170.0,20.0,5.4,1.4,17.0,35.0,54.0,133.0,510.0,183.0,99.0,43.0
SP_Dur,71.0,51.0,147.0,48.0,153.0,63.0,44.0,67.0,126.0,52.0,27.0,128.0,196.0,47.0
SP_ROC,0.15078671328671328,0.054921968787515,0.0638297872340425,0.04909638554216872,0.0965116279069767,0.08571428571428563,0.03809869375907113,0.0555555555555556,0.046511627906976785,0.060661764705882346,0.08012820512820512,0.03798076923076922,0.05633802816901401,0.06155303030303029
DS_Tim,282.0,205.0,333.0,241.0,347.0,295.0,255.0,250.0,287.0,227.0,223.0,341.0,286.0,229.0
DS_Mag_90,1.5700000000000003,4.0,3.0,nan,nan,1.0,2.770000000000002,1.7000000000000002,2.270000000000002,3.3,8.0,3.8,1.9700000000000002,1.9
DS_Mag_50,0.58,1.3,2.4,nan,nan,0.61,1.2,1.4,1.2,0.97,3.5,3.0,1.7,1.4
DS_Dur_WS,114.0,193.0,152.0,nan,nan,141.0,204.0,194.0,184.0,216.0,217.0,51.0,114.0,171.0
DS_No_Flow,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
