Year,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970
Peak_50,124.0,nan,124.0,124.0,124.0,124.0,nan,124.0,124.0,nan,124.0,124.0,124.0,nan,124.0,nan
Dur_2,1.0,nan,1.0,35.0,3.0,nan,nan,17.0,3.0,nan,3.0,12.0,5.0,nan,30.0,nan
Fre_2,1.0,nan,1.0,7.0,3.0,nan,nan,2.0,2.0,nan,1.0,4.0,3.0,nan,6.0,nan
High_2,50.26000000000022,nan,50.26000000000022,50.26000000000022,50.26000000000022,50.26000000000022,nan,50.26000000000022,50.26000000000022,nan,50.26000000000022,50.26000000000022,50.26000000000022,nan,50.26000000000022,nan
Dur_5,1.0,nan,6.0,67.0,10.0,nan,nan,31.0,7.0,nan,8.0,41.0,46.0,nan,61.0,nan
Fre_5,1.0,nan,3.0,5.0,3.0,nan,nan,3.0,4.0,nan,3.0,4.0,6.0,nan,2.0,nan
High_5,17.0,nan,17.0,17.0,17.0,17.0,nan,17.0,17.0,nan,17.0,17.0,17.0,nan,17.0,nan
Dur_10,10.0,nan,14.0,109.0,21.0,4.0,nan,56.0,17.0,nan,18.0,105.0,89.0,nan,96.0,nan
Fre_10,5.0,nan,4.0,3.0,3.0,3.0,nan,4.0,5.0,nan,4.0,3.0,5.0,nan,1.0,nan
High_10,6.230000000000018,nan,6.230000000000018,6.230000000000018,6.230000000000018,6.230000000000018,nan,6.230000000000018,6.230000000000018,nan,6.230000000000018,6.230000000000018,6.230000000000018,nan,6.230000000000018,nan
Dur_20,38.0,nan,91.0,150.0,52.0,31.0,nan,106.0,83.0,nan,49.0,158.0,165.0,nan,152.0,nan
Fre_20,7.0,nan,3.0,2.0,4.0,6.0,nan,4.0,2.0,nan,3.0,1.0,3.0,nan,1.0,nan
High_20,1.4,nan,1.4,1.4,1.4,1.4,nan,1.4,1.4,nan,1.4,1.4,1.4,nan,1.4,nan
