Year,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,0.9679452054794523,7.9838356164383555,0.5930327868852459,14.956164383561644,4.028794520547946,2.4696164383561645,0.2692622950819672,12.036493150684933,3.989835616438356,4.244465753424658,0.14603825136612023,0.02967123287671233,11.192794520547945,3.087150684931507,15.453606557377048,1.391095890410959,12.15304109589041,47.73282191780822,5.439344262295082,1.2804931506849315,16.24342465753425,1.1064109589041096,0.5612295081967213,0.11627397260273972,0.876027397260274,2.3794520547945206,2.6322950819672135,18.040904109589043,1.0663013698630137,21.903945205479452,14.168032786885243,17.68523287671233,39.71347945205479,3.806465753424658,4.877295081967212,2.1177534246575345,1.354082191780822,3.8156712328767117,1.8081420765027325,9.25095890410959,6.088739726027397,0.4607945205479451,4.834644808743169,1.0699999999999998,7.193945205479452,9.281890410958903,0.45357923497267755,1.6425753424657534,0.16723287671232875,2.059123287671233
Std,2.1908870780527194,23.6884004114919,1.7923254223745329,43.060585080556294,10.024078582270374,5.781631079122244,0.5740768327408925,29.419146040111453,7.141915976024535,10.562643377750643,0.33555579644211786,0.26361117354218544,30.849646935196375,7.96380033131294,66.78671804082661,2.9250913399361416,40.23225691197535,100.5844260446005,18.777626688452468,2.7970323369222427,67.20570137709143,3.4022484098124997,2.9829492441588115,0.2682941168907567,7.615607898945577,14.70132321790424,17.827588820362088,51.33725908553614,2.2417534152822496,86.05363744859356,35.46944017452216,62.419099805766244,127.91972389050166,6.568880211659255,21.300930046021346,10.172655417371143,4.144461502285845,15.986641903288099,9.370623369897544,23.428719559045334,16.396819439354022,0.8867565488657396,19.8482692328703,4.168478517479121,25.036020457048775,26.93345325236961,0.8743341122801298,13.26319131199464,1.7991525441927614,9.608341113709633
CV,2.263441221311187,2.9670451083334632,3.0223040985444785,2.8791195373517215,2.4881086715008305,2.3411048733424513,2.1320357258565874,2.4441625705936922,1.790027625849903,2.488568406807888,2.2977253788178698,8.884402432400524,2.75620595719523,2.579660387225196,4.321756076347421,2.102724449190924,3.310468268356306,2.1072382064022563,3.452185738383365,2.1843399438928035,4.137409616137762,3.0750313727752636,5.315025672372936,2.307430552901183,8.693344435074701,6.1784490207657425,6.7726407052505895,2.8456034561066996,2.102363814434792,3.9286821000203442,2.5034837728039947,3.5294474345293385,3.2210656345268442,1.725716356635881,4.3673654531949735,4.803512674765798,3.0607163490092533,4.189732533962431,5.182459659376984,2.532572007063776,2.69297427335626,1.924407755134045,4.105424497157657,3.8957743154010487,3.480151675047434,2.901720668945836,1.9276325829439644,8.074631932611743,10.758366294730635,4.666229152590564
SP_Tim,133.0,208.0,172.0,151.0,159.0,218.0,153.0,176.0,188.0,177.0,196.0,nan,185.0,203.0,161.0,204.0,196.0,213.0,90.0,182.0,170.0,190.0,156.0,nan,nan,nan,nan,181.0,223.0,177.0,168.0,121.0,148.0,197.0,225.0,159.0,nan,95.0,152.0,178.0,190.0,153.0,152.0,195.0,197.0,179.0,201.0,88.0,nan,136.0
SP_Mag,5.2,28.0,2.4,251.0,50.0,3.1,0.98,33.0,17.0,36.0,0.32,nan,49.0,9.6,100.0,4.6,263.0,104.0,104.0,39.0,222.0,2.3,3.3,nan,nan,nan,nan,102.0,2.2,466.0,145.0,464.0,352.0,34.0,2.8,175.0,3.63,44.4,143.0,29.1,137.0,8.62,23.5,2.56,23.7,262.0,5.16,231.0,nan,10.5
SP_Dur,69.0,68.0,48.0,82.0,25.0,51.0,59.0,41.0,60.0,87.0,44.0,nan,12.0,51.0,38.0,27.0,90.0,71.0,118.0,64.0,37.0,93.0,101.0,nan,nan,nan,nan,50.0,34.0,44.0,109.0,125.0,40.0,47.0,14.0,31.0,nan,141.0,55.0,58.0,85.0,90.0,46.0,33.0,44.0,20.0,59.0,115.0,nan,33.0
SP_ROC,0.16025641025641021,0.11111111111111108,0.18349358974358976,0.0634920634920634,0.07142857142857145,0.16666666666666666,0.33333333333333326,0.05128205128205122,0.10119047619047619,0.09090909090909091,0.1666666666666666,nan,0.05756578947368421,0.07142857142857134,0.06666666666666667,0.11111111111111108,0.07692307692307693,0.058823529411764705,0.06666666666666672,0.08695652173913032,0.07142857142857142,0.07692307692307698,0.20000000000000004,nan,nan,nan,nan,0.054093567251461985,0.1666666666666666,0.058823529411764705,0.07692307692307693,0.06666666666666667,0.05555555555555555,0.050000000000000044,0.1219512195121951,0.054545454545454515,nan,0.07919925057021832,0.07471264367816086,0.06342867851942763,0.06432008248367507,0.10358699296010729,0.037613488975356685,0.13333333333333328,0.08370044052863433,0.06505402885195545,0.12121212121212131,0.08171206225680933,nan,0.06643983631431336
DS_Tim,202.0,276.0,220.0,233.0,184.0,269.0,212.0,217.0,248.0,264.0,240.0,nan,197.0,254.0,199.0,231.0,286.0,284.0,208.0,246.0,207.0,283.0,257.0,nan,nan,nan,nan,231.0,257.0,221.0,277.0,246.0,188.0,244.0,239.0,190.0,153.0,236.0,207.0,236.0,275.0,243.0,198.0,228.0,241.0,199.0,260.0,203.0,nan,169.0
DS_Mag_90,0.8,0.0,0.0,1.3,2.1,0.0,1.9,3.6,1.0,0.0,nan,nan,8.68,4.119999999999998,6.080000000000001,0.0,11.0,4.5,0.6960000000000013,1.15,7.050000000000008,0.0,nan,nan,nan,nan,nan,5.260000000000005,0.0,6.3,2.0,4.140000000000003,22.0,0.9760000000000002,0.9980000000000001,0.5670000000000002,1.3510000000000002,0.06,0.010000000000000002,1.5410000000000004,0.04,0.0,0.66,0.0,4.4540000000000015,9.482,0.0,nan,nan,0.10200000000000017
DS_Mag_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.01,0.0,0.12,2.0,0.0,0.0,0.12,0.0,nan,nan,nan,nan,nan,0.31,0.0,0.97,0.16,0.1,3.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,nan,nan,0.0
