Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974
Avg,197.45945205479453,99.63095890410959,108.40546448087431,148.4813698630137,96.73917808219178,172.1186301369863,137.6688524590164,nan,nan,nan,nan,nan,nan,nan,nan,96.04065934065935,217.98712328767124
Std,422.8461293373633,235.48529093560327,280.1716594660382,272.4314247423828,198.27801645049718,349.0778331912823,397.3282297352968,nan,nan,nan,nan,nan,nan,nan,nan,155.91247701731623,485.190206774987
CV,2.1414327090304317,2.3635754741881736,2.58447912019664,1.8347852326101464,2.0496144414420776,2.0281234687578977,2.8861156509863424,nan,nan,nan,nan,nan,nan,nan,nan,1.623400735560234,2.225774621259145
SP_Tim,188.0,184.0,242.0,226.0,212.0,222.0,178.0,nan,nan,nan,nan,nan,nan,nan,nan,186.0,186.0
SP_Mag,959.0,962.0,1650.0,812.0,262.0,403.0,263.0,nan,nan,nan,nan,nan,nan,nan,nan,397.0,4120.0
SP_Dur,36.0,22.0,25.0,42.0,114.0,31.0,126.0,nan,nan,nan,nan,nan,nan,nan,nan,42.0,34.0
SP_ROC,0.06818181818181818,0.075,0.0773524720893142,0.07854152897113902,0.05718954248366019,0.05596868884540117,0.0625,nan,nan,nan,nan,nan,nan,nan,nan,0.07692307692307693,0.07375565610859729
DS_Tim,224.0,206.0,267.0,268.0,326.0,253.0,304.0,nan,nan,nan,nan,nan,nan,nan,nan,228.0,220.0
DS_Mag_90,36.099999999999994,22.599999999999994,12.5,13.200000000000003,nan,18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.0,19.900000000000006
DS_Mag_50,8.8,4.4,3.0,4.8,nan,5.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.25,5.95
DS_Dur_WS,220.0,255.0,136.0,139.0,nan,131.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,154.0,162.0
DS_No_Flow,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
FA_Tim,9.0,40.0,8.0,nan,10.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.0,nan
FA_Mag,105.99873506513377,62.00524734149428,29.99998350537213,nan,21.99802811892921,1559.9922342386417,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.010428159264999,nan
Wet_Tim,35.0,78.0,95.0,37.0,41.0,nan,18.0,nan,nan,nan,nan,nan,nan,nan,nan,60.0,16.0
FA_Dur,-1.0,2.0,4.0,nan,3.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan
Wet_BFL_Mag_10,54.400000000000006,38.0,50.6,33.6,38.0,nan,53.60000000000001,nan,nan,nan,nan,nan,nan,nan,nan,67.5,53.900000000000006
Wet_BFL_Mag_50,262.0,156.5,119.0,131.0,97.0,nan,149.0,nan,nan,nan,nan,nan,nan,nan,nan,180.5,237.0
Wet_BFL_Dur,153.0,106.0,147.0,189.0,171.0,nan,160.0,nan,nan,nan,nan,nan,nan,nan,nan,126.0,170.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_2,4974.4,4974.4,4974.4,4974.4,4974.4,4974.4,4974.4,nan,nan,nan,nan,nan,nan,nan,nan,4974.4,4974.4
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_5,4936.0,4936.0,4936.0,4936.0,4936.0,4936.0,4936.0,nan,nan,nan,nan,nan,nan,nan,nan,4936.0,4936.0
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_10,4872.0,4872.0,4872.0,4872.0,4872.0,4872.0,4872.0,nan,nan,nan,nan,nan,nan,nan,nan,4872.0,4872.0
Peak_Dur_20,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_20,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_20,4486.0,4486.0,4486.0,4486.0,4486.0,4486.0,4486.0,nan,nan,nan,nan,nan,nan,nan,nan,4486.0,4486.0
Peak_Dur_50,1.0,nan,1.0,nan,nan,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0
Peak_Fre_50,1.0,nan,1.0,nan,nan,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0
Peak_50,3040.0,3040.0,3040.0,3040.0,3040.0,3040.0,3040.0,nan,nan,nan,nan,nan,nan,nan,nan,3040.0,3040.0
Dur_2,13.0,5.0,6.0,7.0,3.0,9.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,14.0
Fre_2,5.0,4.0,3.0,5.0,2.0,7.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,8.0
High_2,1041.3999999999987,1041.3999999999987,1041.3999999999987,1041.3999999999987,1041.3999999999987,1041.3999999999987,1041.3999999999987,nan,nan,nan,nan,nan,nan,nan,nan,1041.3999999999987,1041.3999999999987
Dur_5,28.0,12.0,11.0,23.0,8.0,27.0,13.0,nan,nan,nan,nan,nan,nan,nan,nan,9.0,34.0
Fre_5,11.0,5.0,4.0,11.0,4.0,8.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,5.0,10.0
High_5,613.0499999999997,613.0499999999997,613.0499999999997,613.0499999999997,613.0499999999997,613.0499999999997,613.0499999999997,nan,nan,nan,nan,nan,nan,nan,nan,613.0499999999997,613.0499999999997
Dur_10,55.0,25.0,20.0,48.0,23.0,48.0,25.0,nan,nan,nan,nan,nan,nan,nan,nan,22.0,65.0
Fre_10,11.0,8.0,6.0,12.0,9.0,11.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,9.0,12.0
High_10,370.0,370.0,370.0,370.0,370.0,370.0,370.0,nan,nan,nan,nan,nan,nan,nan,nan,370.0,370.0
Dur_20,100.0,52.0,51.0,75.0,57.0,85.0,67.0,nan,nan,nan,nan,nan,nan,nan,nan,65.0,108.0
Fre_20,6.0,8.0,11.0,12.0,10.0,9.0,13.0,nan,nan,nan,nan,nan,nan,nan,nan,10.0,11.0
High_20,178.0,178.0,178.0,178.0,178.0,178.0,178.0,nan,nan,nan,nan,nan,nan,nan,nan,178.0,178.0
