Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
Avg,3.4295890410958907,0.7575342465753425,0.00628415300546448,0.627945205479452,0.4693150684931507,5.080273972602741,0.063551912568306,22.435479452054793,0.5932602739726028,0.39421917808219176,0.011038251366120218,3.807808219178081,1.3103561643835617,0.0824109589041096,0.04945355191256831,0.0027397260273972603,17.209506849315066,2.5217260273972606,9.328169398907104,0.9233150684931508,2.218,13.548356164383561,1.7593169398907107,0.0018904109589041097,5.8939726027397255
Std,19.32052074217776,3.9156139079618706,0.08549991928043087,4.300689641703739,3.1745893181777087,25.207773207126515,0.07781480244753333,99.99076545089079,2.171541981195177,1.2647929089957375,0.20368869867650236,19.852841641021925,7.407988145663951,0.7165730437318935,0.7980763941520163,0.05227064117353125,66.07777659099055,9.226207165713603,42.73983744843732,4.89244418529341,14.32482166471986,39.65249427155042,7.850666591243798,0.013588433481775852,24.15685613785459
CV,5.633479845738043,5.168893585555453,13.605639328972913,6.848829490496793,6.764302983857932,4.961892477269685,1.2244289637058128,4.456814291157614,3.660352928494687,3.2083495154871375,18.45298606821779,5.213718889788829,5.653415725448151,8.695118383049904,16.137898356886073,19.078784028338905,3.8396089539091256,3.658687369474555,4.581803312174493,5.298780830337659,6.458440786618512,2.9267384020941534,4.462337861494976,7.188084378040849,4.098569465121985
SP_Tim,161.0,243.0,nan,nan,133.0,209.0,nan,151.0,159.0,226.0,nan,174.0,163.0,nan,nan,nan,159.0,183.0,160.0,175.0,nan,178.0,90.0,nan,170.0
SP_Mag,21.0,2.1,nan,nan,2.4,43.0,nan,676.0,22.0,3.9,nan,27.0,21.0,nan,nan,nan,105.0,73.0,80.0,79.0,nan,70.0,35.0,nan,178.0
SP_Dur,84.0,21.0,nan,nan,29.0,25.0,nan,28.0,84.0,50.0,nan,12.0,37.0,nan,nan,nan,62.0,36.0,38.0,35.0,nan,87.0,43.0,nan,33.0
SP_ROC,0.28571428571428564,0.33333333333333326,nan,nan,0.21111111111111114,0.10194805194805193,nan,0.06779661016949153,0.11805555555555561,0.12132352941176475,nan,0.30000000000000004,0.1111111111111112,nan,nan,nan,0.0989130434782608,0.07692307692307698,0.0701754385964913,0.14665471923536444,nan,0.058823529411764705,0.06250000000000006,nan,0.11764705882352938
DS_Tim,245.0,264.0,nan,nan,162.0,234.0,nan,179.0,243.0,276.0,nan,186.0,200.0,nan,nan,nan,221.0,219.0,198.0,210.0,nan,265.0,133.0,nan,203.0
DS_Mag_90,0.0,nan,nan,nan,0.1,nan,nan,2.7,0.0,nan,nan,0.56,nan,nan,nan,nan,1.6,0.69,2.3,nan,nan,2.9,nan,nan,0.40300000000000014
DS_Mag_50,0.0,nan,nan,nan,0.0,nan,nan,0.73,0.0,nan,nan,0.0,nan,nan,nan,nan,0.59,0.16,0.46,nan,nan,1.0,nan,nan,0.0
DS_Dur_WS,236.0,nan,nan,nan,258.0,nan,nan,306.0,187.0,nan,nan,266.0,nan,nan,nan,nan,269.0,275.0,309.0,nan,nan,150.0,nan,nan,288.0
DS_No_Flow,236.0,nan,nan,nan,225.0,nan,nan,0.0,175.0,nan,nan,228.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,0.0,nan,nan,252.0
FA_Tim,62.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60.0,0.0,nan,nan
FA_Mag,1.5438737318599793,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.496593972231997,12.943510358374565,nan,nan
