Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
Avg,434.36712328767123,546.188524590164,473.9013698630137,500.3972602739726,204.78630136986303,702.6256830601093,343.53972602739725,1085.3287671232877,310.4246575342466,251.80601092896174,314.8109589041096,323.63287671232877
Std,564.8423875336714,695.9953323908466,687.1287061135249,769.9912993588853,275.2748729956268,1589.5912796658017,752.326646257075,1854.0096278421418,723.9960667002863,474.39666954265005,479.627161010021,665.7431254291013
CV,1.3003801559806114,1.2742767397266193,1.4499403247391895,1.538760022261727,1.3442055018048054,2.2623586327541245,2.189926198512125,1.7082470160228749,2.3322762838851285,1.8839767477849625,1.5235402308726929,2.0570936185227806
SP_Tim,220.0,224.0,256.0,213.0,208.0,148.0,234.0,188.0,185.0,242.0,171.0,161.0
SP_Mag,1330.0,1040.0,480.0,1250.0,1200.0,7380.0,2180.0,5060.0,753.0,700.0,2500.0,2810.0
SP_Dur,54.0,39.0,39.0,31.0,63.0,47.0,48.0,51.0,76.0,39.0,102.0,89.0
SP_ROC,0.0425531914893617,0.040610183467326325,0.038838612368024134,0.03453654188948307,0.04854368932038835,0.0326975476839237,0.04699770942408377,0.04020100502512563,0.031578947368421054,0.046052631578947366,0.03731343283582089,0.029411764705882353
DS_Tim,274.0,263.0,295.0,244.0,271.0,195.0,282.0,239.0,261.0,281.0,273.0,250.0
DS_Mag_90,53.60000000000001,142.59999999999997,219.0,165.0,78.80000000000001,394.49999999999994,389.5,206.0,57.0,51.7,51.0,72.0
DS_Mag_50,31.0,43.5,58.0,51.0,27.0,52.0,89.0,53.0,39.0,35.0,36.0,38.0
DS_Dur_WS,129.0,160.0,147.0,156.0,157.0,304.0,156.0,210.0,213.0,124.0,143.0,166.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,1.0,44.0,17.0,6.0,50.0,29.0,9.0,nan,nan,6.0,nan
FA_Mag,nan,95.99271487969385,219.0026664703987,105.99565672325039,85.99305171766288,798.9769706759334,547.9967259740309,714.0048061877962,nan,nan,71.99889927014249,nan
Wet_Tim,21.0,37.0,57.0,76.0,34.0,62.0,133.0,72.0,83.0,108.0,39.0,50.0
FA_Dur,nan,5.0,8.0,5.0,8.0,5.0,2.0,2.0,nan,nan,2.0,nan
Wet_BFL_Mag_10,223.4,237.4,317.0,169.60000000000002,133.60000000000002,223.0,290.0,561.5,103.60000000000002,196.0,111.00000000000001,115.0
Wet_BFL_Mag_50,516.0,789.0,510.0,838.0,200.5,1380.0,520.0,1705.0,453.0,382.5,344.0,213.0
Wet_BFL_Dur,199.0,187.0,199.0,137.0,174.0,86.0,101.0,116.0,102.0,134.0,132.0,111.0
Peak_Dur_2,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_2,14412.0,14412.0,14412.0,14412.0,14412.0,14412.0,14412.0,14412.0,14412.0,14412.0,14412.0,14412.0
Peak_Dur_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_5,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan
Peak_10,13614.000000000002,13614.000000000002,13614.000000000002,13614.000000000002,13614.000000000002,13614.000000000002,13614.000000000002,13614.000000000002,13614.000000000002,13614.000000000002,13614.000000000002,13614.000000000002
Peak_Dur_20,nan,nan,nan,nan,nan,3.0,1.0,4.0,nan,nan,nan,nan
Peak_Fre_20,nan,nan,nan,nan,nan,2.0,1.0,3.0,nan,nan,nan,nan
