Year,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Avg,0.0016438356164383565,0.051366120218579225,0.017534246575342468,2.4898630136986295,1.24,0.21420765027322405,1.4448767123287671,0.3741095890410959,0.07421917808219179,0.01040983606557377,0.2556164383561643,0.03547945205479453,0.13873972602739726,3.734153005464482,0.3366301369863014,4.693205479452056,5.975863013698629,13.561010928961752,0.7725753424657533,1.221013698630137,11.671260273972603,3.6133333333333333,2.6966849315068493,2.816684931506849,0.36142465753424663,1.0965573770491803,0.07838356164383561,0.00882191780821918,3.8443013698630137,1.6940983606557376,15.141671232876712,0.7518082191780823,3.9477534246575336,0.09677595628415302,0.22126027397260273,2.235068493150685,0.03194520547945205,0.1787704918032787,0.0627945205479452,0.0,0.17517808219178085,0.10994535519125684,9.171616438356164,1.3073150684931507,0.014383561643835616,1.5812568306010926,0.14854794520547948,2.4547123287671235,2.289178082191781,0.08647540983606557,0.03758904109589041,0.07413698630136988,0.051123287671232864,0.026147540983606558
Std,0.023350439181000014,0.2499962674032322,0.09803243553137489,19.56456487150613,8.797679644274828,0.5160964248305681,7.868423336775797,2.7194111145444797,0.49993123490356284,0.020111609660654325,0.7046401710722179,0.06157390249280053,1.1082260541297428,46.603644733268204,3.7275362442560422,20.90386207677666,13.862175169128072,46.29894316341422,0.8315879827718989,3.474249431085999,35.663913629858556,21.691371980515328,8.528638602237827,19.966520614485567,1.5016258395924507,3.3657527281480055,0.21286400766023766,0.022181902079931187,37.66263333851428,4.829262310153647,55.96681601641458,1.3787137211415401,12.123152937444948,0.15021474271887048,2.5140705520085627,6.858322556061353,0.04598745821013607,1.9189295361769612,0.1575632040092065,0.0,1.2022559997083309,0.4619251675346593,35.71275509625671,6.5601349737131605,0.03832043345516078,19.173473480452692,0.34306886728652203,8.776847203583612,17.58267646444131,0.16867170945415602,0.22760021641035277,1.0313120425845705,0.6465864835353127,0.04709216729700593
CV,14.204850501775006,4.866948610084202,5.590912338898724,7.8576872558315785,7.0949029389313125,2.409327697550866,5.445740297173131,7.269022752169425,6.7358767345810415,1.9319814004723053,2.756630894333972,1.7354806494109796,7.987806274829308,12.480378994933899,11.073091309135307,4.454069221622328,2.319694266309559,3.414121808908455,1.0763843175706342,2.845381206602171,3.0557037365870907,6.003147227079888,3.1626381349163424,7.088659576775607,4.154740990382386,3.06938131883732,2.7156715412788097,2.514408155023255,9.797003334277182,2.850638677369581,3.6962112804889933,1.8338635917665613,3.0708992263103734,1.5521907350397117,11.362503113956482,3.0685066596744224,1.4395730914836764,10.73403958796833,2.5091871493612734,nan,6.863050358047243,4.201406841890788,3.8938343460269618,5.018021387357344,2.664182516406416,12.125464446635254,2.3094824153371545,3.5755094805719145,7.680781412867066,1.9505164505599086,6.054962025494079,13.910897839740139,12.647591987695026,1.8010170564999133
SP_Tim,nan,nan,nan,57.0,72.0,164.0,152.0,156.0,298.0,nan,167.0,nan,25.0,345.0,324.0,159.0,298.0,147.0,160.0,180.0,158.0,322.0,92.0,142.0,161.0,129.0,157.0,nan,155.0,188.0,145.0,174.0,165.0,nan,298.0,208.0,nan,nan,161.0,nan,342.0,nan,149.0,nan,nan,123.0,150.0,133.0,87.0,203.0,nan,nan,nan,nan
SP_Mag,nan,nan,nan,342.0,50.0,1.3,66.0,32.0,9.3,nan,2.3,nan,17.0,850.0,70.0,100.0,56.0,501.0,2.9,20.0,72.0,400.0,34.0,90.0,18.0,26.0,0.46,nan,676.0,35.0,331.0,6.3,92.0,nan,48.0,7.4,nan,7.3,1.2,nan,5.45,nan,124.0,83.0,nan,11.0,1.68,33.2,51.6,0.92,0.34,nan,nan,nan
SP_Dur,nan,nan,nan,256.0,14.0,175.0,156.0,17.0,22.0,nan,174.0,nan,247.0,nan,17.0,90.0,48.0,44.0,95.0,67.0,183.0,16.0,210.0,194.0,153.0,112.0,153.0,nan,170.0,14.0,29.0,97.0,35.0,nan,16.0,54.0,nan,nan,128.0,nan,40.0,nan,177.0,nan,nan,197.0,73.0,106.0,127.0,130.0,nan,nan,nan,nan
SP_ROC,nan,nan,nan,0.11564171122994656,0.24667931688804556,0.5,0.09761904761904758,0.08333333333333323,nan,nan,0.1333333333333333,nan,0.20000000000000004,nan,0.29166666666666663,0.06857366771159878,0.0555555555555556,0.08571428571428572,0.06250000000000006,0.11538461538461538,0.041666666666666664,0.33333333333333326,0.0833333333333333,0.07692307692307698,0.1099033816425121,0.09507678410117437,0.14835164835164844,nan,0.13188405797101443,0.24999999999999997,0.07142857142857142,0.04761904761904753,0.07407407407407414,nan,0.75,0.07417582417582416,nan,nan,0.07142857142857148,nan,0.2916666666666667,nan,0.058823529411764754,nan,nan,0.09677419354838701,0.06250000000000006,0.06282894736842111,0.055555555555555455,0.12095088819226751,nan,nan,nan,nan
DS_Tim,nan,nan,nan,313.0,86.0,339.0,308.0,173.0,320.0,nan,341.0,nan,272.0,272.0,341.0,249.0,346.0,191.0,255.0,247.0,341.0,338.0,302.0,336.0,314.0,241.0,310.0,nan,325.0,202.0,174.0,271.0,200.0,nan,314.0,262.0,nan,224.0,289.0,nan,382.0,nan,326.0,228.0,nan,320.0,223.0,239.0,214.0,333.0,302.0,nan,nan,nan
DS_Mag_90,nan,nan,nan,0.0,0.4,0.0,0.19,0.24,nan,nan,nan,nan,0.0,0.25,0.1,0.46199999999999986,1.1700000000000004,nan,0.26,0.24199999999999988,nan,1.4,0.09400000000000006,0.3660000000000001,0.01,0.05,nan,nan,0.23200000000000018,0.6930000000000013,6.060000000000002,0.04,nan,nan,0.39,nan,nan,0.01,nan,nan,nan,nan,0.358,nan,nan,0.14,0.01,0.12,0.28,0.0,nan,nan,nan,nan
DS_Mag_50,nan,nan,nan,0.0,0.1,0.0,0.01,0.0,nan,nan,nan,nan,0.0,0.05,0.03,0.06,0.67,nan,0.03,0.07,nan,1.2,0.05,0.02,0.01,0.01,nan,nan,0.01,0.0,0.55,0.0,nan,nan,0.02,nan,nan,0.0,nan,nan,nan,nan,0.17,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
