Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961
Avg,2223.73698630137,2503.530054644809,2227.2356164383564,2203.413698630137,1014.9945205479452,2792.3688524590166,1496.1534246575343,3720.641095890411,1439.1123287671232,1412.0901639344263,307.9506849315068
Std,2430.6959501461038,2653.057464567796,2428.433283616835,2451.367131299408,1003.6908436162086,3691.1169623193514,2234.4741696464157,3939.0135987911767,1835.439613940852,1904.0283482361438,281.39135284943455
CV,1.0930680944372644,1.0597266286640212,1.09033515165325,1.1125314927575443,0.9888633123599186,1.321858664577525,1.4934793001980269,1.0586921708578574,1.2753970466733888,1.3483759018128545,0.9137545932460599
SP_Tim,233.0,244.0,234.0,233.0,236.0,239.0,244.0,234.0,229.0,249.0,90.0
SP_Mag,4480.0,8400.0,7320.0,6200.0,5570.0,9990.0,5000.0,12900.0,4620.0,5960.0,1190.0
SP_Dur,71.0,82.0,87.0,77.0,79.0,71.0,59.0,82.0,67.0,64.0,211.0
SP_ROC,0.03847905930586795,0.04683614825240441,0.047325102880658436,0.048207663782447466,0.04175342598421384,0.05313255439161966,0.04960835509138381,0.04855330715795832,0.05263157894736842,0.039705882352941174,0.0346832397754611
DS_Tim,304.0,326.0,321.0,310.0,315.0,310.0,303.0,316.0,296.0,313.0,301.0
DS_Mag_90,303.20000000000005,591.0,376.6,310.90000000000015,220.30000000000013,528.0,2694.0,441.0,244.59999999999997,189.0,186.0
DS_Mag_50,191.0,222.0,265.0,237.0,150.5,280.0,780.0,263.0,167.0,151.0,182.0
DS_Dur_WS,100.0,124.0,83.0,90.0,110.0,189.0,177.0,133.0,180.0,97.0,109.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,1.0,44.0,17.0,7.0,10.0,26.0,9.0,44.0,nan,7.0
FA_Mag,nan,747.9969137488621,391.9476202407168,797.9810119035159,391.9882181031933,218.99883870192943,507.00442194974084,8219.871816674797,502.00060369136395,nan,383.0591177853171
Wet_Tim,13.0,38.0,84.0,38.0,34.0,59.0,133.0,114.0,83.0,110.0,44.0
FA_Dur,nan,6.0,4.0,4.0,2.0,2.0,5.0,2.0,2.0,nan,4.0
Wet_BFL_Mag_10,1376.0,859.0,1586.0,870.4,650.4,1378.0000000000005,1730.0,2621.0,661.0,938.4,303.5
Wet_BFL_Mag_50,2555.0,2250.0,2770.0,3030.0,971.0,3770.0,3180.0,5940.0,2540.0,2590.0,876.0
Wet_BFL_Dur,220.0,206.0,150.0,195.0,202.0,180.0,111.0,120.0,146.0,139.0,46.0
Peak_Dur_2,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_2,36180.000000000015,36180.000000000015,36180.000000000015,36180.000000000015,36180.000000000015,36180.000000000015,36180.000000000015,36180.000000000015,36180.000000000015,36180.000000000015,36180.000000000015
Peak_Dur_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_5,32400.0,32400.0,32400.0,32400.0,32400.0,32400.0,32400.0,32400.0,32400.0,32400.0,32400.0
Peak_Dur_10,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan
Peak_10,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0
Peak_Dur_20,1.0,nan,nan,nan,nan,2.0,nan,3.0,nan,nan,nan
Peak_Fre_20,1.0,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan
Peak_20,22700.0,22700.0,22700.0,22700.0,22700.0,22700.0,22700.0,22700.0,22700.0,22700.0,22700.0
Peak_Dur_50,1.0,nan,nan,1.0,nan,3.0,1.0,4.0,1.0,nan,nan
Peak_Fre_50,1.0,nan,nan,1.0,nan,2.0,1.0,2.0,1.0,nan,nan
Peak_50,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0,18700.0
Dur_2,7.0,6.0,8.0,6.0,nan,13.0,5.0,32.0,2.0,2.0,nan
Fre_2,3.0,5.0,4.0,3.0,nan,5.0,2.0,10.0,1.0,1.0,nan
High_2,9105.0,9105.0,9105.0,9105.0,9105.0,9105.0,9105.0,9105.0,9105.0,9105.0,9105.0
Dur_5,14.0,39.0,14.0,24.0,nan,34.0,7.0,64.0,2.0,4.0,nan
Fre_5,5.0,10.0,6.0,5.0,nan,9.0,2.0,10.0,1.0,2.0,nan
High_5,6655.0,6655.0,6655.0,6655.0,6655.0,6655.0,6655.0,6655.0,6655.0,6655.0,6655.0
Dur_10,35.0,76.0,33.0,48.0,3.0,62.0,13.0,107.0,9.0,17.0,nan
Fre_10,6.0,7.0,7.0,11.0,2.0,9.0,6.0,13.0,3.0,4.0,nan
High_10,4980.0,4980.0,4980.0,4980.0,4980.0,4980.0,4980.0,4980.0,4980.0,4980.0,4980.0
Dur_20,84.0,98.0,93.0,86.0,15.0,126.0,59.0,150.0,43.0,53.0,nan
Fre_20,10.0,6.0,7.0,9.0,4.0,7.0,5.0,9.0,8.0,8.0,nan
High_20,3260.0,3260.0,3260.0,3260.0,3260.0,3260.0,3260.0,3260.0,3260.0,3260.0,3260.0
