Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
Avg,0.8718579234972679,1.593424657534247,0.7945205479452054,1.280821917808219,1.1532786885245903,0.8564383561643836,0.7095890410958904,1.1564383561643836,1.1601639344262296,4.204410958904108,3.5178082191780824,1.4013150684931506,1.387377049180328,1.7937808219178082,2.1369863013698636,1.847205479452055,1.805491803278689,1.1600821917808222,9.871068493150686,7.28876712328767,7.00191256830601,4.660821917808219
Std,0.3311683928221884,15.675619689673592,0.6691008914972684,0.4296725526878675,0.9800343832121715,0.543094557379129,0.38197912284686625,0.4817131809134881,0.5829733241090639,5.157626033056896,1.7810372894001447,0.44064824217802606,0.8840333579975899,0.977154076360156,0.5929972277684902,2.2421365480817506,2.7912177168449235,0.5665321026927754,10.20556411269472,2.344812955244726,7.528733422241444,1.72619603437983
CV,0.3798421553523063,9.837691173883872,0.8421442255051826,0.33546627108250626,0.849781057227327,0.6341315209321244,0.5383103468691358,0.41654894819574306,0.5024921968440426,1.2267178645165662,0.5062917528279227,0.3144533674727839,0.6371976230397375,0.5447455254401921,0.2774922924814088,1.2137992080593254,1.545959783243658,0.4883551413052051,1.0338864652571436,0.32170227359206327,1.0752395647326527,0.3703630099627545
SP_Tim,213.0,312.0,233.0,161.0,54.0,197.0,175.0,75.0,56.0,257.0,155.0,63.0,90.0,296.0,187.0,68.0,345.0,256.0,246.0,237.0,258.0,155.0
SP_Mag,1.3,300.0,1.8,1.7,12.0,2.5,1.1,1.6,3.4,13.0,12.0,3.4,16.0,2.8,5.7,35.0,40.0,2.8,31.0,11.0,12.0,11.0
SP_Dur,67.0,29.0,67.0,152.0,173.0,194.0,nan,276.0,243.0,78.0,101.0,192.0,222.0,38.0,140.0,170.0,nan,17.0,85.0,117.0,49.0,170.0
SP_ROC,0.1250000000000001,0.19999999999999996,0.16666666666666663,0.09999999999999998,0.09090909090909098,0.19999999999999996,nan,0.09999999999999998,0.06666666666666672,0.04109589041095888,0.04880952380952385,0.07142857142857134,0.07142857142857134,0.052631578947368356,0.0555555555555556,0.08166666666666665,nan,0.07142857142857134,0.0625,0.028381642512077317,0.05084745762711876,0.04706533776301222
DS_Tim,280.0,341.0,300.0,313.0,227.0,391.0,nan,351.0,299.0,335.0,256.0,255.0,312.0,334.0,327.0,238.0,172.0,273.0,331.0,354.0,307.0,325.0
DS_Mag_90,0.8,0.6,1.3,nan,1.1,0.4,nan,1.1,0.97,nan,1.9,1.8,1.0,2.2,2.0,nan,1.5,1.3,14.600000000000001,5.629999999999999,5.6,5.5
DS_Mag_50,0.6,0.6,1.0,nan,1.0,0.4,nan,1.1,0.78,nan,1.8,1.4,0.94,1.8,1.8,nan,1.0,0.9,10.0,5.3,5.3,5.2
DS_Dur_WS,381.0,45.0,131.0,nan,218.0,35.0,nan,21.0,172.0,nan,141.0,161.0,83.0,60.0,59.0,nan,204.0,218.0,45.0,108.0,124.0,106.0
DS_No_Flow,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,36.0,nan,nan,16.0,28.0,nan,63.0,nan,13.0,nan,nan,nan,nan,nan,nan,11.0,nan,35.0,nan,nan,nan
FA_Mag,nan,6.408518825543473,nan,nan,15.441517311844022,2.0955102328671003,nan,3.169258133477254,nan,1.882098607760843,nan,nan,nan,nan,nan,nan,3.2038488140473738,nan,3.984933900889919,nan,nan,nan
Wet_Tim,62.0,295.0,20.0,65.0,nan,79.0,35.0,nan,6.0,105.0,nan,31.0,50.0,29.0,28.0,20.0,nan,10.0,125.0,10.0,96.0,65.0
FA_Dur,nan,5.0,nan,nan,3.0,12.0,nan,8.0,nan,2.0,nan,nan,nan,nan,nan,nan,3.0,nan,2.0,nan,nan,nan
Wet_BFL_Mag_10,0.8,0.4,0.6,1.1,nan,0.8,0.5,nan,1.2,0.9,nan,1.5,1.8,1.2,1.9,2.0,nan,0.825,3.7,5.0,3.31,4.8
Wet_BFL_Mag_50,1.0,0.5,0.7,1.5,nan,1.0,0.7,nan,1.5,2.8499999999999996,nan,1.5,1.9,1.7,2.2,2.1,nan,1.2,6.3,7.6,5.3,5.7
Wet_BFL_Dur,151.0,17.0,213.0,96.0,nan,118.0,140.0,nan,50.0,152.0,nan,32.0,40.0,267.0,159.0,48.0,nan,246.0,121.0,227.0,162.0,90.0
Peak_Dur_2,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964,210.95999999999964
Peak_Dur_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_5,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999,87.64999999999999
Peak_Dur_10,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
