Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Avg,1.0587397260273972,10.962657534246574,3.457950819672131,4.554027397260273,12.67849315068493,2.477178082191781,3.066693989071038,2.7861643835616436,1.2068219178082191,1.3989589041095891,1.03724043715847,8.559424657534247,4.294109589041096,0.6807945205479452,2.9255737704918032,1.1368219178082193,4.584958904109589,8.768191780821915,nan,0.9411077844311375,0.21063013698630137,0.35983561643835615,nan
Std,0.9492607365503375,27.953551195588034,4.043958849680491,5.563407101281719,14.53466029132431,1.8385029596577467,4.477929269841315,4.125456763465667,1.4538190739543837,1.8008570291411305,2.51368403188136,19.03402126252899,5.419605918953644,0.6116590275614125,5.53286989373068,1.7475698300075124,5.826124284324299,10.492565509774945,nan,1.4977498992948075,0.689126815115288,0.7544083958788935,nan
CV,0.8965949923425971,2.5498882098855224,1.1694668491739635,1.2216455053890747,1.1464028192135043,0.7421763388246431,1.46018131766638,1.4806939561089225,1.204667443059661,1.2872837249549813,2.423434279874029,2.223750079483988,1.2621023768897055,0.8984488110584554,1.8912084697835454,1.537241499862009,1.2707037088385305,1.1966624102274586,nan,1.59147541235156,3.271738911512488,2.096536199907082,nan
SP_Tim,147.0,177.0,159.0,125.0,149.0,196.0,153.0,162.0,98.0,219.0,154.0,176.0,193.0,155.0,150.0,159.0,159.0,183.0,nan,92.0,156.0,139.0,nan
SP_Mag,4.7,100.0,19.0,22.0,54.0,13.0,26.0,18.0,4.9,5.05,8.66,34.8,20.5,1.67,34.8,9.82,13.0,39.0,nan,4.55,3.55,1.34,nan
SP_Dur,170.0,72.0,145.0,164.0,166.0,135.0,146.0,125.0,201.0,94.0,112.0,107.0,147.0,152.0,96.0,152.0,175.0,141.0,nan,158.0,107.0,141.0,nan
SP_ROC,0.05172413793103434,0.035098522167487683,0.04279176201372992,0.0285714285714286,0.044466403162055336,0.03225806451612906,0.05882352941176463,0.06312226204699325,0.051495645588791994,0.04530791788856309,0.05064102564102568,0.02830188679245273,0.025278058645096056,0.058823529411764754,0.032408175161940445,0.040000000000000036,0.023182297154899962,0.02131445445597032,nan,0.03347338935574233,0.07692307692307698,0.10810810810810806,nan
DS_Tim,317.0,249.0,304.0,289.0,315.0,331.0,299.0,287.0,299.0,313.0,266.0,283.0,340.0,307.0,246.0,311.0,334.0,324.0,nan,250.0,263.0,280.0,nan
DS_Mag_90,0.47,5.809999999999999,1.4,2.5900000000000007,3.360000000000002,0.66,2.0,0.8610000000000001,0.095,0.41,0.9540000000000004,1.5,nan,0.2,1.04,1.4239999999999997,0.9600000000000002,nan,nan,0.16599999999999995,0.0,nan,nan
DS_Mag_50,0.19,1.55,1.0,0.93,2.3,0.57,0.63,0.715,0.03,0.24,0.11,0.77,nan,0.1,0.39,0.66,0.74,nan,nan,0.07,0.0,nan,nan
DS_Dur_WS,141.0,220.0,123.0,182.0,153.0,136.0,193.0,110.0,96.0,131.0,179.0,154.0,nan,147.0,229.0,155.0,107.0,nan,nan,245.0,152.0,nan,nan
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,nan,16.0,0.0,0.0,0.0,nan,nan,21.0,149.0,nan,nan
FA_Tim,71.0,4.0,72.0,28.0,45.0,nan,nan,25.0,nan,nan,74.0,18.0,62.0,70.0,nan,nan,12.0,51.0,nan,nan,nan,nan,nan
FA_Mag,3.961632478899443,1.1850286649812563,9.40800233142308,8.620838161408777,2.021474934117911,nan,nan,2.2437841403280996,nan,nan,1.3676728623422143,12.986888645851922,1.7134218817270075,2.4860499637315585,nan,nan,24.532216873227284,2.4411135201776952,nan,nan,nan,nan,nan
Wet_Tim,105.0,92.0,103.0,61.0,105.0,102.0,101.0,126.0,31.0,29.0,78.0,79.0,71.0,nan,88.0,109.0,100.0,75.0,nan,19.0,129.0,49.0,nan
FA_Dur,4.0,3.0,7.0,2.0,3.0,nan,nan,6.0,nan,nan,2.0,7.0,2.0,3.0,nan,nan,6.0,8.0,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,0.91,6.22,1.35,1.4300000000000002,4.26,1.83,0.6870000000000003,2.05,0.52,0.589,0.44,7.542,1.432,nan,0.3810000000000008,0.696,1.2,6.101,nan,0.0,0.12,0.069,nan
