Year,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
Avg,195.724043715847,526.5095890410959,363.958904109589,374.76164383561644,217.7377049180328,322.18630136986303,591.2931506849316,325.46301369863016,96.21857923497268,36.86027397260274,363.64931506849314,203.44383561643835,473.08196721311475,131.3068493150685
Std,316.4608468104328,874.3711591084493,795.4844726682811,361.63062310858095,245.53238030965477,355.95908388660155,653.4960892922085,381.1861255746904,75.02423130714055,25.600185892550826,407.52872698921317,245.46694724143163,871.093273162602,164.41312510414593
CV,1.6168726171929702,1.6606937030356757,2.185643663848264,0.964961673791795,1.1276521005036095,1.1048237692699667,1.105198138241959,1.1712118106534166,0.7797270745801181,0.6945196856534154,1.1206640851570293,1.2065587856110878,1.8413157413167485,1.2521290851297446
SP_Tim,149.0,233.0,116.0,263.0,192.0,247.0,243.0,261.0,218.0,242.0,255.0,234.0,238.0,183.0
SP_Mag,2400.0,2020.0,7040.0,1220.0,1050.0,810.0,1560.0,1300.0,223.0,106.0,1010.0,782.0,1420.0,573.0
SP_Dur,122.0,54.0,152.0,63.0,97.0,34.0,62.0,47.0,119.0,57.0,47.0,57.0,52.0,92.0
SP_ROC,0.053691275167785234,0.05998265650657761,0.05398457583547558,0.041666666666666664,0.04522613065326633,0.05263157894736842,0.06818181818181818,0.05128205128205128,0.037037037037037035,0.05173951828724353,0.04706533776301218,0.039230769230769236,0.059233449477351915,0.05063291139240506
DS_Tim,271.0,287.0,268.0,326.0,289.0,281.0,305.0,308.0,337.0,299.0,302.0,291.0,290.0,275.0
DS_Mag_90,130.39999999999998,69.0,51.2,109.19999999999999,150.6,58.400000000000006,94.30000000000001,66.0,31.0,27.5,53.80000000000007,103.20000000000005,70.4,58.900000000000006
DS_Mag_50,38.0,42.0,34.0,44.0,41.0,40.0,48.0,49.0,24.0,15.0,38.0,39.0,45.0,36.0
DS_Dur_WS,180.0,146.0,129.0,143.0,138.0,117.0,178.0,78.0,165.0,136.0,159.0,153.0,187.0,202.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,2.0,12.0,15.0,23.0,42.0,10.0,7.0,27.0,10.0,44.0,35.0,50.0,19.0,38.0
FA_Mag,126.82853273754148,118.99773281734188,189.99440935983736,86.99568434341082,125.97496295950026,191.98854641772505,86.01186838954203,71.99449402870138,181.96825084113897,67.96520181509234,42.98707022161366,139.97824829977756,168.0002262645172,80.99223894559911
Wet_Tim,98.0,85.0,67.0,31.0,103.0,61.0,32.0,117.0,20.0,136.0,69.0,95.0,78.0,111.0
FA_Dur,2.0,4.0,4.0,7.0,4.0,3.0,9.0,9.0,2.0,5.0,1.0,4.0,3.0,7.0
Wet_BFL_Mag_10,108.0,258.1,59.6,185.20000000000002,147.0,146.0,341.0,280.9,66.0,37.5,277.5,78.0,220.9,120.0
Wet_BFL_Mag_50,305.0,730.5,520.0,438.5,384.0,501.5,745.0,576.0,109.0,63.0,574.5,395.0,579.5,210.5
Wet_BFL_Dur,51.0,148.0,49.0,232.0,89.0,186.0,211.0,144.0,198.0,106.0,186.0,139.0,160.0,72.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_2,10120.2,10120.2,10120.2,10120.2,10120.2,10120.2,10120.2,10120.2,10120.2,10120.2,10120.2,10120.2,10120.2,10120.2
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_5,9250.5,9250.5,9250.5,9250.5,9250.5,9250.5,9250.5,9250.5,9250.5,9250.5,9250.5,9250.5,9250.5,9250.5
Peak_Dur_10,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_10,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_10,8041.000000000002,8041.000000000002,8041.000000000002,8041.000000000002,8041.000000000002,8041.000000000002,8041.000000000002,8041.000000000002,8041.000000000002,8041.000000000002,8041.000000000002,8041.000000000002,8041.000000000002,8041.000000000002
Peak_Dur_20,nan,3.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan
Peak_Fre_20,nan,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_20,5456.000000000002,5456.000000000002,5456.000000000002,5456.000000000002,5456.000000000002,5456.000000000002,5456.000000000002,5456.000000000002,5456.000000000002,5456.000000000002,5456.000000000002,5456.000000000002,5456.000000000002,5456.000000000002
Peak_Dur_50,nan,6.0,8.0,1.0,nan,1.0,7.0,1.0,nan,nan,nan,nan,6.0,nan
Peak_Fre_50,nan,2.0,4.0,1.0,nan,1.0,6.0,1.0,nan,nan,nan,nan,2.0,nan
Peak_50,2925.0,2925.0,2925.0,2925.0,2925.0,2925.0,2925.0,2925.0,2925.0,2925.0,2925.0,2925.0,2925.0,2925.0
