Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978
Avg,4.781095890410959,115.08524590163934,32.05671232876713,32.0427397260274,17.75068493150685,16.988524590163934,18.453698630136987,146.51205479452057,29.471232876712328,11.4948087431694,7.115342465753424,83.88054794520548,18.929041095890412,13.723497267759564,21.104657534246574,159.75068493150684,143.05178082191782,47.46174863387978,363.14246575342463,49.536986301369865,46.701369863013696,20.32732240437159,76.25424657534246,50.30684931506849,30.706849315068492,24.02513661202186,22.169041095890414,327.9879452054795
Std,2.881247618674955,247.14357401267628,47.26072063795277,41.77197635894497,10.18655201707733,31.605032273931954,35.24120904689932,253.93583682604734,50.560727299509416,6.219583942433186,7.809192700666431,278.7638756882621,22.55827352790889,15.653262891015357,27.731036076371517,415.539389862054,201.2141878718751,55.16534917815479,1346.880335158902,81.3061313074106,91.02840817027334,37.37341281882959,215.36423944715503,58.202801629049134,18.45866414056029,34.8897126062449,23.679373150046292,727.3750083784747
CV,0.6026333051494805,2.147482694905167,1.4742847037230902,1.3036331074091891,0.5738681102381888,1.8603753437323645,1.9097097960268203,1.7332078045194703,1.715595934212228,0.5410776361223992,1.0975146647195901,3.3233435226289068,1.1917282768648225,1.1406176272421,1.3139770702922946,2.601174386452344,1.406582894080588,1.1623117724486014,3.7089585002527348,1.6413217149054182,1.949159273856023,1.8385802160933933,2.824291749238725,1.156955810619918,0.6011253043633571,1.4522170329215338,1.0681279829661128,2.2176882382759078
SP_Tim,216.0,175.0,105.0,186.0,224.0,225.0,155.0,190.0,144.0,321.0,123.0,141.0,252.0,192.0,205.0,102.0,214.0,64.0,151.0,160.0,68.0,96.0,141.0,114.0,235.0,138.0,227.0,158.0
SP_Mag,11.0,375.0,380.0,103.0,48.0,72.0,84.0,1780.0,225.0,13.0,20.0,819.0,32.0,44.0,120.0,983.0,518.0,181.0,14400.0,280.0,128.0,72.0,695.0,254.0,44.0,70.0,64.0,7260.0
SP_Dur,78.0,88.0,181.0,102.0,63.0,76.0,138.0,140.0,168.0,42.0,145.0,32.0,66.0,101.0,26.0,147.0,64.0,196.0,22.0,34.0,278.0,63.0,86.0,149.0,100.0,93.0,138.0,119.0
SP_ROC,0.07059800664451821,0.026787849796699355,0.045454545454545456,0.04706533776301218,0.05555555555555555,0.058823529411764705,0.05263157894736842,0.03389830508474576,0.05263157894736842,0.06896551724137923,0.0754985754985755,0.056710977701543736,0.06060606060606053,0.06060606060606061,0.06741573033707865,0.034482758620689655,0.0395010395010395,0.044444444444444446,0.06824146981627296,0.028324388789505068,0.041666666666666664,0.05,0.03550420168067227,0.042147293700088725,0.06458333333333333,0.047619047619047616,0.05263157894736842,0.04193775276947424
DS_Tim,294.0,263.0,286.0,288.0,287.0,301.0,293.0,330.0,312.0,363.0,268.0,173.0,318.0,293.0,231.0,249.0,278.0,260.0,173.0,194.0,346.0,159.0,227.0,263.0,335.0,231.0,365.0,277.0
DS_Mag_90,19.0,42.0,6.3,nan,14.0,7.1,26.5,nan,10.0,5.4799999999999995,16.200000000000017,nan,11.800000000000011,11.0,25.0,25.900000000000006,74.0,20.0,272.0,33.0,23.0,23.0,46.0,nan,nan,nan,33.20000000000016,126.79999999999987
DS_Mag_50,3.7,35.5,3.7,nan,11.0,6.2,9.95,nan,8.0,3.5,2.3,nan,8.0,6.2,17.0,14.0,64.0,14.0,71.0,16.0,20.0,11.0,28.0,nan,nan,nan,17.0,35.0
DS_Dur_WS,158.0,112.0,179.0,nan,184.0,96.0,186.0,nan,127.0,29.0,219.0,nan,153.0,245.0,175.0,172.0,131.0,208.0,221.0,201.0,93.0,328.0,226.0,nan,nan,nan,97.0,185.0
DS_No_Flow,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0
FA_Tim,nan,2.0,nan,45.0,0.0,nan,nan,10.0,nan,nan,9.0,29.0,nan,50.0,40.0,nan,37.0,nan,18.0,nan,nan,nan,18.0,40.0,27.0,nan,1.0,nan
FA_Mag,nan,9.936248881374947,nan,9.69626618332437,38.000186839273724,nan,nan,33.99719379960543,nan,nan,8.000266163623094,111.9916810428627,nan,41.944165535118984,10.979991257405587,nan,210.982747034792,nan,48.23290194387099,nan,nan,nan,36.99929470843566,47.036283312750484,56.031091964316865,nan,41.000251379824796,nan
Wet_Tim,nan,86.0,9.0,99.0,nan,105.0,31.0,113.0,nan,73.0,26.0,121.0,nan,105.0,172.0,40.0,55.0,43.0,102.0,28.0,29.0,73.0,121.0,87.0,nan,nan,nan,96.0
FA_Dur,nan,3.0,nan,7.0,5.0,nan,nan,0.0,nan,nan,4.0,4.0,nan,8.0,6.0,nan,6.0,nan,6.0,nan,nan,nan,4.0,9.0,4.0,nan,0.0,nan
Wet_BFL_Mag_10,nan,39.400000000000006,23.0,9.46,nan,9.6,4.3,56.2,nan,7.480000000000001,7.6,16.0,nan,9.1,8.0,74.9,40.8,31.0,19.8,23.0,14.0,9.68,18.9,26.0,nan,nan,nan,94.1
Wet_BFL_Mag_50,nan,118.0,44.0,51.0,nan,15.0,9.1,189.0,nan,13.0,9.9,374.0,nan,10.0,78.0,344.5,122.0,146.0,608.0,29.0,33.0,55.0,125.5,187.0,nan,nan,nan,320.5
Wet_BFL_Dur,nan,89.0,96.0,87.0,nan,120.0,124.0,77.0,nan,248.0,97.0,20.0,nan,87.0,33.0,62.0,159.0,21.0,49.0,132.0,39.0,23.0,20.0,27.0,nan,nan,nan,62.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007,10544.400000000007
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0
Peak_5,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995,6118.999999999995
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,6.0,nan,nan,nan,nan,nan,nan,nan,nan,4.0
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0
Peak_10,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0
Peak_Dur_20,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,10.0,nan,nan,nan,1.0,nan,nan,nan,nan,8.0
Peak_Fre_20,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,2.0
Peak_20,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005,2542.0000000000005
Peak_Dur_50,nan,11.0,nan,nan,nan,nan,1.0,20.0,1.0,nan,nan,9.0,nan,nan,nan,27.0,14.0,1.0,40.0,3.0,1.0,nan,4.0,1.0,nan,nan,nan,51.0
Peak_Fre_50,nan,3.0,nan,nan,nan,nan,1.0,5.0,1.0,nan,nan,1.0,nan,nan,nan,4.0,5.0,1.0,3.0,1.0,1.0,nan,2.0,1.0,nan,nan,nan,8.0
Peak_50,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5,536.5
Dur_2,nan,11.0,nan,1.0,nan,1.0,1.0,21.0,1.0,nan,nan,12.0,nan,nan,nan,28.0,18.0,2.0,42.0,3.0,1.0,nan,4.0,1.0,nan,1.0,nan,57.0
Fre_2,nan,3.0,nan,1.0,nan,1.0,1.0,5.0,1.0,nan,nan,2.0,nan,nan,nan,4.0,5.0,1.0,3.0,1.0,1.0,nan,2.0,1.0,nan,1.0,nan,7.0
High_2,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999,496.119999999999
Dur_5,nan,38.0,4.0,1.0,nan,2.0,1.0,53.0,4.0,nan,nan,27.0,2.0,nan,nan,45.0,66.0,5.0,93.0,10.0,3.0,3.0,24.0,6.0,nan,2.0,nan,125.0
Fre_5,nan,6.0,2.0,1.0,nan,1.0,1.0,8.0,3.0,nan,nan,2.0,1.0,nan,nan,3.0,6.0,1.0,3.0,1.0,2.0,1.0,5.0,4.0,nan,2.0,nan,4.0
High_5,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0,231.0
Dur_10,nan,93.0,25.0,12.0,nan,2.0,4.0,113.0,9.0,nan,nan,33.0,2.0,1.0,8.0,96.0,132.0,19.0,132.0,28.0,30.0,4.0,66.0,29.0,3.0,4.0,7.0,181.0
Fre_10,nan,3.0,6.0,6.0,nan,1.0,3.0,7.0,3.0,nan,nan,3.0,1.0,1.0,3.0,6.0,5.0,2.0,2.0,2.0,7.0,1.0,3.0,3.0,1.0,2.0,5.0,8.0
High_10,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0
