Year,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Avg,121.46849315068494,351.1068493150685,159.55191256830602,383.38904109589043,297.73424657534247,269.52054794520546,179.66120218579235,290.9835616438356,447.5068493150685,246.54246575342466,71.84699453551913,25.026575342465755,316.318904109589,195.2082191780822,429.1803278688525,110.78904109589041,609.0657534246575,554.4767123287671,363.43169398907105,141.94246575342467
Std,152.00285584619996,458.5826372188183,254.44577354845165,649.456444501523,718.0981640491317,336.8501682931921,211.79015795921873,392.28702764499815,656.9671479722032,325.2558891121562,63.68406118831562,16.23381657530009,410.29961361218204,265.44163342317444,1385.1816792109803,174.22414122833763,1183.7022561830847,662.5981013995078,700.8134730602811,156.58866621962335
CV,1.2513768130607854,1.3061056430924411,1.5947522624620403,1.6939880249187556,2.41187626989163,1.249812568508413,1.1788307958676632,1.3481415425286398,1.4680605424871689,1.3192692306300506,0.8863844841391662,0.6486631252240941,1.2971074705988275,1.3597871777162238,3.227505058512979,1.5725755860414272,1.9434720299530202,1.194997168801982,1.9283223908406724,1.103184063968857
SP_Tim,188.0,232.0,149.0,225.0,116.0,183.0,165.0,228.0,186.0,229.0,174.0,231.0,210.0,222.0,147.0,183.0,201.0,167.0,89.0,193.0
SP_Mag,603.0,1440.0,1710.0,1300.0,7070.0,1140.0,941.0,540.0,2960.0,1130.0,209.0,59.0,1410.0,963.0,1600.0,672.0,1480.0,6730.0,6070.0,690.0
SP_Dur,86.0,67.0,98.0,45.0,145.0,102.0,119.0,51.0,129.0,70.0,163.0,64.0,76.0,62.0,121.0,41.0,69.0,131.0,187.0,100.0
SP_ROC,0.051064754454584964,0.051470588235294115,0.060810810810810814,0.057037518976360876,0.04040816326530612,0.04542897327707454,0.037999037999038,0.0390625,0.044840564019281826,0.049664793453613326,0.044444444444444446,0.04880952380952381,0.047619047619047616,0.04720133667502088,0.037900874635568516,0.06222345132743363,0.04201445185051743,0.0500558082196345,0.044543650793650795,0.03664130678004028
DS_Tim,274.0,299.0,247.0,270.0,261.0,285.0,284.0,279.0,315.0,299.0,337.0,295.0,286.0,284.0,268.0,224.0,270.0,298.0,276.0,293.0
DS_Mag_90,29.0,59.0,68.5,86.0,61.5,90.0,91.80000000000007,53.0,96.0,44.80000000000001,21.5,23.0,37.0,95.59999999999997,58.30000000000001,82.0,122.30000000000003,81.4,50.8,39.5
DS_Mag_50,21.0,35.0,29.0,40.0,29.0,42.0,37.0,32.0,38.0,36.0,18.0,9.6,27.0,34.0,29.0,29.0,53.5,47.0,32.0,26.0
DS_Dur_WS,134.0,149.0,186.0,169.0,156.0,184.0,153.0,119.0,168.0,77.0,116.0,141.0,175.0,170.0,208.0,181.0,140.0,94.0,113.0,96.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
