Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977
Avg,2.0802739726027397,56.91502732240438,8.99123287671233,11.394794520547944,4.9520547945205475,6.478142076502732,3.171506849315069,53.70712328767124,6.314246575342465,2.683879781420765,1.2791780821917809,29.75808219178082,3.2747945205479456,3.7008196721311477,3.862465753424658,63.873424657534244,62.893150684931506,21.024590163934427,204.42027397260273,21.823013698630135,22.76027397260274,6.554918032786886,28.28904109589041,13.562191780821918,15.026301369863011,8.374863387978142,8.65808219178082
Std,1.392325316854043,141.42091137129148,7.349601041302607,19.48519916761473,4.028076450045172,14.302283544277367,2.6758502278217873,130.3035858954157,13.694481031923814,1.7069889211135272,1.245662890504443,145.0328177189566,6.522943303550924,3.5983791714424607,6.69888475298379,234.18981700672123,79.54643397768585,29.832286150464263,768.7658176833054,28.668768109045484,32.32760023433908,11.990053499329296,68.34808885232589,19.264022698765764,21.507627669363504,14.84315896804774,19.16350760480116
CV,0.6692990131064477,2.4847727924330045,0.8174186056662355,1.7100088231058108,0.8134151614199103,2.207775528133917,0.8437157335478164,2.4261881463557664,2.1688226565940005,0.6360154180266221,0.9737994324997251,4.873728649053018,1.991863386426911,0.9723195103343969,1.7343544721514277,3.6664672085826098,1.264786914177354,1.418923551795961,3.7607121971979094,1.313694272704648,1.4203519814064116,1.8291690970591146,2.4160624116119265,1.42042105067462,1.4313321116066222,1.7723463990295816,2.2133663299007735
SP_Tim,155.0,184.0,133.0,156.0,113.0,124.0,277.0,190.0,144.0,295.0,122.0,140.0,137.0,323.0,194.0,97.0,213.0,58.0,154.0,163.0,73.0,99.0,144.0,167.0,195.0,230.0,227.0
SP_Mag,3.3,273.0,59.0,132.0,33.0,69.0,5.3,777.0,133.0,5.3,3.2,461.0,15.0,14.0,77.0,317.0,251.0,193.0,3390.0,120.0,156.0,121.0,224.0,25.0,93.0,20.0,150.0
SP_Dur,159.0,89.0,244.0,177.0,208.0,228.0,30.0,61.0,194.0,56.0,94.0,65.0,149.0,23.0,22.0,59.0,60.0,230.0,55.0,115.0,108.0,254.0,106.0,170.0,27.0,38.0,45.0
SP_ROC,0.1250000000000001,0.07142857142857142,0.10208333333333333,0.07692307692307693,0.08771929824561403,0.08893280632411062,0.04545454545454549,0.053418803418803416,0.06316489361702128,0.1547619047619047,0.1250000000000001,0.06878378378378375,0.11538461538461549,0.3076923076923077,0.09090909090909091,0.04819976771196283,0.027046783625730993,0.07692307692307693,0.07692307692307693,0.058823529411764705,0.043478260869565216,0.02469512195121948,0.08333333333333333,0.08248299319727895,0.08333333333333333,0.12500000000000006,0.10727969348659
DS_Tim,314.0,273.0,377.0,333.0,321.0,352.0,307.0,251.0,338.0,351.0,216.0,205.0,286.0,346.0,216.0,156.0,273.0,288.0,209.0,278.0,181.0,353.0,250.0,337.0,222.0,268.0,272.0
DS_Mag_90,3.8999999999999995,nan,1.8,nan,nan,0.6,7.660000000000003,5.6,nan,0.56,2.2,3.5,nan,1.7,6.5,13.0,32.0,3.2,69.0,4.4,13.0,7.8,68.80000000000001,nan,9.0,12.810000000000125,6.0
DS_Mag_50,1.6,nan,1.2,nan,nan,0.4,3.7,4.4,nan,0.3,1.1,1.9,nan,1.0,4.7,11.0,24.0,1.9,21.0,3.5,9.0,4.0,5.8,nan,4.15,2.4,2.4
DS_Dur_WS,137.0,nan,104.0,nan,nan,102.0,172.0,240.0,nan,35.0,272.0,278.0,nan,190.0,191.0,266.0,135.0,182.0,280.0,137.0,260.0,135.0,202.0,nan,264.0,184.0,180.0
DS_No_Flow,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
FA_Tim,nan,24.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,51.0,nan,50.0,39.0,nan,37.0,nan,nan,37.0,nan,nan,18.0,48.0,2.0,0.0,0.0
