Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
Avg,443.81369863013697,577.5355191256831,477.4246575342466,434.97534246575344,291.8684931506849,663.8497267759562,378.1315068493151,654.0027397260274,320.8794520547945,285.155737704918
Std,375.27872867497996,481.1659536666117,318.46269078088767,299.4234678354991,134.39826001474006,714.1524280801068,307.9171641305865,483.2224451526887,250.79264313722317,230.8044267253999
CV,0.845577164096793,0.833136556510043,0.6670428218468036,0.6883688306057794,0.4604753961756104,1.075774229129309,0.8143123716302516,0.7388691450361793,0.7815790058579286,0.8093977998936098
SP_Tim,130.0,244.0,253.0,212.0,237.0,110.0,237.0,258.0,147.0,168.0
SP_Mag,2030.0,974.0,974.0,987.0,516.0,5820.0,921.0,2220.0,1310.0,675.0
SP_Dur,169.0,83.0,68.0,93.0,57.0,202.0,67.0,60.0,142.0,124.0
SP_ROC,0.02892032042822891,0.028138817480719794,0.031496062992125984,0.030985915492957747,0.026807491289198605,0.03435530162817521,0.024,0.0298852495543672,0.024718071430389735,0.027553436968666502
DS_Tim,299.0,327.0,321.0,305.0,294.0,312.0,304.0,318.0,289.0,292.0
DS_Mag_90,227.0,244.5,308.20000000000005,224.0,221.0,268.0,375.7,286.5,210.0,210.0
DS_Mag_50,192.0,233.0,248.0,213.0,169.0,237.0,250.0,266.0,194.0,192.0
DS_Dur_WS,105.0,96.0,147.0,90.0,131.0,188.0,134.0,126.0,182.0,179.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,23.0,44.0,44.0,nan,50.0,29.0,5.0,nan,nan
FA_Mag,nan,443.9914667867193,393.99075392271584,525.9488553336895,nan,1279.9641315639988,446.9805717002099,578.0032158714782,nan,nan
Wet_Tim,20.0,38.0,57.0,102.0,29.0,59.0,134.0,72.0,78.0,105.0
FA_Dur,nan,3.0,3.0,5.0,nan,2.0,5.0,2.0,nan,nan
Wet_BFL_Mag_10,224.70000000000002,302.0,359.0,391.2,264.8,247.0,393.4,452.5,283.8,236.20000000000002
Wet_BFL_Mag_50,499.0,706.0,495.0,666.0,305.5,990.0,486.0,853.5,330.0,332.0
Wet_BFL_Dur,110.0,206.0,196.0,110.0,208.0,51.0,103.0,186.0,69.0,63.0
Peak_Dur_2,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,6189.0,6189.0,6189.0,6189.0,6189.0,6189.0,6189.0,6189.0,6189.0,6189.0
Peak_Dur_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,6067.5,6067.5,6067.5,6067.5,6067.5,6067.5,6067.5,6067.5,6067.5,6067.5
Peak_Dur_10,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,5865.0,5865.0,5865.0,5865.0,5865.0,5865.0,5865.0,5865.0,5865.0,5865.0
Peak_Dur_20,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan
Peak_Fre_20,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_20,4676.0,4676.0,4676.0,4676.0,4676.0,4676.0,4676.0,4676.0,4676.0,4676.0
Peak_Dur_50,3.0,2.0,nan,nan,nan,7.0,nan,1.0,1.0,nan
Peak_Fre_50,3.0,1.0,nan,nan,nan,5.0,nan,1.0,1.0,nan
Peak_50,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
Dur_2,6.0,8.0,7.0,6.0,nan,24.0,4.0,15.0,2.0,2.0
Fre_2,5.0,6.0,6.0,5.0,nan,8.0,3.0,9.0,2.0,1.0
High_2,1634.5999999999913,1634.5999999999913,1634.5999999999913,1634.5999999999913,1634.5999999999913,1634.5999999999913,1634.5999999999913,1634.5999999999913,1634.5999999999913,1634.5999999999913
Dur_5,19.0,17.0,20.0,10.0,3.0,48.0,12.0,45.0,6.0,4.0
Fre_5,10.0,8.0,8.0,5.0,3.0,8.0,3.0,15.0,3.0,3.0
High_5,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0
Dur_10,28.0,65.0,37.0,26.0,3.0,75.0,18.0,101.0,9.0,7.0
Fre_10,10.0,13.0,12.0,10.0,3.0,9.0,5.0,18.0,3.0,3.0
High_10,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0,842.0
Dur_20,57.0,136.0,79.0,76.0,9.0,143.0,42.0,167.0,13.0,11.0
Fre_20,11.0,10.0,9.0,9.0,7.0,8.0,7.0,10.0,5.0,4.0
High_20,612.0,612.0,612.0,612.0,612.0,612.0,612.0,612.0,612.0,612.0
