Year,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
Avg,nan,21.588493150684933,0.8706849315068492,1.2480874316939892,0.061917808219178076,2.3432876712328765,0.14383561643835616,1.094808743169399,2.525205479452054,6.740821917808218,18.66764383561644,2.378688524590164,28.520301369863013,1.6264657534246578,1.3493972602739726,0.48185792349726764,8.739479452054795,2.658958904109589,2.745178082191781,1.7539617486338797,0.9143835616438357,35.433123287671236,21.951397260273975,51.138934426229504,3.1617260273972603,9.353534246575343,35.726602739726026,5.153743169398907,6.912438356164382,10.435890410958903
Std,nan,77.2864643144099,4.612406238796703,3.201661821396071,0.04855889050679485,5.295310940666389,0.3948942294211191,4.61287700389229,9.759997769704023,23.571297948897172,76.85881037319493,5.4323622880535245,109.05500607135944,7.591117184699553,2.4562376103196244,2.612775222312078,21.114603723820185,10.335681910737915,6.725557860128077,6.208618361183186,2.50894737863728,96.14374559245361,47.2374325734354,161.68380711189937,6.534163876792089,24.256709821093164,67.27071514914793,18.04635285284063,20.089155264965687,46.31011591125656
CV,nan,3.579984196903425,5.297445806044043,2.565254436582666,0.7842475679194744,2.259778432530378,2.7454551188325427,4.213408992824004,3.8650311228620695,3.496798793426869,4.117220740335434,2.2837636083477943,3.823767661396323,4.667246862539731,1.820247960056571,5.422293781845208,2.4160024449574964,3.887116079441267,2.449953212054759,3.539768393477757,2.7438675451763506,2.713386139062325,2.151910058997576,3.161657725683284,2.0666445543262415,2.5933202553862884,1.8829306452456667,3.501601119744083,2.906232826951803,4.437581661707134
SP_Tim,nan,188.0,144.0,155.0,nan,162.0,212.0,187.0,195.0,94.0,71.0,169.0,152.0,159.0,116.0,91.0,176.0,187.0,195.0,158.0,228.0,156.0,182.0,147.0,160.0,186.0,172.0,91.0,137.0,170.0
SP_Mag,nan,726.0,10.0,38.0,nan,21.0,4.8,63.0,118.0,94.0,690.0,8.9,342.0,31.0,11.0,7.9,123.0,81.0,48.0,16.0,6.6,888.0,626.0,1700.0,29.0,120.0,298.0,89.0,46.0,270.0
SP_Dur,nan,57.0,38.0,135.0,nan,114.0,147.0,59.0,46.0,119.0,183.0,103.0,79.0,102.0,151.0,163.0,78.0,119.0,63.0,88.0,34.0,92.0,149.0,52.0,101.0,82.0,95.0,142.0,104.0,44.0
SP_ROC,nan,0.11437908496732026,0.09999999999999998,0.11111111111111108,nan,0.09375000000000008,0.5,0.16666666666666663,0.09846650524616635,0.05586766541822724,0.07228915662650608,0.06316489361702127,0.04324450677886865,0.07407407407407414,0.10912698412698407,0.14285714285714282,0.08928571428571429,0.1368092691622104,0.11999999999999993,0.13653308480894685,0.1250000000000001,0.07142857142857142,0.0652173913043478,0.08484187568157034,0.09326675257731953,0.03571428571428559,0.0625,0.07142857142857142,0.1304347826086957,0.1020408163265306
DS_Tim,nan,245.0,182.0,290.0,nan,276.0,359.0,246.0,241.0,213.0,254.0,272.0,231.0,261.0,267.0,254.0,254.0,306.0,258.0,246.0,262.0,248.0,331.0,199.0,261.0,268.0,267.0,233.0,241.0,214.0
DS_Mag_90,nan,1.0,0.5,nan,nan,0.1,0.1,0.3,0.6,0.9000000000000001,2.7800000000000007,0.13599999999999995,4.390000000000003,0.23400000000000007,0.2,0.6710000000000008,0.34000000000000086,0.250000000000002,0.04,0.12,0.04,4.4700000000000015,4.219999999999999,24.0,0.3,8.6,4.8,0.42,0.29,1.9900000000000007
DS_Mag_50,nan,0.2,0.1,nan,nan,0.1,0.0,0.1,0.2,0.2,0.26,0.11,0.23,0.11,0.1,0.0,0.0,0.01,0.0,0.0,0.0,0.38,0.9,1.4,0.11,0.26,1.7,0.175,0.11,0.11
DS_Dur_WS,nan,246.0,279.0,nan,nan,208.0,172.0,292.0,165.0,207.0,182.0,195.0,258.0,177.0,165.0,208.0,199.0,207.0,224.0,205.0,196.0,184.0,145.0,274.0,206.0,209.0,136.0,196.0,175.0,202.0
DS_No_Flow,nan,2.0,1.0,nan,nan,44.0,108.0,54.0,0.0,13.0,0.0,0.0,0.0,0.0,31.0,173.0,121.0,103.0,152.0,176.0,164.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,65.0,nan,nan,nan,nan,nan,45.0,20.0,65.0,nan,60.0,1.0,55.0,nan
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6562674845684946,nan,nan,nan,nan,9.284267556166999,nan,nan,nan,nan,nan,12.027945705052275,2.9007695778256566,4.544568222622525,nan,300.88309982592307,5.396434100068173,24.9641442462597,nan
