Year,1959,1960,1961,1962,1963,1964,1965,1966,1967
Avg,590.5068493150685,894.2704918032787,571.6876712328767,1052.6027397260275,1734.3753424657534,740.2814207650273,1752.2356164383561,334.33698630136985,1692.1917808219177
Std,700.9693078167062,1775.711673093317,689.9465025807029,1474.672759053297,4436.972180479715,747.186954048062,4521.658700908174,283.95859022185016,1413.0980989275724
CV,1.1870638056607872,1.9856538814253275,1.206859159814999,1.4009775040459485,2.5582537250395245,1.0093282542143207,2.580508385110346,0.8493185075428393,0.8350697095581057
SP_Tim,228.0,193.0,234.0,220.0,235.0,233.0,91.0,197.0,268.0
SP_Mag,1790.0,4180.0,2340.0,4940.0,6520.0,2940.0,13500.0,1210.0,4500.0
SP_Dur,73.0,100.0,66.0,82.0,65.0,80.0,240.0,103.0,95.0
SP_ROC,0.04494949494949495,0.06598822324628775,0.06108293556085918,0.07611844222722884,0.05389221556886228,0.04054054054054054,0.05569724960363962,0.04371715241280459,0.08078090394553358
DS_Tim,301.0,293.0,300.0,302.0,300.0,313.0,331.0,300.0,363.0
DS_Mag_90,97.79999999999998,204.8,216.40000000000003,89.0,169.8,178.20000000000002,434.00000000000006,339.0,515.4
DS_Mag_50,49.0,69.0,66.0,46.0,99.0,80.5,280.0,85.0,132.0
DS_Dur_WS,175.0,192.0,184.0,70.0,94.0,110.0,74.0,117.0,54.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,45.0,nan,44.0,21.0,nan,10.0,32.0,26.0,5.0
FA_Mag,211.99900324186189,nan,302.99659994933904,272.98150996356634,nan,359.99058623207463,297.99610878421225,499.89426240716097,622.9214128971983
Wet_Tim,93.0,110.0,119.0,118.0,6.0,28.0,57.0,39.0,51.0
FA_Dur,2.0,nan,4.0,3.0,nan,7.0,2.0,9.0,1.0
Wet_BFL_Mag_10,383.0,411.80000000000007,485.0,337.5000000000003,256.8,304.20000000000005,312.6,152.8,616.4000000000001
Wet_BFL_Mag_50,1300.0,1570.0,1200.0,2010.0,830.0,775.0,654.0,326.0,2230.0
Wet_BFL_Dur,135.0,83.0,115.0,102.0,229.0,205.0,34.0,158.0,217.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_2,64312.0,64312.0,64312.0,64312.0,64312.0,64312.0,64312.0,64312.0,64312.0
Peak_Dur_5,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_5,63280.0,63280.0,63280.0,63280.0,63280.0,63280.0,63280.0,63280.0,63280.0
Peak_Dur_10,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_10,61560.0,61560.0,61560.0,61560.0,61560.0,61560.0,61560.0,61560.0,61560.0
Peak_Dur_20,nan,nan,nan,nan,2.0,nan,1.0,nan,nan
Peak_Fre_20,nan,nan,nan,nan,1.0,nan,1.0,nan,nan
Peak_20,38680.000000000015,38680.000000000015,38680.000000000015,38680.000000000015,38680.000000000015,38680.000000000015,38680.000000000015,38680.000000000015,38680.000000000015
Peak_Dur_50,nan,4.0,nan,1.0,7.0,nan,10.0,nan,3.0
Peak_Fre_50,nan,2.0,nan,1.0,3.0,nan,2.0,nan,2.0
Peak_50,7720.0,7720.0,7720.0,7720.0,7720.0,7720.0,7720.0,7720.0,7720.0
Dur_2,nan,4.0,nan,13.0,26.0,1.0,15.0,nan,8.0
Fre_2,nan,2.0,nan,5.0,6.0,1.0,3.0,nan,5.0
High_2,4930.0,4930.0,4930.0,4930.0,4930.0,4930.0,4930.0,4930.0,4930.0
Dur_5,2.0,14.0,nan,35.0,48.0,1.0,33.0,nan,34.0
Fre_5,2.0,5.0,nan,6.0,7.0,1.0,6.0,nan,10.0
High_5,3580.0,3580.0,3580.0,3580.0,3580.0,3580.0,3580.0,3580.0,3580.0
Dur_10,6.0,35.0,5.0,55.0,68.0,11.0,59.0,nan,91.0
Fre_10,3.0,6.0,3.0,5.0,7.0,2.0,9.0,nan,13.0
High_10,2507.0000000000027,2507.0000000000027,2507.0000000000027,2507.0000000000027,2507.0000000000027,2507.0000000000027,2507.0000000000027,2507.0000000000027,2507.0000000000027
Dur_20,33.0,74.0,39.0,89.0,108.0,45.0,105.0,nan,171.0
Fre_20,5.0,6.0,7.0,4.0,7.0,8.0,5.0,nan,9.0
High_20,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0,1640.0
