Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,15.769506849315068,26.431178082191778,39.65191780821918,16.196885245901637,57.500602739726034,55.18312328767122,13.516246575342466,23.085109289617485,18.708109589041097,46.94076712328767,88.28131506849316,25.98806010928962,11.207534246575342,5.265835616438356,3.149150684931507
Std,16.958021023016702,48.741082702333195,107.93058831169371,22.03617919642594,88.45603677127153,99.82162433855471,12.883861940992036,34.422112362892186,17.651452343957533,57.153443822585054,133.30441496114676,31.597490835684106,10.327213389187497,5.4653321522686875,3.396311067570962
CV,1.0753678719986894,1.8440753019318838,2.7219512769523977,1.3605195605125278,1.5383497312482777,1.8089158132311882,0.953212999568676,1.4910959238288515,0.9435187590678571,1.2175651853425036,1.509995799878178,1.2158464580582278,0.9214527622204819,1.037885067131143,1.07848477490204
SP_Tim,210.0,183.0,223.0,165.0,231.0,200.0,208.0,153.0,217.0,214.0,187.0,212.0,134.0,211.0,149.0
SP_Mag,88.0,85.0,139.0,65.4,238.0,477.0,48.4,104.0,98.7,151.0,288.0,158.0,30.5,23.7,15.0
SP_Dur,95.0,106.0,48.0,99.0,78.0,88.0,96.0,126.0,84.0,94.0,128.0,73.0,147.0,73.0,119.0
SP_ROC,0.06507936507936507,0.056873315363881405,0.040182938759538225,0.03372237185242182,0.03968253968253968,0.037281683833407964,0.06282564493582413,0.04504504504504505,0.05445544554455435,0.04138675090092095,0.03189243334874402,0.04692387904066736,0.03657779051987769,0.0866666666666666,0.08170993558461837
DS_Tim,305.0,289.0,271.0,264.0,309.0,288.0,304.0,279.0,301.0,308.0,315.0,285.0,281.0,284.0,268.0
DS_Mag_90,4.4,4.28,13.400000000000002,9.972000000000005,34.24,9.935,4.803999999999999,8.512,16.320000000000004,14.400000000000002,25.2,6.642,3.355,0.784,0.696
DS_Mag_50,2.2,2.715,5.03,3.23,8.71,5.9399999999999995,2.49,4.24,3.3,6.31,12.8,3.79,0.965,0.0,0.0
