Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965
Avg,nan,2629.8524590163934,1451.3780821917808,1055.9315068493152,827.7835616438356,2457.915300546448,1151.4794520547946,2109.054794520548,631.2054794520548,923.4125683060109,581.3342465753425,1087.9397260273972,1883.0684931506848,787.1174863387978,1878.9945205479453
Std,nan,2593.954381523105,1609.341080022621,1689.3313788707815,1013.4550559421527,5161.294543730569,1697.3124082565405,2453.1391289608214,777.983923468509,1830.7194595632227,683.1855385325781,1495.369479860598,4658.890296846279,834.9275187744121,5127.322144411517
CV,nan,0.9863497751099258,1.1088365600728203,1.5998493916631038,1.2242995668210728,2.0998667214379196,1.4740275262643348,1.1631462280326832,1.2325367076088625,1.9825585251905928,1.1752026352433984,1.3744966233753841,2.474094975191893,1.060740655957217,2.728758433481917
SP_Tim,nan,244.0,215.0,224.0,252.0,90.0,237.0,238.0,228.0,183.0,234.0,220.0,235.0,233.0,91.0
SP_Mag,nan,9000.0,4480.0,3690.0,2910.0,15500.0,4510.0,9970.0,2040.0,4590.0,2270.0,4780.0,6600.0,3120.0,15700.0
SP_Dur,nan,81.0,105.0,73.0,55.0,202.0,69.0,78.0,72.0,110.0,67.0,81.0,65.0,72.0,196.0
SP_ROC,nan,0.05503599542488058,0.06289556962025317,0.04880952380952381,0.04658564814814815,0.08044664382692551,0.04797698255709405,0.05947955390334572,0.045603089720736775,0.06615091495331016,0.0596428836037638,0.07563025210084033,0.06896551724137931,0.0497148288973384,0.058823529411764705
DS_Tim,nan,325.0,320.0,297.0,307.0,292.0,306.0,316.0,300.0,293.0,301.0,301.0,300.0,305.0,287.0
DS_Mag_90,nan,514.9999999999999,319.5,585.0,105.60000000000002,455.0,614.8000000000001,167.2,102.80000000000001,227.60000000000002,239.4000000000001,87.1,186.49999999999997,378.0,398.0000000000001
DS_Mag_50,nan,140.0,146.5,100.5,67.0,171.0,126.0,110.0,56.0,75.0,80.0,48.0,126.0,91.0,195.0
DS_Dur_WS,nan,128.0,142.0,200.0,117.0,201.0,173.0,143.0,177.0,187.0,183.0,70.0,98.0,129.0,147.0
DS_No_Flow,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,3.0,44.0,45.0,46.0,nan,27.0,14.0,45.0,nan,44.0,21.0,nan,11.0,32.0
FA_Mag,nan,334.01855398005335,437.99478723910124,552.0000349301215,1049.8908798233435,nan,506.00250720124285,324.0011268137673,217.994861321083,nan,398.99297857095587,240.98799734968648,nan,354.99216067813995,270.99725323162926
Wet_Tim,nan,83.0,87.0,96.0,131.0,58.0,127.0,113.0,93.0,111.0,114.0,118.0,5.0,32.0,68.0
FA_Dur,nan,10.0,4.0,6.0,2.0,nan,2.0,3.0,2.0,nan,4.0,3.0,nan,3.0,2.0
Wet_BFL_Mag_10,nan,1490.0,763.7,345.8,604.0,215.9,1290.0,1490.0,387.0,374.40000000000003,435.4,324.30000000000007,271.8,345.0,355.6
Wet_BFL_Mag_50,nan,3740.0,1530.0,1795.0,1600.0,848.0,2110.0,4200.0,1310.0,1135.0,1185.0,2230.0,900.0,785.0,2220.0
Wet_BFL_Dur,nan,161.0,128.0,128.0,121.0,32.0,110.0,125.0,135.0,72.0,120.0,102.0,230.0,201.0,23.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_2,nan,71672.0,71672.0,71672.0,71672.0,71672.0,71672.0,71672.0,71672.0,71672.0,71672.0,71672.0,71672.0,71672.0,71672.0
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_5,nan,69530.0,69530.0,69530.0,69530.0,69530.0,69530.0,69530.0,69530.0,69530.0,69530.0,69530.0,69530.0,69530.0,69530.0
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0
Peak_10,nan,67760.0,67760.0,67760.0,67760.0,67760.0,67760.0,67760.0,67760.0,67760.0,67760.0,67760.0,67760.0,67760.0,67760.0
Peak_Dur_20,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,2.0,nan,3.0
Peak_Fre_20,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,1.0
Peak_20,nan,36360.000000000044,36360.000000000044,36360.000000000044,36360.000000000044,36360.000000000044,36360.000000000044,36360.000000000044,36360.000000000044,36360.000000000044,36360.000000000044,36360.000000000044,36360.000000000044,36360.000000000044,36360.000000000044
Peak_Dur_50,nan,nan,nan,2.0,nan,6.0,1.0,1.0,nan,1.0,nan,nan,5.0,nan,7.0
Peak_Fre_50,nan,nan,nan,1.0,nan,3.0,1.0,1.0,nan,1.0,nan,nan,2.0,nan,2.0
Peak_50,nan,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0,14200.0
Dur_2,nan,36.0,3.0,2.0,nan,18.0,5.0,17.0,nan,4.0,nan,1.0,9.0,1.0,10.0
Fre_2,nan,8.0,2.0,1.0,nan,6.0,3.0,5.0,nan,2.0,nan,1.0,3.0,1.0,2.0
High_2,nan,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0,7160.0
Dur_5,nan,77.0,13.0,5.0,nan,42.0,10.0,56.0,1.0,4.0,nan,8.0,27.0,1.0,16.0
Fre_5,nan,9.0,6.0,2.0,nan,7.0,3.0,6.0,1.0,2.0,nan,5.0,7.0,1.0,4.0
High_5,nan,4917.999999999993,4917.999999999993,4917.999999999993,4917.999999999993,4917.999999999993,4917.999999999993,4917.999999999993,4917.999999999993,4917.999999999993,4917.999999999993,4917.999999999993,4917.999999999993,4917.999999999993,4917.999999999993
Dur_10,nan,107.0,37.0,24.0,14.0,73.0,22.0,99.0,2.0,14.0,nan,37.0,58.0,1.0,34.0
Fre_10,nan,9.0,8.0,6.0,3.0,7.0,5.0,8.0,2.0,5.0,nan,5.0,9.0,1.0,6.0
High_10,nan,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
Dur_20,nan,170.0,98.0,61.0,37.0,126.0,67.0,138.0,16.0,57.0,10.0,68.0,90.0,27.0,78.0
Fre_20,nan,10.0,5.0,6.0,8.0,6.0,8.0,6.0,5.0,5.0,5.0,7.0,7.0,6.0,7.0
High_20,nan,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0,2190.0
