Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Avg,106.22575342465751,143.98907103825135,56.933698630136995,60.773972602739725,39.29945205479452,158.7928961748634,57.86465753424657,121.94000000000001,34.235068493150685,35.10819672131148,20.15232876712329,66.63561643835617,80.59123287671233,37.27841530054645,107.10301369863014,54.03342465753425,146.07561643835618,32.68142076502732,185.01821917808218,73.95013698630137,64.94301369863014,45.48379781420765,86.38876712328766,88.7904109589041,97.27671232876712,22.68188524590164,6.488630136986302,133.98301369863015,90.02931506849315,145.51256830601093,33.13723287671233,168.3786301369863,246.10191780821918,120.70683060109289,46.041917808219175,129.3309589041096,18.578630136986302,22.135136612021856,42.962575342465755,26.839917808219177,35.9965205479452,21.547431693989072,116.69616438356167,19.256027397260276,206.40219178082194,97.52540983606558,nan,181.81013698630136,104.26301369863013,89.33934426229509,47.02328767123288,59.159150684931504
Std,160.8015238624533,211.47825965518842,74.32745976663827,111.0466270418382,66.81124833296668,270.79806493288237,86.83160295340664,183.09801848355087,47.62017849964209,56.08122123703006,30.31622516533801,101.62956177884331,145.22602291379025,50.79604023444797,135.9857043925456,69.27485839812262,204.2229024830286,41.43036470142282,261.49330377943943,84.77666505788841,84.5005580703778,61.9733408580388,140.1979999461154,111.03839711594223,171.83415397232008,27.288316631626884,9.715601281467949,180.6673783752889,139.79417723904606,183.98985718499733,52.99967747395288,233.63033541370592,276.05759081825084,122.17901017406132,66.83350953168635,201.17441774891446,27.920332352452764,29.23499425202207,71.54814771597368,40.78552639119597,63.819550190545456,34.67932070644745,166.65977070050704,27.970360258415525,271.1499500137449,144.15894379347992,nan,215.43970794692237,117.54106610480699,114.31378100881695,75.18209040694693,73.41052726636174
CV,1.5137715542446553,1.4687104939999804,1.3055090667742804,1.8272069816418774,1.7000554674353463,1.7053537749867502,1.5005982348036244,1.5015418934193117,1.3909765803205367,1.5973825623173483,1.504353443002389,1.5251537722752162,1.8020077089024755,1.362612649301736,1.2696720633388199,1.282074176071369,1.3980629174288683,1.2677039042855145,1.4133381292993048,1.1464030833856678,1.3011493193479593,1.3625366358189281,1.6228730263743107,1.25056744210065,1.766446972339797,1.2030885588118199,1.4973270284104128,1.348434949983037,1.5527628654365797,1.2644258796811914,1.5993996140576712,1.3875296124195415,1.1217205996475628,1.0121963236515887,1.4515796194691863,1.5555008596052557,1.502819752941258,1.320750567951959,1.665359842738592,1.5195846232698313,1.7729366399605664,1.6094410321821178,1.4281512299986396,1.4525509172465716,1.3136970478573138,1.4781680388301115,nan,1.1849708246089428,1.1273515116737058,1.2795457807838657,1.598826754364531,1.2408989381428057
SP_Tim,234.0,243.0,252.0,223.0,253.0,242.0,248.0,263.0,227.0,229.0,233.0,248.0,242.0,242.0,251.0,225.0,266.0,235.0,247.0,238.0,254.0,244.0,246.0,242.0,252.0,229.0,256.0,253.0,237.0,257.0,226.0,241.0,257.0,236.0,229.0,244.0,225.0,229.0,225.0,213.0,250.0,212.0,260.0,239.0,271.0,232.0,nan,262.0,241.0,238.0,223.0,233.0
SP_Mag,257.0,886.0,293.0,550.0,280.0,633.0,399.0,509.0,196.0,269.0,117.0,332.0,506.0,248.0,435.0,313.0,830.0,143.0,990.0,292.0,331.0,189.0,622.0,475.0,814.0,140.0,92.0,711.0,699.0,455.0,203.0,696.0,1110.0,367.0,220.0,490.0,154.0,131.0,321.0,206.0,315.0,172.0,435.0,96.0,755.0,1540.0,nan,890.0,531.0,400.0,354.0,270.0
SP_Dur,60.0,55.0,69.0,92.0,56.0,49.0,47.0,55.0,60.0,46.0,65.0,59.0,74.0,69.0,59.0,74.0,56.0,64.0,72.0,73.0,64.0,53.0,55.0,73.0,60.0,62.0,47.0,69.0,69.0,56.0,59.0,70.0,89.0,71.0,59.0,45.0,64.0,66.0,68.0,77.0,58.0,101.0,53.0,54.0,65.0,72.0,nan,53.0,64.0,76.0,51.0,73.0
SP_ROC,0.06521739130434782,0.056179775280898875,0.06366092536305301,0.07142857142857142,0.07142857142857145,0.058823529411764705,0.08333333333333333,0.06944779358572462,0.07275132275132275,0.07846153846153847,0.08955223880597014,0.07142857142857142,0.06293706293706294,0.07059800664451825,0.0625,0.06666666666666667,0.06680161943319837,0.07272994416691156,0.07320574162679425,0.06731391585760518,0.06814488042721151,0.08733790999237223,0.07035175879396985,0.07407407407407403,0.07142857142857142,0.0628955696202532,0.11904761904761903,0.07407407407407407,0.06779661016949153,0.0609529702970297,0.08695652173913043,0.05962324506842012,0.07145135566188197,0.058823529411764705,0.07142857142857142,0.06662147171206706,0.07692307692307684,0.08333333333333333,0.06944444444444445,0.07042253521126761,0.09090909090909091,0.1020408163265306,0.07142857142857142,0.08055555555555552,0.06620530565167243,0.07142857142857142,nan,0.057088122605363986,0.04918032786885246,0.0625,0.060552140623315,0.05332535440869984
DS_Tim,294.0,298.0,321.0,315.0,309.0,291.0,295.0,318.0,287.0,275.0,298.0,307.0,316.0,311.0,310.0,299.0,322.0,299.0,319.0,311.0,318.0,297.0,301.0,315.0,312.0,291.0,303.0,322.0,306.0,313.0,285.0,311.0,346.0,307.0,288.0,289.0,289.0,295.0,293.0,290.0,308.0,313.0,313.0,293.0,336.0,304.0,nan,315.0,305.0,314.0,274.0,306.0
DS_Mag_90,69.19999999999999,43.0,38.099999999999994,22.0,6.0,22.0,38.0,14.300000000000011,15.800000000000011,11.0,4.670000000000002,5.840000000000003,23.0,9.8,16.0,60.400000000000034,17.0,21.0,25.900000000000006,40.0,26.0,67.5,72.0,82.40000000000003,25.0,4.5,63.60000000000005,59.0,9.120000000000001,26.0,68.1,95.6,36.4,25.0,34.80000000000001,12.0,14.0,9.620000000000001,9.580000000000002,3.5,6.0,70.0,8.3,67.9,23.599999999999994,nan,nan,40.0,18.0,18.0,26.050000000000008,26.67
DS_Mag_50,8.6,13.0,5.4,7.0,1.2,8.4,9.2,6.2,3.2,3.5,0.9,2.7,15.0,2.3,6.4,3.8499999999999996,10.0,2.8499999999999996,12.0,14.0,7.7,7.0,21.0,7.3,14.0,2.1,1.1,11.0,5.75,8.0,4.05,38.0,21.0,14.0,5.85,5.1,4.65,1.7,5.4,1.5,3.5,2.4,5.0,6.7,6.4,nan,nan,28.0,10.0,11.0,3.935,2.94
