Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
Avg,2.145753424657534,0.9123287671232877,0.16256830601092895,0.0684931506849315,1.1879452054794521,0.3421917808219178,0.14453551912568308,0.04849315068493151,0.4547945205479452,0.2161643835616438,0.39234972677595636,2.765808219178082,1.0956986301369862,0.4873424657534247,0.28959016393442627,1.3762465753424657,0.46405479452054793,0.20660273972602738,0.051256830601092894,0.041342465753424665,6.424958904109588,2.562794520547945,1.5248907103825138,0.5118082191780822,0.37238356164383557,8.806739726027397,2.705464480874317,0.7546575342465754,0.3322191780821918
Std,3.5448847645579566,0.6974209250565251,0.24133726821251197,0.08387321209129611,2.0759199702842492,0.3337222476290457,0.11117935883646697,0.1237725624416044,0.459910978846044,0.20268492410018243,0.3337916762827723,4.694590850211694,1.0021882179733999,0.9123864871288319,0.8364373423412029,4.576842231922893,0.3764411537053832,0.2167050100075144,0.03856801025580037,0.03846514849463837,28.071748676657716,1.716083107472012,1.3391228937882442,0.4231448036593997,0.30866138871012905,12.003300644277598,1.694538052239319,0.5345839047430799,0.32478149647743015
CV,1.6520466535542062,0.7644403532901851,1.4845284061475528,1.2245488965329232,1.7474879823656617,0.9752491624067388,0.7692182482825503,2.5523720503494687,1.0112500438482293,0.9376425512872827,0.8507503726984306,1.6973667290665546,0.91465681384315,1.8721670103554284,2.888348592290596,3.3255975447451998,0.8111997939689743,1.048897078010115,0.7524462555236106,0.9304028628590458,4.369171709207699,0.6696140067854914,0.8781763077645937,0.8267643773656704,0.8288802742730806,1.3629675700308368,0.6263390498077063,0.7083794707976916,0.9776121244784924
SP_Tim,208.0,145.0,211.0,nan,203.0,211.0,nan,203.0,175.0,nan,200.0,193.0,154.0,167.0,253.0,230.0,194.0,239.0,nan,nan,160.0,223.0,161.0,181.0,253.0,166.0,95.0,156.0,238.0
SP_Mag,16.0,2.0,0.4,nan,5.7,1.2,nan,0.2,1.2,nan,1.0,17.0,7.5,1.0,16.0,14.0,1.1,0.55,nan,nan,133.0,7.2,5.3,2.0,1.2,52.0,6.5,1.6,0.98
SP_Dur,68.0,179.0,136.0,nan,82.0,131.0,nan,125.0,146.0,nan,106.0,116.0,182.0,163.0,17.0,78.0,140.0,57.0,nan,nan,118.0,83.0,170.0,146.0,94.0,176.0,248.0,186.0,74.0
SP_ROC,0.078125,0.09545454545454549,0.29166666666666663,nan,0.08333333333333323,0.33333333333333337,nan,1.0,0.16666666666666663,nan,0.13392857142857145,0.042403356308061094,0.06904761904761902,0.055555555555555455,0.13636363636363635,0.04166666666666659,0.07878411910669982,0.07142857142857137,nan,nan,0.03125000000000003,0.0555555555555556,0.0563492063492064,0.08333333333333326,0.06524822695035451,0.0367250673854447,0.0652173913043478,0.12500000000000006,0.15504807692307693
DS_Tim,276.0,324.0,347.0,nan,285.0,342.0,nan,328.0,321.0,nan,306.0,309.0,336.0,330.0,270.0,308.0,334.0,296.0,nan,nan,278.0,306.0,331.0,327.0,347.0,342.0,343.0,342.0,312.0
DS_Mag_90,1.6,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,0.14200000000000018,1.0,nan,nan,0.49,0.14,0.03,nan,nan,nan,1.9,0.97,nan,0.07,0.9790000000000003,nan,0.83,0.04,0.03
DS_Mag_50,0.9,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,0.03,0.78,nan,nan,0.08,0.06,0.03,nan,nan,nan,1.35,0.71,nan,0.05,0.5,nan,0.72,0.03,0.02
DS_Dur_WS,163.0,138.0,nan,nan,nan,nan,nan,72.0,nan,nan,199.0,129.0,nan,nan,284.0,73.0,53.0,nan,nan,nan,182.0,144.0,nan,101.0,158.0,nan,60.0,25.0,55.0
DS_No_Flow,0.0,138.0,nan,nan,nan,nan,nan,72.0,nan,nan,18.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.329536383830458,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_Tim,176.0,73.0,96.0,nan,123.0,nan,nan,55.0,34.0,nan,12.0,139.0,72.0,nan,nan,188.0,15.0,21.0,nan,nan,126.0,94.0,84.0,nan,62.0,139.0,nan,37.0,1.0
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,1.5,1.1,0.0,nan,0.1,nan,nan,0.0,0.1,nan,0.1,0.29,0.95,nan,nan,1.0,0.17600000000000005,0.0,nan,nan,0.41100000000000037,2.68,0.894,nan,0.11,0.646,nan,0.71,0.08600000000000002
Wet_BFL_Mag_50,8.15,1.8,0.4,nan,1.7,nan,nan,0.0,0.7,nan,0.4,5.55,2.0,nan,nan,4.550000000000001,0.72,0.22,nan,nan,2.1,4.0,1.3,nan,0.32,30.0,nan,1.2,0.44
Wet_BFL_Dur,32.0,72.0,115.0,nan,80.0,nan,nan,148.0,141.0,nan,188.0,54.0,82.0,nan,nan,42.0,179.0,218.0,nan,nan,34.0,129.0,77.0,nan,191.0,27.0,nan,119.0,237.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927,232.67999999999927
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,2.0,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_5,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998,86.59999999999998
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,3.0,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan
Peak_10,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997,51.99999999999997
Peak_Dur_20,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,10.0,nan,1.0,nan,1.0,nan,nan,nan,nan,15.0,nan,nan,nan,nan,90.0,nan,nan,nan
Peak_Fre_20,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,1.0,nan,nan,nan,nan,7.0,nan,nan,nan,nan,2.0,nan,nan,nan
Peak_20,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002,16.400000000000002
Peak_Dur_50,67.0,1.0,nan,nan,46.0,nan,nan,nan,1.0,nan,nan,96.0,10.0,1.0,1.0,55.0,nan,nan,nan,nan,116.0,116.0,47.0,nan,nan,214.0,129.0,1.0,nan
Peak_Fre_50,2.0,1.0,nan,nan,3.0,nan,nan,nan,1.0,nan,nan,2.0,2.0,1.0,1.0,3.0,nan,nan,nan,nan,2.0,4.0,2.0,nan,nan,2.0,16.0,1.0,nan
Peak_50,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Dur_2,22.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,28.0,nan,1.0,1.0,2.0,nan,nan,nan,nan,62.0,nan,nan,nan,nan,106.0,1.0,nan,nan
Fre_2,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,3.0,nan,1.0,1.0,1.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,2.0,1.0,nan,nan
High_2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Dur_5,50.0,nan,nan,nan,25.0,nan,nan,nan,nan,nan,nan,75.0,4.0,1.0,1.0,33.0,nan,nan,nan,nan,104.0,43.0,6.0,nan,nan,167.0,28.0,nan,nan
Fre_5,1.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,2.0,1.0,1.0,4.0,nan,nan,nan,nan,2.0,4.0,4.0,nan,nan,3.0,8.0,nan,nan
High_5,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
Dur_10,76.0,2.0,nan,nan,63.0,nan,nan,nan,1.0,nan,nan,106.0,18.0,1.0,1.0,62.0,nan,nan,nan,nan,129.0,136.0,73.0,1.0,nan,215.0,184.0,1.0,nan
Fre_10,3.0,2.0,nan,nan,4.0,nan,nan,nan,1.0,nan,nan,3.0,2.0,1.0,1.0,3.0,nan,nan,nan,nan,3.0,5.0,2.0,1.0,nan,1.0,7.0,1.0,nan
High_10,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
Dur_20,142.0,146.0,5.0,nan,125.0,5.0,nan,1.0,36.0,nan,6.0,135.0,150.0,2.0,1.0,83.0,16.0,3.0,nan,nan,200.0,296.0,181.0,35.0,11.0,230.0,282.0,114.0,7.0
Fre_20,5.0,4.0,2.0,nan,6.0,3.0,nan,1.0,3.0,nan,3.0,3.0,3.0,1.0,1.0,3.0,7.0,3.0,nan,nan,2.0,4.0,3.0,7.0,1.0,4.0,9.0,10.0,4.0
High_20,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
