Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
Avg,nan,162.3087431693989,93.83013698630137,63.17506849315069,49.38657534246575,148.7016393442623,73.20657534246575,124.65205479452055,45.94575342465754,57.91284153005464,38.12082191780822,74.32712328767123
Std,nan,216.48401367057826,98.90501141773797,85.39200634885552,65.38446307464329,259.1013953212561,81.83724014513864,180.5189991970936,45.14464806696233,77.75724922971943,44.951556321920684,108.91953321779368
CV,nan,1.333779126393934,1.0540857617225636,1.351672556684502,1.3239319110758736,1.7424246058337327,1.1178946667331178,1.4481831005085752,0.9825641044496338,1.3426598863978427,1.179186440912531,1.4654076251039352
SP_Tim,nan,236.0,265.0,234.0,254.0,240.0,247.0,234.0,228.0,249.0,248.0,220.0
SP_Mag,nan,727.0,399.0,264.0,236.0,640.0,321.0,805.0,183.0,226.0,174.0,389.0
SP_Dur,nan,95.0,62.0,74.0,60.0,80.0,68.0,83.0,81.0,65.0,52.0,88.0
SP_ROC,nan,0.05123677722102919,0.05555555555555555,0.06666666666666667,0.056179775280898875,0.054549962806843544,0.058823529411764705,0.05555555555555555,0.07142857142857142,0.06666666666666667,0.07894736842105263,0.08160698431488606
DS_Tim,nan,331.0,327.0,308.0,314.0,320.0,315.0,317.0,309.0,314.0,300.0,308.0
DS_Mag_90,nan,25.0,33.80000000000001,21.30000000000001,16.0,35.0,62.80000000000001,21.0,12.0,14.0,24.0,24.0
DS_Mag_50,nan,18.0,20.0,15.0,7.8,23.0,24.0,14.0,8.0,9.0,11.0,12.0
DS_Dur_WS,nan,130.0,183.0,228.0,119.0,186.0,237.0,139.0,170.0,171.0,229.0,221.0
DS_No_Flow,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,23.0,nan,44.0,45.0,51.0,26.0,13.0,nan,nan,42.0,20.0
FA_Mag,nan,47.903515956739774,nan,38.994987026440896,66.8532071503716,49.99189773322796,53.994954219645855,48.01187096428916,nan,nan,19.9873706414937,38.97463703813144
Wet_Tim,nan,172.0,95.0,144.0,170.0,67.0,140.0,186.0,90.0,113.0,119.0,163.0
FA_Dur,nan,6.0,nan,10.0,5.0,3.0,6.0,5.0,nan,nan,3.0,2.0
Wet_BFL_Mag_10,nan,82.00000000000001,42.0,52.0,64.6,60.0,72.6,61.2,30.0,19.0,27.8,30.2
Wet_BFL_Mag_50,nan,498.5,136.0,163.5,113.5,146.0,151.0,435.5,77.0,114.0,69.0,263.0
Wet_BFL_Dur,nan,64.0,170.0,90.0,84.0,173.0,107.0,48.0,138.0,136.0,129.0,57.0
Peak_Dur_2,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_2,nan,3199.599999999999,3199.599999999999,3199.599999999999,3199.599999999999,3199.599999999999,3199.599999999999,3199.599999999999,3199.599999999999,3199.599999999999,3199.599999999999,3199.599999999999
Peak_Dur_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_5,nan,2763.999999999999,2763.999999999999,2763.999999999999,2763.999999999999,2763.999999999999,2763.999999999999,2763.999999999999,2763.999999999999,2763.999999999999,2763.999999999999,2763.999999999999
Peak_Dur_10,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_10,nan,2045.9000000000003,2045.9000000000003,2045.9000000000003,2045.9000000000003,2045.9000000000003,2045.9000000000003,2045.9000000000003,2045.9000000000003,2045.9000000000003,2045.9000000000003,2045.9000000000003
Peak_Dur_20,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan
Peak_Fre_20,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_20,nan,904.2,904.2,904.2,904.2,904.2,904.2,904.2,904.2,904.2,904.2,904.2
Peak_Dur_50,nan,40.0,1.0,1.0,nan,7.0,nan,17.0,nan,nan,nan,nan
Peak_Fre_50,nan,4.0,1.0,1.0,nan,3.0,nan,2.0,nan,nan,nan,nan
Peak_50,nan,602.0,602.0,602.0,602.0,602.0,602.0,602.0,602.0,602.0,602.0,602.0
Dur_2,nan,44.0,1.0,1.0,nan,9.0,nan,21.0,nan,1.0,nan,1.0
Fre_2,nan,3.0,1.0,1.0,nan,4.0,nan,2.0,nan,1.0,nan,1.0
High_2,nan,554.0999999999985,554.0999999999985,554.0999999999985,554.0999999999985,554.0999999999985,554.0999999999985,554.0999999999985,554.0999999999985,554.0999999999985,554.0999999999985,554.0999999999985
Dur_5,nan,65.0,12.0,2.0,nan,45.0,3.0,51.0,nan,2.0,nan,22.0
Fre_5,nan,4.0,4.0,1.0,nan,7.0,2.0,5.0,nan,2.0,nan,3.0
High_5,nan,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0
Dur_10,nan,95.0,48.0,27.0,18.0,82.0,22.0,71.0,nan,13.0,nan,34.0
Fre_10,nan,2.0,10.0,5.0,4.0,8.0,6.0,2.0,nan,4.0,nan,3.0
High_10,nan,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0
Dur_20,nan,115.0,109.0,57.0,42.0,137.0,78.0,90.0,24.0,69.0,25.0,84.0
Fre_20,nan,2.0,4.0,2.0,2.0,4.0,7.0,2.0,6.0,6.0,6.0,5.0
High_20,nan,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
