Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Avg,5.3621917808219175,4.476775956284153,11.473150684931506,5.402739726027397,19.84986301369863,16.38469945355191,17.974794520547945,15.044109589041094,14.473424657534245,9.016666666666667,5.0032876712328775,6.5849315068493155,9.01041095890411,7.385519125683059,12.251780821917807,21.49972602739726,7.49068493150685,6.397540983606557,6.7586301369863016,9.32739726027397,nan
Std,4.568330004685878,2.2928807587504694,12.85694278374207,2.467541208812725,27.135871850322502,15.571026610934009,13.994062156597339,17.56435055755089,16.633413493210114,6.283447839979366,2.9744924994987008,5.3038903073658075,10.808416360164628,4.7138944868591155,15.255568158622346,25.52341873720149,3.126829690666007,4.637100265389046,6.09821561933601,10.887706530749188,nan
CV,0.8519519986257641,0.5121723269470075,1.120611341802387,0.45672035558653384,1.3670558749748403,0.9503394709848333,0.7785380879097105,1.1675234385653284,1.1492382685359452,0.6968703704228502,0.5945075907989408,0.8054586903218305,1.1995475466614234,0.6382617669307227,1.2451714881587594,1.187150882977616,0.41742907614684627,0.7248254098365966,0.9022857436692381,1.1672823861722585,nan
SP_Tim,256.0,224.0,265.0,235.0,274.0,253.0,236.0,275.0,261.0,240.0,231.0,247.0,253.0,244.0,247.0,252.0,234.0,253.0,235.0,256.0,nan
SP_Mag,24.0,13.0,48.0,15.0,130.0,71.0,56.0,70.0,65.0,40.0,18.0,28.0,56.0,23.0,66.0,97.0,17.0,17.0,33.0,54.0,nan
SP_Dur,54.0,150.0,79.0,65.0,40.0,50.0,89.0,55.0,65.0,52.0,74.0,77.0,35.0,74.0,67.0,80.0,86.0,85.0,91.0,53.0,nan
SP_ROC,0.058823529411764705,0.05128205128205122,0.03540100250626568,0.02702702702702705,0.04939024390243903,0.0625,0.04706533776301218,0.05128205128205128,0.06299603174603174,0.046536796536796536,0.030303030303030196,0.03393730227207359,0.07417582417582418,0.030303030303030196,0.05634920634920634,0.043478260869565216,0.023809523809523937,0.03508771929824565,0.022474747474747495,0.06329113924050632,nan
DS_Tim,310.0,374.0,344.0,300.0,314.0,303.0,325.0,330.0,326.0,292.0,305.0,324.0,288.0,318.0,314.0,332.0,320.0,338.0,326.0,309.0,nan
DS_Mag_90,4.3,3.5,5.0,7.0,16.0,11.0,6.799999999999999,9.960000000000003,7.8,6.0,3.9,6.4,6.1800000000000015,5.5,13.0,nan,4.7,4.030000000000001,4.7,nan,nan
DS_Mag_50,3.3,2.8,4.8,4.2,8.3,7.6,5.7,6.5,6.1,4.3,3.4,4.3,4.6,4.7,7.95,nan,4.0,3.55,4.0,nan,nan
DS_Dur_WS,225.0,146.0,187.0,264.0,223.0,129.0,233.0,223.0,200.0,223.0,222.0,252.0,223.0,234.0,242.0,nan,210.0,188.0,224.0,nan,nan
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan
FA_Tim,nan,25.0,nan,nan,36.0,72.0,48.0,nan,nan,nan,nan,56.0,38.0,nan,nan,62.0,nan,nan,nan,13.0,nan
FA_Mag,nan,10.682472072444694,nan,nan,8.962016678751207,34.88706400502058,19.999080436391758,nan,nan,nan,nan,7.317118341895346,13.653783487519286,nan,nan,18.99963304915915,nan,nan,nan,10.998461831274959,nan
Wet_Tim,170.0,169.0,146.0,165.0,198.0,171.0,66.0,192.0,187.0,160.0,149.0,161.0,210.0,145.0,186.0,190.0,nan,164.0,160.0,184.0,nan
FA_Dur,nan,4.0,nan,nan,8.0,2.0,3.0,nan,nan,nan,nan,3.0,3.0,nan,nan,8.0,nan,nan,nan,3.0,nan
Wet_BFL_Mag_10,2.95,3.08,4.06,5.0,9.25,9.91,10.0,5.640000000000002,6.8100000000000005,6.1,4.2,3.7,6.42,4.0,6.8,8.9,nan,4.880000000000001,4.28,5.510000000000001,nan
