Year,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991
DS_Dur_WS,194.0,169.0,214.0,93.0,186.0,184.0,152.0,182.0,223.0,227.0,212.0,189.0,100.0,146.0,221.0,199.0,176.0,163.0,180.0,166.0,239.0,245.0,223.0,198.0,194.0,246.0,213.0,212.0,183.0,229.0,216.0,183.0,186.0,158.0,187.0,196.0,146.0,159.0,203.0,217.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,nan,nan,63.0,nan,nan,nan,nan,0.0,6.0,64.0,5.0,36.0,28.0,44.0,nan,nan,33.0,15.0,56.0,42.0,nan,41.0,nan,10.0,1.0,75.0,nan,19.0,64.0,44.0,25.0,1.0,49.0,24.0,0.0,28.0,53.0,0.0,nan
FA_Mag,nan,nan,nan,184.94995385525112,nan,nan,nan,nan,177.01853472110318,197.9853688641821,174.993736149251,132.99912340257885,297.94905892877296,131.99885290680848,261.9793169871973,nan,nan,546.92772956696,571.7439407628513,587.6542940432638,420.95204780382466,nan,2469.5014063551043,nan,572.9507607861364,241.9994175867077,250.92350989641696,nan,464.97896296784455,185.9341232668242,1629.9114312810082,3079.5657945464272,485.9985015393251,302.8688791796298,225.00116822910095,172.00008744780888,215.0103802947238,146.96149132934903,259.999792160592,nan
Wet_Tim,168.0,167.0,138.0,170.0,50.0,172.0,154.0,123.0,149.0,153.0,163.0,196.0,156.0,63.0,146.0,195.0,167.0,163.0,152.0,157.0,131.0,175.0,181.0,192.0,148.0,162.0,193.0,175.0,176.0,157.0,173.0,197.0,149.0,161.0,119.0,170.0,128.0,133.0,132.0,170.0
FA_Dur,nan,nan,nan,3.0,nan,nan,nan,nan,6.0,4.0,6.0,3.0,4.0,8.0,4.0,nan,nan,2.0,2.0,3.0,3.0,nan,2.0,nan,2.0,7.0,2.0,nan,2.0,3.0,2.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,5.0,nan
Wet_BFL_Mag_10,290.0,260.0,250.0,245.0,225.2,345.0,400.0,123.10000000000002,180.0,153.0,226.3,376.8,182.4,261.4,188.60000000000002,180.0,232.39999999999998,300.0,307.6,222.0,200.0,253.60000000000002,557.0,268.6,130.0,78.60000000000001,634.0,411.6,386.9,215.3,351.0,532.6,331.8,227.4,303.6,154.5,180.6,127.9,158.4,187.70000000000002
Wet_BFL_Mag_50,1600.0,842.0,1300.0,530.0,482.0,1145.0,1010.0,715.5,690.0,646.0,1570.0,1830.0,630.0,440.0,1010.0,2200.0,805.0,1440.0,820.0,790.0,600.0,1470.0,1470.0,1425.0,233.0,306.0,2015.0,1010.0,1660.0,965.5,2210.0,4080.0,696.0,1070.0,1005.0,903.5,454.0,645.5,683.5,584.0
Wet_BFL_Dur,97.0,99.0,96.0,84.0,207.0,100.0,110.0,128.0,100.0,101.0,104.0,69.0,105.0,218.0,87.0,82.0,77.0,85.0,115.0,105.0,123.0,69.0,71.0,60.0,82.0,93.0,62.0,67.0,100.0,94.0,92.0,85.0,90.0,93.0,128.0,60.0,109.0,100.0,124.0,80.0
Peak_Dur_2,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
