Year,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,214.16892655367232,292.28437158469944,398.69983561643835,491.95199999999994,683.930904109589,218.64415300546446,266.4087397260274,204.51232876712328,193.61317808219178
Std,294.1487834940867,443.9664380345747,524.5830285265195,770.3935207931785,816.1098173474961,330.5428013673237,329.938637320287,286.60190429693876,206.89037381231918
CV,1.3734428622649457,1.5189537354580047,1.3157342483360959,1.5659932692481757,1.193263548179609,1.511784316313561,1.238467768210582,1.4013918184037222,1.068575888592103
SP_Tim,232.0,234.0,233.0,274.0,270.0,230.0,228.0,241.0,257.0
SP_Mag,1210.0,2510.0,2550.0,2630.0,3870.0,1300.0,1510.0,1240.0,703.0
SP_Dur,62.0,86.0,87.0,52.0,71.0,120.0,88.0,43.0,84.0
SP_ROC,0.05619266055045872,0.06842105263157895,0.07373271889400922,0.0755566272807652,0.06535947712418301,0.07776049766718507,0.0684931506849315,0.06197625698324022,0.0708333333333333
DS_Tim,294.0,320.0,320.0,326.0,341.0,350.0,316.0,284.0,341.0
DS_Mag_90,160.60000000000002,227.5,266.69999999999993,362.0,146.60000000000002,173.0,32.09000000000001,99.66,96.91
DS_Mag_50,25.0,77.15,95.69999999999999,233.0,71.25,128.0,23.4,35.4,21.299999999999997
DS_Dur_WS,243.0,206.0,230.0,191.0,172.0,161.0,164.0,195.0,138.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,44.0,nan,32.0,13.0,24.0,10.0,48.0,51.0,53.0
FA_Mag,153.74360395789762,nan,390.9827252014703,746.7281030275935,2279.861160391926,330.91222115826565,94.89759837376282,51.976484786326466,64.45825644729672
Wet_Tim,119.0,171.0,160.0,184.0,151.0,147.0,145.0,114.0,113.0
FA_Dur,3.0,nan,4.0,2.0,3.0,4.0,3.0,2.0,4.0
Wet_BFL_Mag_10,59.68000000000001,239.39999999999998,309.6,408.5,295.6,110.0,168.39999999999998,50.0,73.31
Wet_BFL_Mag_50,362.0,574.0,548.0,978.5,782.0,274.0,470.0,219.0,309.5
Wet_BFL_Dur,113.0,63.0,73.0,90.0,119.0,83.0,83.0,127.0,144.0
Peak_Dur_2,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_2,4798.799999999999,4798.799999999999,4798.799999999999,4798.799999999999,4798.799999999999,4798.799999999999,4798.799999999999,4798.799999999999,4798.799999999999
Peak_Dur_5,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_5,4722.0,4722.0,4722.0,4722.0,4722.0,4722.0,4722.0,4722.0,4722.0
Peak_Dur_10,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_10,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0
Peak_Dur_20,nan,nan,nan,5.0,6.0,nan,nan,nan,nan
Peak_Fre_20,nan,nan,nan,1.0,2.0,nan,nan,nan,nan
Peak_20,3402.000000000001,3402.000000000001,3402.000000000001,3402.000000000001,3402.000000000001,3402.000000000001,3402.000000000001,3402.000000000001,3402.000000000001
Peak_Dur_50,nan,7.0,20.0,33.0,39.0,1.0,nan,nan,nan
Peak_Fre_50,nan,1.0,2.0,1.0,4.0,1.0,nan,nan,nan
Peak_50,1590.0,1590.0,1590.0,1590.0,1590.0,1590.0,1590.0,1590.0,1590.0
Dur_2,nan,5.0,6.0,25.0,30.0,nan,nan,nan,nan
Fre_2,nan,1.0,1.0,2.0,3.0,nan,nan,nan,nan
High_2,2071.3999999999987,2071.3999999999987,2071.3999999999987,2071.3999999999987,2071.3999999999987,2071.3999999999987,2071.3999999999987,2071.3999999999987,2071.3999999999987
Dur_5,nan,16.0,35.0,42.0,52.0,11.0,10.0,2.0,nan
Fre_5,nan,5.0,3.0,3.0,7.0,3.0,3.0,2.0,nan
High_5,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0
Dur_10,19.0,40.0,50.0,60.0,85.0,33.0,24.0,19.0,nan
Fre_10,2.0,4.0,4.0,5.0,6.0,1.0,3.0,4.0,nan
High_10,885.4000000000005,885.4000000000005,885.4000000000005,885.4000000000005,885.4000000000005,885.4000000000005,885.4000000000005,885.4000000000005,885.4000000000005
Dur_20,49.0,74.0,89.0,94.0,131.0,47.0,65.0,63.0,48.0
Fre_20,2.0,2.0,7.0,3.0,6.0,3.0,6.0,1.0,3.0
High_20,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0
