Year,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
FA_Mag,15.996553749448802,nan,nan,12.005648965209243,12.17909878528116,29.985490071311112,13.000028668591039,47.92169872643002,37.98843845691861,29.97467477719919,99.95399892653494,nan,43.98659359058473,24.013335640892592,15.98623214618285,nan,39.99252109342726,85.02141943854811,nan,51.99778293739661,54.994467841981546,9.499259626819534,nan,42.95096677810146,17.98253056747403
FA_Tim,7.0,nan,nan,0.0,39.0,64.0,14.0,11.0,44.0,48.0,58.0,nan,33.0,16.0,55.0,nan,46.0,42.0,nan,10.0,2.0,5.0,nan,19.0,72.0
FA_Dur,2.0,nan,nan,9.0,9.0,12.0,2.0,2.0,4.0,10.0,2.0,nan,2.0,4.0,2.0,nan,5.0,3.0,nan,2.0,5.0,2.0,nan,6.0,7.0
Wet_BFL_Mag_10,63.5,23.400000000000006,13.0,9.28,13.0,24.400000000000006,20.200000000000003,15.100000000000003,35.9,16.599999999999998,28.0,21.7,30.500000000000004,25.0,24.400000000000006,17.0,24.600000000000005,43.099999999999994,22.5,19.2,8.08,62.400000000000006,26.0,28.9,17.0
Wet_BFL_Mag_50,163.0,338.0,109.5,114.0,107.0,212.0,313.0,69.5,233.5,192.5,422.0,105.5,229.0,77.0,134.0,107.0,228.0,222.0,245.0,94.0,68.0,484.0,123.0,251.0,180.0
Wet_Tim,196.0,181.0,127.0,155.0,152.0,168.0,201.0,160.0,186.0,151.0,206.0,166.0,167.0,156.0,157.0,138.0,179.0,180.0,196.0,186.0,165.0,188.0,177.0,179.0,170.0
Wet_BFL_Dur,58.0,83.0,124.0,93.0,101.0,98.0,62.0,88.0,90.0,82.0,71.0,78.0,80.0,91.0,98.0,116.0,75.0,72.0,56.0,43.0,90.0,95.0,65.0,100.0,81.0
Peak_2,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0,574.0
Peak_5,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001,792.6000000000001
Peak_10,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004,990.4000000000004
