Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FA_Mag,nan,10.682472072444694,nan,nan,8.962016678751207,34.88706400502058,19.999080436391758,nan,nan,nan,nan,7.317118341895346,13.653783487519286,nan,nan,18.99963304915915,nan,nan,nan,10.998461831274959,nan
FA_Tim,nan,25.0,nan,nan,36.0,72.0,48.0,nan,nan,nan,nan,56.0,38.0,nan,nan,62.0,nan,nan,nan,13.0,nan
FA_Dur,nan,4.0,nan,nan,8.0,2.0,3.0,nan,nan,nan,nan,3.0,3.0,nan,nan,8.0,nan,nan,nan,3.0,nan
Wet_BFL_Mag_10,2.95,3.08,4.06,5.0,9.25,9.91,10.0,5.640000000000002,6.8100000000000005,6.1,4.2,3.7,6.42,4.0,6.8,8.9,nan,4.880000000000001,4.28,5.510000000000001,nan
Wet_BFL_Mag_50,6.8,7.8,16.0,7.7,32.5,26.5,17.5,18.0,24.0,13.0,5.6,10.5,19.0,12.0,12.0,51.0,nan,11.0,6.7,13.0,nan
Wet_Tim,170.0,169.0,146.0,165.0,198.0,171.0,66.0,192.0,187.0,160.0,149.0,161.0,210.0,145.0,186.0,190.0,nan,164.0,160.0,184.0,nan
Wet_BFL_Dur,86.0,55.0,119.0,70.0,76.0,82.0,170.0,83.0,74.0,80.0,82.0,86.0,43.0,99.0,61.0,62.0,nan,89.0,75.0,72.0,nan
Peak_2,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,nan
Peak_5,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,nan
Peak_10,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,nan
Peak_Dur_2,nan,nan,1.0,nan,48.0,16.0,7.0,27.0,22.0,nan,nan,nan,2.0,nan,18.0,41.0,nan,nan,nan,5.0,nan
Peak_Dur_5,nan,nan,nan,nan,24.0,1.0,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,27.0,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,16.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.0,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,1.0,nan,1.0,3.0,2.0,1.0,2.0,nan,nan,nan,1.0,nan,1.0,2.0,nan,nan,nan,1.0,nan
Peak_Fre_5,nan,nan,nan,nan,3.0,1.0,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan
SP_Mag,24.0,13.0,48.0,15.0,130.0,71.0,56.0,70.0,65.0,40.0,18.0,28.0,56.0,23.0,66.0,97.0,17.0,17.0,33.0,54.0,nan
SP_Tim,256.0,224.0,265.0,235.0,274.0,253.0,236.0,275.0,261.0,240.0,231.0,247.0,253.0,244.0,247.0,252.0,234.0,253.0,235.0,256.0,nan
SP_Dur,54.0,150.0,79.0,65.0,40.0,50.0,89.0,55.0,65.0,52.0,74.0,77.0,35.0,74.0,67.0,80.0,86.0,85.0,91.0,53.0,nan
SP_ROC,0.058823529411764705,0.05128205128205122,0.03540100250626568,0.02702702702702705,0.04939024390243903,0.0625,0.04706533776301218,0.05128205128205128,0.06299603174603174,0.046536796536796536,0.030303030303030196,0.03393730227207359,0.07417582417582418,0.030303030303030196,0.05634920634920634,0.043478260869565216,0.023809523809523937,0.03508771929824565,0.022474747474747495,0.06329113924050632,nan
DS_Mag_50,3.3,2.8,4.8,4.2,8.3,7.6,5.7,6.5,6.1,4.3,3.4,4.3,4.6,4.7,7.95,nan,4.0,3.55,4.0,nan,nan
DS_Mag_90,4.3,3.5,5.0,7.0,16.0,11.0,6.799999999999999,9.960000000000003,7.8,6.0,3.9,6.4,6.1800000000000015,5.5,13.0,nan,4.7,4.030000000000001,4.7,nan,nan
DS_Tim,310.0,374.0,344.0,300.0,314.0,303.0,325.0,330.0,326.0,292.0,305.0,324.0,288.0,318.0,314.0,332.0,320.0,338.0,326.0,309.0,nan
DS_Dur_WS,225.0,146.0,187.0,264.0,223.0,129.0,233.0,223.0,200.0,223.0,222.0,252.0,223.0,234.0,242.0,nan,210.0,188.0,224.0,nan,nan
