Year,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994
FA_Mag,520.9831035635887,1139.709358537383,504.9574182463036,1519.925273005101,2629.965277683428,761.9998985056556,nan,999.9993310529911,1209.9749507455579,1359.8518955510513,nan,2379.805533179796,608.9619329489559,1129.9472007567297,967.0013914648065,nan,nan,1749.8826841289126,934.7782963756762,4399.947258926894,6759.8724720354685,2019.8618347131433,859.997768583796,1439.975677519916,603.999537527359,382.99526657795053,482.9980574651969,325.9735334134081,nan,588.8456555636093,1579.8154961588066,nan
FA_Tim,13.0,36.0,40.0,47.0,59.0,0.0,nan,16.0,56.0,42.0,nan,42.0,40.0,10.0,1.0,nan,nan,19.0,64.0,44.0,25.0,41.0,54.0,55.0,1.0,36.0,54.0,21.0,nan,26.0,29.0,nan
FA_Dur,10.0,4.0,2.0,8.0,2.0,9.0,nan,3.0,2.0,3.0,nan,3.0,6.0,5.0,6.0,nan,nan,2.0,2.0,2.0,4.0,4.0,2.0,3.0,6.0,5.0,2.0,2.0,nan,4.0,5.0,nan
Wet_BFL_Mag_10,117.00000000000001,433.00000000000006,882.6,603.6,2456.0,734.4000000000001,1690.0,1091.0,774.0,588.0,1304.0,1769.0,1018.1000000000001,282.7,nan,2240.0,1512.0,989.0000000000007,606.8,1680.0,2918.0,1258.0,765.0,1184.0,593.4,526.8,405.4,369.70000000000005,897.0,650.8,1902.0,nan
Wet_BFL_Mag_50,1840.0,1390.0,1370.0,2530.0,9300.0,1880.0,6290.0,1725.0,2025.0,1570.0,5360.0,3205.0,4235.0,558.0,nan,3940.0,3080.0,3095.0,2510.0,6480.0,14200.0,2215.0,3390.0,4580.0,2220.0,1330.0,1580.0,1550.0,1940.0,1925.0,5720.0,nan
Wet_Tim,101.0,156.0,64.0,146.0,200.0,166.0,165.0,164.0,156.0,132.0,178.0,163.0,194.0,122.0,nan,158.0,170.0,79.0,157.0,155.0,198.0,152.0,163.0,114.0,171.0,133.0,120.0,127.0,157.0,164.0,153.0,nan
Wet_BFL_Dur,165.0,93.0,219.0,87.0,77.0,79.0,82.0,82.0,106.0,124.0,77.0,90.0,58.0,108.0,nan,97.0,73.0,200.0,95.0,111.0,83.0,88.0,91.0,135.0,60.0,105.0,115.0,128.0,101.0,62.0,119.0,nan
Peak_2,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,8170.0,nan
Peak_5,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,17260.0,nan
Peak_10,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,25250.0,nan
Peak_Dur_2,11.0,nan,6.0,nan,58.0,nan,84.0,nan,nan,nan,35.0,25.0,24.0,nan,nan,58.0,11.0,40.0,nan,50.0,60.0,4.0,nan,52.0,nan,nan,nan,nan,1.0,nan,32.0,nan
Peak_Dur_5,2.0,nan,nan,nan,5.0,nan,18.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,3.0,12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,1.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,4.0,nan,3.0,nan,3.0,nan,6.0,nan,nan,nan,1.0,3.0,3.0,nan,nan,6.0,2.0,5.0,nan,7.0,2.0,2.0,nan,7.0,nan,nan,nan,nan,1.0,nan,6.0,nan
Peak_Fre_5,1.0,nan,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,2.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,1.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,11500.0,4320.0,5160.0,4890.0,18300.0,4800.0,21100.0,6620.0,5440.0,4180.0,12800.0,11200.0,11300.0,3410.0,3250.0,17300.0,10100.0,11500.0,5620.0,10400.0,16600.0,8580.0,4880.0,17100.0,4620.0,3590.0,3570.0,3110.0,6960.0,3840.0,11100.0,nan
SP_Tim,266.0,249.0,283.0,233.0,277.0,245.0,247.0,246.0,262.0,256.0,255.0,253.0,252.0,230.0,255.0,255.0,243.0,279.0,252.0,266.0,281.0,240.0,254.0,249.0,231.0,238.0,235.0,255.0,258.0,226.0,272.0,nan
SP_Dur,68.0,50.0,66.0,64.0,58.0,89.0,92.0,102.0,73.0,69.0,48.0,83.0,66.0,103.0,90.0,73.0,70.0,58.0,60.0,54.0,70.0,103.0,75.0,100.0,71.0,84.0,74.0,85.0,73.0,106.0,84.0,nan
SP_ROC,0.06140350877192982,0.05084745762711865,0.056074766355140186,0.05429864253393665,0.0591060325079088,0.05025252525252526,0.061179577464788734,0.04322910178148748,0.05426356589147287,0.04504504504504504,0.05627705627705628,0.050761421319796954,0.05375211031419604,0.05454545454545455,0.04356435643564356,0.07352607709750567,0.05714285714285714,0.05,0.04046864457663524,0.07373271889400922,0.05205052660096854,0.06073781291172596,0.04346805614232737,0.05705489855701422,0.045584045584045586,0.059770114942528735,0.049079754601226995,0.044441156160599786,0.0525323711506919,0.04782608695652174,0.04768556411626633,nan
DS_Mag_50,402.0,257.0,510.0,696.0,470.0,429.0,540.0,506.0,267.0,452.0,667.5,363.0,282.5,nan,180.0,608.0,364.0,318.0,479.0,1965.0,1030.0,531.0,394.0,292.0,260.0,233.5,228.5,144.0,228.0,264.0,nan,nan
DS_Mag_90,655.8000000000001,510.0,928.0000000000005,2320.0,919.8000000000001,2334.0,1120.0,919.2000000000007,491.20000000000005,1200.0,1275.0,983.9000000000003,459.19999999999993,nan,2274.000000000002,1695.0000000000005,610.2,665.0,1460.0,3937.0,1730.0,722.0,972.0,562.2,500.6,363.0,323.2000000000001,196.8,638.2,1500.0,nan,nan
DS_Tim,334.0,299.0,349.0,297.0,335.0,334.0,339.0,348.0,335.0,325.0,303.0,336.0,318.0,333.0,345.0,328.0,313.0,337.0,312.0,320.0,351.0,343.0,329.0,349.0,302.0,322.0,309.0,340.0,331.0,332.0,356.0,nan
DS_Dur_WS,188.0,131.0,163.0,269.0,197.0,197.0,191.0,174.0,163.0,219.0,226.0,224.0,170.0,nan,179.0,208.0,132.0,186.0,209.0,244.0,167.0,186.0,151.0,188.0,197.0,164.0,184.0,183.0,199.0,187.0,nan,nan
