Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978
FA_Mag,24.7689192134595,nan,nan,nan,nan,nan,9.86325518508849,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.82411493316071,nan,nan,11.018288718776986,nan,nan,nan,nan,7.902434376544338,nan,nan,nan
FA_Tim,49.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,66.0,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan
FA_Dur,4.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,7.0,nan,nan,nan,nan,3.0,nan,nan,nan
Wet_BFL_Mag_10,4.7,7.2299999999999995,8.4,4.8500000000000005,4.7,10.0,5.7,5.550000000000001,nan,2.5,2.1,4.32,5.9,3.6,5.95,3.4,5.5,nan,18.0,6.8,5.41,2.8499999999999996,4.15,5.2,3.6,2.3,nan,11.600000000000001
Wet_BFL_Mag_50,12.0,35.0,18.0,26.5,19.0,25.5,16.0,35.0,nan,6.6,6.2,19.0,39.0,6.300000000000001,38.0,13.0,44.0,nan,75.0,20.0,14.0,7.2,41.0,22.0,18.0,13.0,nan,23.0
Wet_Tim,178.0,193.0,218.0,181.0,208.0,189.0,194.0,184.0,nan,169.0,175.0,172.0,203.0,183.0,189.0,165.0,209.0,nan,199.0,202.0,208.0,197.0,188.0,158.0,202.0,185.0,nan,156.0
Wet_BFL_Dur,87.0,60.0,66.0,90.0,53.0,88.0,78.0,86.0,nan,93.0,90.0,99.0,71.0,80.0,96.0,101.0,71.0,nan,71.0,82.0,62.0,66.0,86.0,151.0,51.0,81.0,nan,147.0
Peak_2,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5
Peak_5,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002
Peak_10,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002
Peak_Dur_2,6.0,56.0,nan,2.0,1.0,54.0,29.0,58.0,nan,nan,nan,29.0,32.0,nan,45.0,nan,39.0,nan,88.0,nan,nan,nan,13.0,2.0,nan,nan,nan,nan
Peak_Dur_5,nan,3.0,nan,nan,nan,2.0,nan,3.0,nan,nan,nan,nan,2.0,nan,nan,nan,12.0,nan,28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,7.0,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,1.0,3.0,nan,1.0,1.0,3.0,2.0,1.0,nan,nan,nan,2.0,3.0,nan,2.0,nan,2.0,nan,2.0,nan,nan,nan,2.0,2.0,nan,nan,nan,nan
Peak_Fre_5,nan,1.0,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,58.0,84.0,40.0,43.0,34.0,95.0,71.0,92.0,20.0,18.0,17.0,71.0,62.0,23.0,83.0,22.0,115.0,23.0,130.0,38.0,38.0,16.0,52.0,40.0,47.0,15.0,23.0,49.0
SP_Tim,265.0,253.0,284.0,271.0,261.0,277.0,272.0,270.0,270.0,262.0,265.0,271.0,274.0,263.0,285.0,266.0,280.0,265.0,270.0,284.0,270.0,263.0,274.0,309.0,253.0,266.0,271.0,303.0
SP_Dur,95.0,141.0,87.0,95.0,116.0,85.0,75.0,127.0,69.0,69.0,41.0,84.0,96.0,105.0,93.0,83.0,65.0,102.0,125.0,89.0,99.0,67.0,90.0,54.0,84.0,68.0,42.0,nan
SP_ROC,0.04210526315789478,0.045454545454545456,0.040816326530612276,0.04083333333333332,0.04999999999999997,0.043478260869565216,0.043478260869565216,0.043961352657004835,0.03508771929824565,0.050509337860780934,0.050632911392405104,0.047058823529411806,0.05714285714285714,0.047058823529411806,0.04938271604938265,0.04545454545454549,0.05555555555555555,0.04878048780487799,0.046785225718194275,0.05,0.04908160192713032,0.044466403162055274,0.04146079484425351,0.04679802955665016,0.04838709677419352,0.06060606060606053,0.04819277108433739,nan
