Year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
FA_Mag,nan,11.984163703587093,50.994730540188634,37.93444733738918,nan,42.84460492402183,45.9855329141966,39.95497880899317,54.8352641591516,49.98391844546975,184.77292842927218,nan,nan,104.95645479608727,nan,201.87174676924636,16.006821039213175,8.5922623716069,nan,17.007981761306354,nan,178.9700327214756,249.93907115145396,101.96752188714613,53.68940394334411,16.99945787613454
FA_Tim,nan,20.0,12.0,36.0,nan,48.0,59.0,2.0,33.0,15.0,55.0,nan,nan,37.0,nan,25.0,1.0,52.0,nan,19.0,nan,44.0,25.0,31.0,33.0,24.0
FA_Dur,nan,2.0,3.0,4.0,nan,3.0,3.0,5.0,2.0,3.0,5.0,nan,nan,3.0,nan,5.0,10.0,2.0,nan,3.0,nan,3.0,7.0,4.0,2.0,5.0
Wet_BFL_Mag_10,12.1,17.1,7.590000000000002,20.0,14.700000000000003,16.5,30.6,12.9,21.0,44.4,28.6,14.0,20.2,49.400000000000006,22.3,15.0,8.61,55.2,35.4,23.5,22.0,36.0,56.8,72.8,23.0,33.400000000000006
Wet_BFL_Mag_50,70.5,141.0,52.0,72.5,50.5,98.0,349.0,74.5,231.5,68.0,139.0,90.0,155.0,107.0,184.0,33.0,45.5,167.0,113.0,64.5,92.0,148.0,470.0,174.0,121.0,136.0
Wet_Tim,160.0,168.0,101.0,164.0,59.0,149.0,205.0,124.0,166.0,87.0,159.0,136.0,174.0,157.0,198.0,149.0,164.0,184.0,176.0,82.0,163.0,119.0,199.0,181.0,163.0,121.0
Wet_BFL_Dur,92.0,88.0,162.0,78.0,198.0,76.0,67.0,120.0,96.0,155.0,113.0,111.0,73.0,95.0,54.0,81.0,92.0,69.0,65.0,196.0,77.0,146.0,79.0,65.0,71.0,125.0
Peak_2,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0
Peak_5,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0
Peak_10,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0,862.0
Peak_Dur_2,nan,1.0,12.0,nan,3.0,nan,22.0,nan,20.0,1.0,1.0,nan,nan,1.0,3.0,nan,nan,nan,nan,2.0,nan,4.0,29.0,1.0,nan,3.0
Peak_Dur_5,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,5.0,nan,nan,1.0
Peak_Dur_10,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_2,nan,1.0,3.0,nan,1.0,nan,2.0,nan,2.0,1.0,1.0,nan,nan,1.0,2.0,nan,nan,nan,nan,1.0,nan,3.0,4.0,1.0,nan,2.0
Peak_Fre_5,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,3.0,nan,nan,1.0
