Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994
FA_Mag,nan,nan,nan,nan,44.93361856451997,nan,69.99651863850045,49.949803303451084,nan,nan,nan,nan,63.996166608586755,77.9571416355446,nan,88.86306002060604,111.0019679198577,61.89783465877334,133.91228416184273,134.92692555080922,57.9874052961802,79.93723838422564,nan,550.7351595786234,nan,66.99030107850318,45.97857107509783,57.924558268984676,nan,81.0086159365287,nan,207.99906693217778,495.99566837956746,255.92892601462628,68.94493386163742,59.98253043021951,50.99993179038173,39.94021022643613,41.97403357920765,60.932621940014,34.98520876053163,50.005811681911794,nan,45.96773956463757
FA_Tim,nan,nan,nan,nan,45.0,nan,70.0,12.0,nan,nan,nan,nan,13.0,36.0,nan,48.0,59.0,2.0,33.0,15.0,35.0,41.0,nan,41.0,nan,10.0,1.0,52.0,nan,19.0,nan,44.0,25.0,41.0,33.0,62.0,0.0,70.0,53.0,23.0,55.0,39.0,nan,14.0
FA_Dur,nan,nan,nan,nan,2.0,nan,5.0,4.0,nan,nan,nan,nan,5.0,4.0,nan,3.0,2.0,12.0,2.0,5.0,4.0,3.0,nan,2.0,nan,2.0,4.0,6.0,nan,8.0,nan,3.0,7.0,2.0,2.0,5.0,3.0,6.0,4.0,5.0,4.0,2.0,nan,6.0
Wet_BFL_Mag_10,60.0,40.0,87.0,68.0,92.0,95.2,87.39999999999999,49.0,68.0,42.0,38.2,35.6,110.0,52.0,92.4,34.8,78.0,77.60000000000001,65.0,124.4,86.2,46.0,57.0,111.80000000000001,73.4,66.5,27.0,142.0,91.0,117.0,55.7,106.7,152.0,121.20000000000002,69.0,71.90000000000002,38.7,36.5,45.0,39.0,39.2,52.0,160.4,36.6
Wet_BFL_Mag_50,200.0,402.5,254.0,392.0,285.0,319.0,210.0,524.0,181.0,176.5,151.0,322.0,470.0,151.0,119.5,251.0,693.5,252.5,405.0,238.0,247.5,152.5,388.0,260.0,315.0,117.0,68.0,425.0,307.0,484.0,235.0,679.0,1220.0,328.5,292.0,310.0,173.5,91.5,272.0,162.0,147.0,147.0,510.0,116.0
Wet_Tim,21.0,166.0,163.0,177.0,196.0,158.0,170.0,181.0,149.0,149.0,160.0,166.0,196.0,163.0,61.0,147.0,205.0,168.0,164.0,158.0,161.0,132.0,174.0,157.0,196.0,185.0,166.0,187.0,176.0,177.0,167.0,176.0,205.0,152.0,164.0,123.0,169.0,123.0,135.0,140.0,172.0,164.0,178.0,141.0
Wet_BFL_Dur,241.0,86.0,106.0,57.0,59.0,99.0,82.0,83.0,102.0,100.0,92.0,100.0,66.0,87.0,218.0,89.0,72.0,94.0,85.0,109.0,112.0,116.0,81.0,95.0,53.0,46.0,89.0,68.0,76.0,101.0,78.0,88.0,77.0,112.0,89.0,124.0,58.0,116.0,119.0,114.0,85.0,59.0,83.0,105.0
Peak_2,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5,777.5
Peak_5,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0,1284.0
Peak_10,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005,1470.0000000000005
