Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1980,167,310,37,52.400000000000006,2,101.99934141552667,19,0.04154302670623145,162,1840,148,59,58.800000000000004,316,89,104,133,121.5,2,15,4,6210,1030,4820,1,4,2
1981,207,289,23,133.4,4,152.97653536421876,64,0.072,85,317,204,93,85.60000000000001,129,111,NA,NA,NA,NA,NA,NA,6210,1030,4820,NA,NA,NA
1982,144,267,50,153,4,35.999571953547886,11,0.03483293295479362,67,1020,200,70,178.9,364.5,130,192,138,192,1,6,1,6210,1030,4820,1,3,1
1983,87,317,88,143.4,10,79.93777849972929,0,0.0326530612244898,71,1300,246,201,232,730,45,NA,138.5,NA,NA,59,NA,6210,1030,4820,NA,12,NA
1984,126,284,27,49,7,151.00274762491748,0,0.033816425120772944,193,2240,91,53,116.60000000000001,272,38,NA,69.5,NA,NA,6,NA,6210,1030,4820,NA,2,NA
1985,201,287,27,119,2,116.98528087923434,16,0.04285714285714286,95,481,192,148,84,120,44,NA,177,NA,NA,1,NA,6210,1030,4820,NA,1,NA
1986,195,286,42,60,3,93.98970417123101,41,0.043373493975903614,122,2030,164,42,120.60000000000001,636.5,122,NA,158,135,NA,17,1,6210,1030,4820,NA,3,1
1987,107,284,4.3,7.140000000000001,5,68.99453483445123,49,0.05405405405405406,95,208,189,74,59,124.5,115,NA,NA,NA,NA,NA,NA,6210,1030,4820,NA,NA,NA
1988,147,294,1,30,NA,NA,NA,0.1,64,94,230,205,37,67,25,NA,NA,NA,NA,NA,NA,6210,1030,4820,NA,NA,NA
1989,169,286,6.9,18,7,19.993228602593817,40,0.058823529411764705,123,254,163,88,47,61,75,NA,NA,NA,NA,NA,NA,6210,1030,4820,NA,NA,NA
1990,170,285,5.800000000000001,18,2,14.998378956944439,25,0.15999999999999998,40,112,245,156,24.5,56,89,NA,NA,NA,NA,NA,NA,6210,1030,4820,NA,NA,NA
