p10,p25,p50,p75,p90,metric,comid,result_type
167,211.5,268.5,294.25,309.70000000000005,DS_Dur_WS,2806979,observed
158.5,187.5,231.5,259.25,294.5,DS_Tim,2806979,observed
0.32699999999999996,0.495,0.81,1.52375,6.385000000000007,DS_Mag_50,2806979,observed
1.6111,2.1774999999999993,3.399000000000001,8.9855,13.187999999999999,DS_Mag_90,2806979,observed
2,2,3,3,3.5999999999999996,FA_Dur,2806979,observed
2.18310922264058,3.4374276326414375,12.996477343824703,93.38544974815466,105.14948124790402,FA_Mag,2806979,observed
49.6,58,59,68,69.19999999999999,FA_Tim,2806979,observed
0.02402920623463712,0.032263920768862385,0.04929569528961,0.06002162236202291,0.06512208410942597,SP_ROC,2806979,observed
13.5,15,39.5,59,69,SP_Dur,2806979,observed
14.105,52.225,124,397.5,878,SP_Mag,2806979,observed
144,166.25,195.5,209.5,223.5,SP_Tim,2806979,observed
30,45.25,91,109.25,125.5,Wet_BFL_Dur,2806979,observed
0.7680000000000001,1.222,3.0629999999999997,8.34475,18.035,Wet_BFL_Mag_10,2806979,observed
1.755,4.845,12.5,23.45,230.125,Wet_BFL_Mag_50,2806979,observed
63,87,97,131.5,154,Wet_Tim,2806979,observed
139.55,145.625,155.75,165.875,171.95,Peak_Tim_10,2806979,observed
79.7,101.375,136,154.25,161.6,Peak_Tim_2,2806979,observed
127.1,143.75,158.5,166.75,171.7,Peak_Tim_5,2806979,observed
2.200000000000001,4,7,10,11.799999999999999,Peak_Dur_10,2806979,observed
1,1,3.5,13,30.39999999999999,Peak_Dur_2,2806979,observed
1.3,1.75,4,13,25.6,Peak_Dur_5,2806979,observed
1170,1170,1170,1170,1170,Peak_10,2806979,observed
488,488,488,488,488,Peak_2,2806979,observed
906,906,906,906,906,Peak_5,2806979,observed
1.3000000000000003,1.75,2.5,3.25,3.6999999999999997,Peak_Fre_10,2806979,observed
1,1,1.5,3,3.5999999999999996,Peak_Fre_2,2806979,observed
1,1,1,2,3.8000000000000007,Peak_Fre_5,2806979,observed
