p10,p25,p50,p75,p90,metric,comid,result_type
83.1,123.75,154.5,193.5,209.6,DS_Dur_WS,17116241,observed
251.9,268.75,303,324,332.2,DS_Tim,17116241,observed
0.341,1.8625000000000003,2.95,5.1125,10.230000000000004,DS_Mag_50,17116241,observed
2.62,4.91,10.700000000000003,19.300000000000004,41.09000000000009,DS_Mag_90,17116241,observed
2,3,4,6,8,FA_Dur,17116241,observed
5.105805359631662,7.798005323459911,12.99712932634419,40.99375087399832,98.5512736018561,FA_Mag,17116241,observed
2.5999999999999996,7,18,28,34.8,FA_Tim,17116241,observed
0.0525,0.059928698752228164,0.06799895506792067,0.08264652014652013,0.08758989489212614,SP_ROC,17116241,observed
60.4,78.75,99,128.25,155.2,SP_Dur,17116241,observed
25.8,50,171.5,817.75,1048,SP_Mag,17116241,observed
147,168.25,202,222,240.3,SP_Tim,17116241,observed
50.1,67,108,146.75,168.9,Wet_BFL_Dur,17116241,observed
4.01,5.657500000000001,9.990000000000002,30.75,58.43000000000005,Wet_BFL_Mag_10,17116241,observed
11.7,14,33.5,203.75,309.50000000000006,Wet_BFL_Mag_50,17116241,observed
36.1,61.25,91,107.75,125,Wet_Tim,17116241,observed
106.8,127.5,149.5,168,182.4,Peak_Tim_10,17116241,observed
79.85000000000001,102,139.25,166,194.1,Peak_Tim_2,17116241,observed
81.1,90.25,105,143.5,169.6,Peak_Tim_5,17116241,observed
1,1,1.5,2.25,2.7,Peak_Dur_10,17116241,observed
1,2.75,11,20.75,28,Peak_Dur_2,17116241,observed
1,1,1.5,2,2.8999999999999995,Peak_Dur_5,17116241,observed
4083,4083,4083,4083,4083,Peak_10,17116241,observed
709,709,709,709,709,Peak_2,17116241,observed
3118.0000000000005,3118.0000000000005,3118.0000000000005,3118.0000000000005,3118.0000000000005,Peak_5,17116241,observed
1,1,1,1,1,Peak_Fre_10,17116241,observed
1,2,3,5,6,Peak_Fre_2,17116241,observed
1,1,1,1,1.2999999999999998,Peak_Fre_5,17116241,observed
