comid,metric,p10,p25,p50,p75,p90,source,result_type
20192498,Peak_Dur_2,1,1,3,7,16,inferred,predicted
20192498,Peak_Dur_5,1,1,1,3,4.8,inferred,predicted
20192498,Peak_Fre_2,1,1,2,3,5,inferred,predicted
20192498,Peak_Fre_5,1,1,1,2,3,inferred,predicted
20192498,Peak_10,11109.6488496272,16262.906694019699,18814.7620226665,21449.434974173502,28707.6463281552,model,predicted
20192498,Peak_2,3998.16480863745,5127.97736064283,7158.16948778948,9626.818694624058,13436.0401655861,model,predicted
20192498,Peak_5,8082.967,10505.22,13502.17,16958.71,22215.92,model,predicted
20192498,DS_Dur_WS,109.24,134.608333333334,160.854166666667,185.875,216.8,model,predicted
20192498,DS_Mag_50,6.68980748413856,15.216246876762,34.9342591446503,71.6660273702624,126.615553773138,model,predicted
20192498,DS_Mag_90,39.6670101891437,60.7874876732415,100.287548290468,146.144690181124,227.177259720982,model,predicted
20192498,DS_Tim,236.14,255.625,268.95,285.725,303.91,model,predicted
20192498,FA_Dur,2,3,4,7,9,obs,predicted
20192498,FA_Mag,64.8001743897362,117.266586906981,212.308693883593,366.33672104889,670.702715334789,model,predicted
20192498,FA_Tim,7.7325,14,27.125,38.3666666666666,47.6375,model,predicted
20192498,Peak_Dur_10,1,1,1,2,3.2,obs,predicted
20192498,Peak_Fre_10,1,1,1,1,2,obs,predicted
20192498,SP_Dur,32.8808333333333,44.2666666666667,60.3166666666666,85.65625,115.0675,model,predicted
20192498,SP_Mag,667.771195424667,1078.90604539643,1953.72945518515,3332.53959307709,5718.93797278776,model,predicted
20192498,SP_ROC,0.0426683716965046,0.055194810813607303,0.0714285714285714,0.102555203630074,0.166666666666667,obs,predicted
20192498,SP_Tim,167.678333333334,183.5,199.683333333334,212,228.01,model,predicted
20192498,Wet_BFL_Dur,71.7333333333333,95,121.1125,147.06875,171.1875,model,predicted
20192498,Wet_BFL_Mag_10,66.4138195113397,104.156358760841,182.896962766031,252.361090420027,343.596514262248,model,predicted
20192498,Wet_BFL_Mag_50,290.429033027422,376.221916271961,510.002585386426,688.335394534243,936.909642867803,model,predicted
20192498,Wet_Tim,52.1125,64.6875,76.825,89.725,102.608333333333,model,predicted
