Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1999,NA,81,NA,NA,NA,NA,NA,0.04684684684684688,40,3.8,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,11.3,226,NA,NA,NA
2000,98,298,3.9,4,NA,NA,NA,NA,NA,3.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,11.3,226,NA,NA,NA
2001,NA,80,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,496,11.3,226,NA,NA,NA
2002,255,335,3.7,4,NA,NA,NA,0.02439024390243894,65,4.1,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,11.3,226,NA,NA,NA
2003,144,260,4,4.1,19,4.0960763097769926,59,NA,10,133,250,26,4,4,224,NA,243,NA,NA,5,NA,496,11.3,226,NA,1,NA
2004,513,85,4.1,4.4,NA,NA,NA,NA,NA,4.1,0,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,496,11.3,226,NA,NA,NA
2005,331,260,7,7.4,NA,NA,NA,0.022727272727272846,10,226,250,18,4,4.2,232,NA,244,246,NA,3,1,496,11.3,226,NA,1,1
2006,NA,269,NA,NA,NA,NA,NA,0.1207181573481152,17,488,252,27,6.82,71,225,233,233,240,1,25,15,496,11.3,226,1,1,2
2007,NA,366,NA,NA,NA,NA,NA,0.014084507042253471,149,7.4,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,11.3,226,NA,NA,NA
2008,NA,362,NA,NA,NA,NA,NA,0.027402402402402423,120,11,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,11.3,226,NA,NA,NA
2009,NA,318,NA,NA,NA,NA,NA,0.012579113924050644,51,13,267,NA,NA,NA,NA,NA,222,NA,NA,61,NA,496,11.3,226,NA,2,NA
2010,124,311,8.350000000000001,8.6,NA,NA,NA,0.012345679012345635,23,10,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,11.3,226,NA,NA,NA
2011,163,309,8.8,9.52,NA,NA,NA,0.015873015873015817,137,181,172,103,6,6.6,69,NA,95,NA,NA,17,NA,496,11.3,226,NA,3,NA
2012,NA,287,NA,NA,NA,NA,NA,0.004667444574095791,19,13.2,268,162,7.853,9.184999999999999,106,NA,164,NA,NA,78,NA,496,11.3,226,NA,2,NA
2013,NA,290,NA,NA,NA,NA,NA,0.02431677931237146,25,12,265,NA,NA,NA,NA,NA,221.5,NA,NA,43,NA,496,11.3,226,NA,4,NA
2014,NA,290,NA,NA,NA,NA,NA,0.010231979690214138,24,11.3,266,NA,NA,NA,NA,NA,248,NA,NA,31,NA,496,11.3,226,NA,7,NA
2015,170,340,6.7,8.51,NA,NA,NA,0.0235294117647058,89,10,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,11.3,226,NA,NA,NA
2016,133,356,6.4,8.7,NA,NA,NA,0.012048192771084508,195,318,161,17,6.16,6.3,144,NA,260.5,157,NA,3,1,496,11.3,226,NA,2,1
2017,NA,257,NA,NA,3,26.076823775123103,5,0.1465933217525574,17,318,240,117,7.860000000000001,133,123,143,132,200,7,165,40,496,11.3,226,3,3,8
2018,242,295,6.59,9.3,NA,NA,NA,0.01639344262295076,270,9.4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,11.3,226,NA,NA,NA
2019,246,291,6.61,108.5,NA,NA,NA,0.014204545454545454,39,706,252,81,231,502,171,225,237.5,181,46,172,108,496,11.3,226,4,2,3
