comid,metric,p10,p25,p50,p75,p90,source,result_type
17116559,Peak_Dur_2,1,4,13,29,47,inferred,predicted
17116559,Peak_Dur_5,1,1,2,5,12,inferred,predicted
17116559,Peak_Fre_2,1,1,2,3,5,inferred,predicted
17116559,Peak_Fre_5,1,1,1,2,3,inferred,predicted
17116559,Peak_10,18816.3002962588,23212.0254707973,28314.428385453302,31062.748211588398,42574.644347733396,model,predicted
17116559,Peak_2,7165.166551722959,9217.120137192249,13748.2179096579,16289.1783153424,18102.135526077902,model,predicted
17116559,Peak_5,13589.62,17328.84,21821.6,24632.38,29292.2,model,predicted
17116559,DS_Dur_WS,159.464166666667,182.64375,197,215.7125,232.4225,model,predicted
17116559,DS_Mag_50,151.339663549251,230.705735087697,340.104423533141,460.719995620462,585.471432987365,model,predicted
17116559,DS_Mag_90,363.513377056348,510.315233479985,766.776311221377,1076.46371083678,1387.26179988673,model,predicted
17116559,DS_Tim,298.389166666666,308.125,320,333,342.75,model,predicted
17116559,FA_Dur,2,2,3,5,7,obs,predicted
17116559,FA_Mag,361.35422190349,523.569850994814,838.735916574845,1301.00816303467,2003.83739687187,model,predicted
17116559,FA_Tim,12,26.35625,41.2083333333333,48,57.34,model,predicted
17116559,Peak_Dur_10,1,1,1,2,4,obs,predicted
17116559,Peak_Fre_10,1,1,1,1,1,obs,predicted
17116559,SP_Dur,48.9875,58.65,69,82,92,model,predicted
17116559,SP_Mag,5848.9675458856,7425.44608943076,9062.09054218155,12306.583406301,14849.5167595476,model,predicted
17116559,SP_ROC,0.0426981687605065,0.05,0.0614035087719298,0.0764956229646436,0.0894094122687995,obs,predicted
17116559,SP_Tim,234,242.525,249,254.270833333333,261.6,model,predicted
17116559,Wet_BFL_Dur,65.99,80,93,111,134.37,model,predicted
17116559,Wet_BFL_Mag_10,499.23330511342,617.598697036544,807.15491799947,1002.13569540915,1237.00487024469,model,predicted
17116559,Wet_BFL_Mag_50,1656.51537983528,2200.44857923412,2916.55623338997,3976.41110970409,4814.04615346046,model,predicted
17116559,Wet_Tim,121.215,143.575,156.479166666667,164.260416666667,175.1325,model,predicted
