Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1986,NA,349,NA,NA,NA,NA,NA,0.060240963855421686,59,169,290,93,38,73,197,NA,276,281.5,NA,32,4,202.2,105.5,159.4,NA,3,2
1987,156,304,21,41.5,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
1988,NA,345,NA,NA,NA,NA,NA,0.06976744186046512,17,48,328,234,13,20,94,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
1989,NA,320,NA,NA,NA,NA,NA,0.13333333333333333,25,41,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
1990,170,385,9.25,13,NA,NA,NA,0.07894736842105263,47,46,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
1991,NA,425,NA,NA,NA,NA,NA,0.09878048780487805,110,48,315,145,7.6,20,170,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
1992,92,361,11,19,NA,NA,NA,0.04880952380952381,14,43,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
1993,54,361,20,22.700000000000003,NA,NA,NA,0.0625,58,106,303,216,10,37,87,NA,299,NA,NA,2,NA,202.2,105.5,159.4,NA,1,NA
1994,237,375,21,46,NA,NA,NA,0.09090909090909091,41,43,334,285,8.8,26,49,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
1995,88,380,16,18,NA,NA,NA,0.0547945205479452,73,190,307,70,17,73,237,286,282,289,4,32,16,202.2,105.5,159.4,2,1,3
1996,109,380,20,29,NA,NA,NA,0.04918032786885246,74,123,306,218,16,38,88,NA,292,NA,NA,11,NA,202.2,105.5,159.4,NA,2,NA
1997,271,335,21,35,8,70.77821647233614,27,0.046430488459473965,62,124,273,164,16,31,109,NA,261,NA,NA,11,NA,202.2,105.5,159.4,NA,1,NA
1998,NA,364,NA,NA,2,90.80034332688135,21,0.06451612903225806,67,244,297,57,22,45,240,293,294.5,292,5,40,7,202.2,105.5,159.4,1,4,1
1999,NA,340,NA,NA,7,88.83690102012211,33,0.053418803418803416,49,93,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
2000,242,355,18.5,27,5,73.97857913170266,33,0.045454545454545456,72,73,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
2001,NA,346,NA,NA,6,70.9068237673215,37,0.025978407557354925,62,117,284,53,16.2,59,231,NA,279,NA,NA,2,NA,202.2,105.5,159.4,NA,1,NA
2002,236,408,15,22,5,69.73530735615759,35,0.044444444444444446,73,47,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
2003,263,385,18,29,6,33.580263437606725,66,0.04040816326530612,83,73,302,66,17.5,53,236,NA,261,NA,NA,2,NA,202.2,105.5,159.4,NA,1,NA
2004,201,366,8.8,10,NA,NA,NA,0.036220358588779644,41,115,325,62,21.1,91,263,NA,307.5,NA,NA,19,NA,202.2,105.5,159.4,NA,2,NA
2005,NA,335,NA,NA,NA,NA,NA,0.07317073170731707,36,150,299,98,15,58,201,NA,277.5,NA,NA,34,NA,202.2,105.5,159.4,NA,2,NA
2006,17,374,15,17.6,NA,NA,NA,0.06009615384615385,74,177,300,NA,NA,NA,NA,NA,261.5,295,NA,50,9,202.2,105.5,159.4,NA,4,3
2007,168,384,16,18,NA,NA,NA,0.046536796536796536,28,27,356,339,16,19,17,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
2008,239,357,15,19,NA,NA,NA,0.04464285714285714,52,45,305,137,16,24,168,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
2009,153,353,19,27,NA,NA,NA,0.05172413793103448,57,83,296,66,16,38,230,NA,273,NA,NA,4,NA,202.2,105.5,159.4,NA,1,NA
2010,212,318,16,27,NA,NA,NA,0.06756756756756757,25,163,293,153,16,20,140,NA,273,289,NA,22,2,202.2,105.5,159.4,NA,1,1
2011,NA,347,NA,NA,NA,NA,NA,0.08116883116883117,39,157,308,144,15,48,164,NA,286,NA,NA,21,NA,202.2,105.5,159.4,NA,5,NA
2012,NA,410,NA,NA,NA,NA,NA,0.021739130434782608,78,62,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
2013,176,368,5,6.45,NA,NA,NA,0.0625,45,52,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
2014,248,309,11,16.30000000000001,NA,NA,NA,0.08095238095238094,20,31,289,113,7.04,22,176,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
2015,157,382,8.5,11,NA,NA,NA,0.10526315789473684,32,26,350,159,9.7,21,191,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
2016,190,355,18,28.099999999999994,NA,NA,NA,0.08116883116883117,23,73,332,175,12,26,157,NA,NA,NA,NA,NA,NA,202.2,105.5,159.4,NA,NA,NA
2017,182,387,13,19,NA,NA,NA,0.058023499114759375,95,210,292,113,36.2,100,179,284,263,271,5,59,25,202.2,105.5,159.4,1,5,2
2018,171,344,17,31,NA,NA,NA,0.07575757575757576,44,230,300,118,15,47,182,295,295.5,295,2,10,3,202.2,105.5,159.4,1,4,1
2019,165,350,17,31,NA,NA,NA,0.10793650793650794,48,131,302,153,30,65,149,NA,283,NA,NA,33,NA,202.2,105.5,159.4,NA,4,NA
