p10,p25,p50,p75,p90,metric,comid,result_type
65,65,65,65,65,DS_Dur_WS,22532978,observed
307.5,308.25,309.5,310.75,311.5,DS_Tim,22532978,observed
0,0,0,0,0,DS_Mag_50,22532978,observed
0.30800000000000005,0.30800000000000005,0.30800000000000005,0.30800000000000005,0.30800000000000005,DS_Mag_90,22532978,observed
NA,NA,NA,NA,NA,FA_Dur,22532978,observed
NA,NA,NA,NA,NA,FA_Mag,22532978,observed
NA,NA,NA,NA,NA,FA_Tim,22532978,observed
0.590411193603655,0.65543974871502,0.7638206739006281,0.8722015990862364,0.9372301541976014,SP_ROC,22532978,observed
115.7,122.75,134.5,146.25,153.3,SP_Dur,22532978,observed
64.61500000000005,147.5125,285.675,423.8375,506.73499999999996,SP_Mag,22532978,observed
154.20000000000002,162,175,188,195.79999999999998,SP_Tim,22532978,observed
142.8,151.5,166,180.5,189.2,Wet_BFL_Dur,22532978,observed
0,0,0,0,0,Wet_BFL_Mag_10,22532978,observed
0.13400000000000012,0.335,0.67,1.0050000000000001,1.206,Wet_BFL_Mag_50,22532978,observed
6.6000000000000005,7.5,9,10.5,11.399999999999999,Wet_Tim,22532978,observed
NA,NA,NA,NA,NA,Peak_Tim_10,22532978,observed
100,100,100,100,100,Peak_Tim_2,22532978,observed
123,123,123,123,123,Peak_Tim_5,22532978,observed
NA,NA,NA,NA,NA,Peak_Dur_10,22532978,observed
7,7,7,7,7,Peak_Dur_2,22532978,observed
3,3,3,3,3,Peak_Dur_5,22532978,observed
680.4000000000001,680.4000000000001,680.4000000000001,680.4000000000001,680.4000000000001,Peak_10,22532978,observed
184.5,184.5,184.5,184.5,184.5,Peak_2,22532978,observed
381.80000000000007,381.80000000000007,381.80000000000007,381.80000000000007,381.80000000000007,Peak_5,22532978,observed
NA,NA,NA,NA,NA,Peak_Fre_10,22532978,observed
3,3,3,3,3,Peak_Fre_2,22532978,observed
2,2,2,2,2,Peak_Fre_5,22532978,observed
