Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1980,42,343,4.300000000000001,6.9799999999999995,3,86.99578319033142,18,0.10256410256410256,198,3170,145,50,17.9,38.5,95,NA,142,141,NA,6,1,4286,1590,3126,NA,2,1
1981,204,238,26,60.70000000000002,NA,NA,NA,0.1213235294117647,63,194,175,156,22,38.5,19,NA,NA,NA,NA,NA,NA,4286,1590,3126,NA,NA,NA
1982,104,367,26.5,119.50000000000004,1,201.98627705283056,27,0.11428571428571428,170,1180,197,121,27,76,76,138.5,137,138.5,2,9,2,4286,1590,3126,2,3,2
1983,NA,234,NA,NA,6,242.99360843696118,25,0.040415913200723325,20,1200,214,110,141,662.5,104,115,150,117,1,27,5,4286,1590,3126,1,9,3
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,146,254,3.2,4.95,NA,NA,NA,0.19475794475794472,31,14,223,206,4.7,12.5,17,NA,NA,NA,NA,NA,NA,4286,1590,3126,NA,NA,NA
1989,101,277,4.8,20,6,26.990123031638138,13,0.3192934782608695,43,19,234,200,4.660000000000001,10,34,NA,NA,NA,NA,NA,NA,4286,1590,3126,NA,NA,NA
1990,232,255,3.5,7.560000000000001,NA,NA,NA,0.08333333333333341,12,261,243,231,4.1,6.7,12,NA,NA,NA,NA,NA,NA,4286,1590,3126,NA,NA,NA
1991,140,244,2.4,3.310000000000001,4,13.9794400345578,30,0.12962962962962965,64,1170,180,59,17,33,121,NA,NA,NA,NA,NA,NA,4286,1590,3126,NA,NA,NA
1992,239,186,3.4,6.420000000000002,NA,NA,NA,0.18461538461538465,25,153,161,143,2.8,5.2,18,NA,NA,NA,NA,NA,NA,4286,1590,3126,NA,NA,NA
1993,NA,338,NA,NA,4,15.999622972207629,20,0.13628691983122362,157,623,181,122,21.1,73,59,NA,123.5,104,NA,2,1,4286,1590,3126,NA,2,1
1994,146,310,17,48,1,50.999956873735734,3,0.09090909090909091,77,63,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4286,1590,3126,NA,NA,NA
1995,167,302,16,32,3,103.98854045634425,4,0.1039426523297491,123,1720,179,89,33,116,90,NA,167.5,NA,NA,11,NA,4286,1590,3126,NA,4,NA
1996,161,263,23,28,4,1189.9856436863072,72,0.05311398354876616,96,1100,167,64,79.80000000000001,348,103,NA,145,NA,NA,6,NA,4286,1590,3126,NA,3,NA
1997,312,149,34,55,4,157.99469822101622,28,0.06391597899474868,28,3410,121,63,32.4,116,58,NA,103,117,NA,10,1,4286,1590,3126,NA,2,1
1998,82,303,24.5,30.900000000000006,2,97.99496506964297,8,0.07954545454545454,155,2900,148,53,73.60000000000001,918,95,125,133.5,126,1,20,3,4286,1590,3126,1,2,2
1999,133,331,19,35.8,NA,NA,NA,0.09523809523809523,113,49,218,199,26,48,19,NA,NA,NA,NA,NA,NA,4286,1590,3126,NA,NA,NA
2000,73,314,18,20.799999999999997,3,92.9897701649674,27,0.0625,151,601,163,65,32.00000000000001,127,98,NA,125.5,NA,NA,2,NA,4286,1590,3126,NA,2,NA
2001,144,260,11,15.700000000000017,3,74.96900149724169,9,0.08846153846153847,55,176,205,184,15,26.5,21,NA,NA,NA,NA,NA,NA,4286,1590,3126,NA,NA,NA
2002,141,256,9.5,11,4,64.00478528685599,29,0.08695652173913043,20,194,236,198,11.700000000000003,18,38,NA,NA,NA,NA,NA,NA,4286,1590,3126,NA,NA,NA
2003,162,230,12,15,NA,NA,NA,0.05131578947368421,12,480,218,187,9.540000000000001,31,31,NA,76,NA,NA,1,NA,4286,1590,3126,NA,1,NA
2004,164,214,12.5,16.52000000000001,NA,NA,NA,0.061469780219780175,62,1280,152,126,12.25,26.75,26,NA,92,NA,NA,1,NA,4286,1590,3126,NA,1,NA
2005,101,339,15.9,29.4,NA,NA,NA,0.020920502092050212,84,39.3,255,243,13.820000000000002,32.3,12,NA,NA,NA,NA,NA,NA,4286,1590,3126,NA,NA,NA
2006,99,293,17.3,23.8,5,44.706323856770865,38,0.043478446801231654,103,1850,190,116,28,97.6,74,NA,138,91,NA,3,1,4286,1590,3126,NA,2,1
2007,167,260,15.1,18.680000000000003,3,48.08388919661472,4,0.04733727810650871,108,765,152,126,14.7,19.200000000000003,26,NA,NA,NA,NA,NA,NA,4286,1590,3126,NA,NA,NA
2008,223,165,12.6,19.380000000000003,5,209.9170334179909,9,0.041346153846153824,15,530,150,89,15.88,48.5,61,NA,95,NA,NA,1,NA,4286,1590,3126,NA,1,NA
2009,101,268,12.3,17.5,2,95.19613575555802,3,0.07096774193548384,111,993,157,135,11.3,21.5,22,NA,NA,NA,NA,NA,NA,4286,1590,3126,NA,NA,NA
2010,188,250,18.299999999999997,33.19000000000001,NA,NA,NA,0.10132158590308374,45,228,205,202,9.831999999999999,27.299999999999997,3,NA,61.5,NA,NA,2,NA,4286,1590,3126,NA,2,NA
2011,NA,282,NA,NA,2,240.97166939511249,23,0.13228074723351863,104,2950,178,106,18.299999999999997,43.55,72,NA,174,NA,NA,2,NA,4286,1590,3126,NA,1,NA
2012,75,319,10,20.380000000000003,2,159.97453062684656,4,0.1451612903225807,120,1100,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4286,1590,3126,NA,NA,NA
